Liberty 2015 - FIELD GRID DRAFT (with match-ups) - 2015-07-09 11:36:47.700226
(This grid is for general scheduling purposes and may be subject to change.)
Day One,,Saturday,,,,,,,,Sunday,,,,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Field #9,Field #10,Field #11,Field #12,Field #13,Field #14,Field #15,Field #16,Byes
12:10:00 H,,CYLAX GARNET B (PA),PHILADELPHIA FREEDOM 2021 WHITE (PA),CYLAX GARNET B (PA),CYLAX GRAY C (PA),SOUTH PARKLAND (PA),RADNOR LC (PA),HEMPFIELD (PA),PA ROUGHRIDERS 2022  (PA),FREEDOM LC 2024 (PA),PA ROUGHRIDERS 2023 (PA),PA ROUGHRIDERS 2024 (PA),,,,,,,,,,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,,,
12:10:00 A,,MARPLE NEWTOWN TIGERS I (PA),GREAT VALLEY PATRIOTS (PA),MARPLE NEWTOWN TIGERS I (PA),BLAZE U-13 (PA),PA ROUGHRIDERS 2022  (PA),VIPER 6 (NY),ASHBEE ORANGE (PA),SOUTH PARKLAND (PA),DELTA HOUSE (PA),UPRISING 2023 (PA),UPRISING 2024 (PA),,,,,,,,,,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,,,
01:00:00 H,,A - Pool 1 (2nd),,A - Pool 1 (1st),,A - Pool 1 (2nd),,A - Pool 1 (1st),,,,,A - Pool 1 (1st),B - Pool 1 (2nd),,,,,,,,Boys U9B-1,,Boys U9A-1,,Boys U15B-1,,Boys U15A-1,,,,,Boys U11A-1,Boys U11A-1,,,,,
01:00:00 A,,A - Pool 1 (1st),,A - Pool 1 (2nd),,A - Pool 1 (1st),,A - Pool 1 (2nd),,,,,A - Pool 2 (2nd),B - Pool 2 (1st),,,,,,,,Boys U9B-1,,Boys U9A-1,,Boys U15B-1,,Boys U15A-1,,,,,Boys U11A-1,Boys U11A-1,,,,,
01:50:00 H,,,,,,,,B - Pool 4 (1st),A - Pool 2 (1st),A - Pool 1 (1st),,,,,,,,,,,,,,,,,,Boys U13B-1,Boys U13B-1,Boys Club 2023/4A-1,,,,,,,,,
01:50:00 A,,,,,,,,B - Pool 3 (1st),A - Pool 1 (1st),A - Pool 1 (2nd),,,,,,,,,,,,,,,,,,Boys U13B-1,Boys U13B-1,Boys Club 2023/4A-1,,,,,,,,,
02:40:00 H,,,,,,,,,,,,,Game A (Winner),,,,,,Boys Club 2019A-1,,,,,,,,,,,,,,Boys U11A-1,,,,,,Boys Club 2019A-1
02:40:00 A,,,,,,,,,,,,,Game B (Winner),,,,,,Boys Club 2020A-1,,,,,,,,,,,,,,Boys U11A-1,,,,,,Boys Club 2020A-1
03:30:00 H,,,,,,,,Game A (Loser),Game B (Winner),,,,,,,,,,Boys Club 2021/2A-1,,,,,,,,,Boys U13B-1,Boys U13B-1,,,,,,,,,,Boys Club 2021/2A-1
03:30:00 A,,,,,,,,Game B (Loser),Game A (Winner),,,,,,,,,,Boys Club 2023/4A-1,,,,,,,,,Boys U13B-1,Boys U13B-1,,,,,,,,,,Boys Club 2023/4A-1
04:20:00 H,,COUGAR ELITE (NJ),LEHIGH VALLEY OUTLAWS (PA),BULLDOGS (PA),MT. LEBANON U13A (PA),MD WOLFPACK 2021 (MD),COUGAR ELITE  BLUE (NJ),STARS & STRIPES 2020/2021 BLUE (PA),RIDGE FUTURES BLACK (NJ),,,,,,,,,,Boys U11A-1,,,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2020A-1,Boys Club 2020A-1,,,,,,,,,,Boys U11A-1
04:20:00 A,,BYC 13A SKULSKI (PA),PA ROUGHRIDERS 2020 SELECT (PA),KENNETT BLUE DEMONS U13A (PA),RIDLEY U13 (PA),PA ROUGHRIDERS 2021 SELECT (PA),STARS & STRIPES 2022 BLUE (PA),STARS & STRIPES 2020/2021 RED (PA),MD WOLFPACK 2020 (MD),,,,,,,,,,Boys U11A-2,,,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2020A-1,Boys Club 2020A-1,,,,,,,,,,Boys U11A-2
05:10:00 H,,MESA FRESH 2019 (PA),SONS 2020 (PA),BYC U11B (PA),COATESVILLE RED RAIDERS (PA),SOUTH PARKLAND (PA),COATESVILLE RED RAIDERS (PA),SOUTH PARKLAND (PA),CYLAX TRAVEL B (PA),,,,,,,,,,Boys U11B-1,,,Boys Club 2019A-1,Boys Club 2019A-1,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,,,,,,,Boys U11B-1
05:10:00 A,,MD WOLFPACK 2019B (MD),RIDGE FUTURES SILVER (NJ),TWIN VALLEY RAIDERS - 3-4 LIGHTNING (PA),CYLAX HOUSE (PA),HW TURTLES (PA),CYLAX HOUSE (PA),HW TURTLES (PA),TEAM HARLEY 2023 (PA),,,,,,,,,,Boys U11B-2,,,Boys Club 2019A-1,Boys Club 2019A-1,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,,,,,,,Boys U11B-2
06:00:00 H,,LEHIGH VALLEY OUTLAWS (PA),COUGAR ELITE (NJ),KENNETT BLUE DEMONS U13A (PA),BYC 13A SKULSKI (PA),STARS & STRIPES 2022 BLUE (PA),COUGAR ELITE  BLUE (NJ),MD WOLFPACK 2020 (MD),STARS & STRIPES 2020/2021 BLUE (PA),,,,,,,,,,Boys U13A-1,,,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2020A-1,Boys Club 2020A-1,,,,,,,,,,Boys U13A-1
06:00:00 A,,BYC 13A SKULSKI (PA),BULLDOGS (PA),RIDLEY U13 (PA),LEHIGH VALLEY OUTLAWS (PA),MD WOLFPACK 2021 (MD),PA ROUGHRIDERS 2021 SELECT (PA),STARS & STRIPES 2020/2021 RED (PA),RIDGE FUTURES BLACK (NJ),,,,,,,,,,Boys U13A-2,,,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2020A-1,Boys Club 2020A-1,,,,,,,,,,Boys U13A-2
06:50:00 H,,SONS 2020 (PA),RIDGE FUTURES SILVER (NJ),HOUSE LEAGUE ALL STARS (PA),CYLAX HOUSE (PA),TWIN VALLEY RAIDERS - 3-4 LIGHTNING (PA),SOUTH PARKLAND (PA),TEAM HARLEY 2023 (PA),BYC U11B (PA),,,,,,,,,,Boys U13B-1,,,Boys Club 2019A-1,Boys Club 2019A-1,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,,,,,,,Boys U13B-1
06:50:00 A,,MD WOLFPACK 2019B (MD),MESA FRESH 2019 (PA),BLAZE U 11 (PA),BYC U11B (PA),SOUTH PARKLAND (PA),TWIN VALLEY RAIDERS - 3-4 LIGHTNING (PA),CYLAX TRAVEL C (PA),CYLAX HOUSE (PA),,,,,,,,,,Boys U13B-2,,,Boys Club 2019A-1,Boys Club 2019A-1,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,,,,,,,Boys U13B-2
07:40:00 H,,RIDLEY U13 (PA),KENNETT BLUE DEMONS U13A (PA),BULLDOGS (PA),KENNETT BLUE DEMONS U13A (PA),MD WOLFPACK 2021 (MD),STARS & STRIPES 2022 BLUE (PA),MD WOLFPACK 2020 (MD),STARS & STRIPES 2020/2021 RED (PA),,,,,,,,,,Boys U13B-3,,,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2020A-1,Boys Club 2020A-1,,,,,,,,,,Boys U13B-3
07:40:00 A,,MT. LEBANON U13A (PA),BYC 13A SKULSKI (PA),LEHIGH VALLEY OUTLAWS (PA),BYC 13A SKULSKI (PA),COUGAR ELITE  BLUE (NJ),PA ROUGHRIDERS 2021 SELECT (PA),STARS & STRIPES 2020/2021 BLUE (PA),RIDGE FUTURES BLACK (NJ),,,,,,,,,,Boys U13B-4,,,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2020A-1,Boys Club 2020A-1,,,,,,,,,,Boys U13B-4
