Liberty 2015 m - FIELD GRID DRAFT (with match-ups) - 2016-02-10 15:42:12.569650
(This grid is for general scheduling purposes and may be subject to change.)
Day One,,Saturday,,,,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Byes
04:20:00 H,,RIDGE FUTURES WHITE (NJ),COUGAR ELITE (NJ),STARS & STRIPES 2022 RED (PA),,,,,,,Boys U11B-1,,,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,,,,Boys U11B-1
04:20:00 A,,CYLAX TRAVEL A (PA),HALLORAN 11A (PA),TEAM HARLEY 2022 (PA),,,,,,,Boys U11B-2,,,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,,,,Boys U11B-2
05:10:00 H,,,,,,,,,,,,,,,,,,,,,,,
05:10:00 A,,,,,,,,,,,,,,,,,,,,,,,
06:00:00 H,,MAD DOGS (PA),RIDGE FUTURES WHITE (NJ),LIONVILLE U11A (PA),,,,,,,,,,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,,,,
06:00:00 A,,KENNETT BLUE DEMONS (PA),TEAM HARLEY 2022 (PA),COUGAR ELITE (NJ),,,,,,,,,,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,,,,
06:50:00 H,,,,,,,,,,,,,,,,,,,,,,,
06:50:00 A,,,,,,,,,,,,,,,,,,,,,,,
07:40:00 H,,STARS & STRIPES 2022 RED (PA),KENNETT BLUE DEMONS (PA),COUGAR ELITE (NJ),,,,,,,,,,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,,,,
07:40:00 A,,HALLORAN 11A (PA),TEAM HARLEY 2022 (PA),RIDGE FUTURES WHITE (NJ),,,,,,,,,,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,,,,
08:30:00 H,,,,,,,,,,,,,,,,,,,,,,,
08:30:00 A,,,,,,,,,,,,,,,,,,,,,,,
09:20:00 H,,,,,,,,,,,,,,,,,,,,,,,
09:20:00 A,,,,,,,,,,,,,,,,,,,,,,,
10:10:00 H,,,,,,,,,,,,,,,,,,,,,,,
10:10:00 A,,,,,,,,,,,,,,,,,,,,,,,
11:00:00 H,,,,,,,,,,,,,,,,,,,,,,,
11:00:00 A,,,,,,,,,,,,,,,,,,,,,,,
11:50:00 H,,,,,,,,,,,,,,,,,,,,,,,
11:50:00 A,,,,,,,,,,,,,,,,,,,,,,,

Day Two,,Sunday,,,,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Byes
08:00:00 H,,SOUDERTON (PA),HAVERFORD BLAZE U-15 (PA),LEHIGH VALLEY OUTLAWS (PA),SCHNECKSVILLE SPA (PA),PHILADELPHIA FREEDOM 2021 WHITE (PA),UNIONVILLE INDIANS (PA),PHILADELPHIA FREEDOM 2021 WHITE (PA),MARPLE NEWTOWN TIGERS I (PA),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,
08:00:00 A,,COUGAR ELITE (NJ),HAVEN (PA),COUGAR ELITE (NJ),VIPER 19 (NY),GREAT VALLEY PATRIOTS (PA),BYC U13B-2 (PA),GREAT VALLEY PATRIOTS (PA),CYLAX GARNET B (PA),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,
08:50:00 H,,COUGAR ELITE WHITE (NJ),RADNOR LC (PA),RIDGE FUTURES GREEN (NJ),VIPER 6 (NY),BULLDOGS (PA),COUGAR ELITE (NJ),RIDLEY U13 (PA),COUGAR ELITE (NJ),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,
08:50:00 A,,RIDGE FUTURES GREEN (NJ),VIPER 6 (NY),COUGAR ELITE WHITE (NJ),RADNOR LC (PA),LEHIGH VALLEY OUTLAWS (PA),PA ROUGHRIDERS 2020 SELECT (PA),MT. LEBANON U13A (PA),PA ROUGHRIDERS 2020 SELECT (PA),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,
09:40:00 H,,COUGAR ELITE (NJ),HAVEN (PA),COUGAR ELITE (NJ),LEHIGH VALLEY OUTLAWS (PA),CYLAX GRAY C (PA),CYLAX GARNET B (PA),GREAT VALLEY PATRIOTS (PA),UNIONVILLE INDIANS (PA),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,
09:40:00 A,,HAVERFORD BLAZE U-15 (PA),SOUDERTON (PA),SCHNECKSVILLE SPA (PA),VIPER 19 (NY),PHILADELPHIA FREEDOM 2021 WHITE (PA),BYC U13B-2 (PA),MARPLE NEWTOWN TIGERS I (PA),BLAZE U-13 (PA),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,
10:30:00 H,,SOUTH PARKLAND (PA),COUGAR ELITE WHITE (NJ),RIDGE FUTURES GREEN (NJ),VIPER 6 (NY),BYC 13A SKULSKI (PA),MT. LEBANON U13A (PA),KENNETT BLUE DEMONS U13A (PA),COUGAR ELITE (NJ),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,
10:30:00 A,,RADNOR LC (PA),ASHBEE ORANGE (PA),PA ROUGHRIDERS 2022  (PA),HEMPFIELD (PA),PA ROUGHRIDERS 2020 SELECT (PA),BULLDOGS (PA),LEHIGH VALLEY OUTLAWS (PA),RIDLEY U13 (PA),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,
11:20:00 H,,COUGAR ELITE (NJ),HAVERFORD BLAZE U-15 (PA),SCHNECKSVILLE SPA (PA),COUGAR ELITE (NJ),PHILADELPHIA FREEDOM 2021 WHITE (PA),BYC U13B-2 (PA),MARPLE NEWTOWN TIGERS I (PA),CYLAX GARNET B (PA),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,
11:20:00 A,,HAVEN (PA),SOUDERTON (PA),LEHIGH VALLEY OUTLAWS (PA),VIPER 19 (NY),CYLAX GRAY C (PA),MARPLE NEWTOWN TIGERS I (PA),BYC U13B-2 (PA),UNIONVILLE INDIANS (PA),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,
12:10:00 H,,SOUTH PARKLAND (PA),ASHBEE ORANGE (PA),PA ROUGHRIDERS 2022  (PA),HEMPFIELD (PA),BULLDOGS (PA),COUGAR ELITE (NJ),LEHIGH VALLEY OUTLAWS (PA),KENNETT BLUE DEMONS U13A (PA),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,
12:10:00 A,,VIPER 6 (NY),COUGAR ELITE WHITE (NJ),RADNOR LC (PA),RIDGE FUTURES GREEN (NJ),MT. LEBANON U13A (PA),BYC 13A SKULSKI (PA),RIDLEY U13 (PA),PA ROUGHRIDERS 2020 SELECT (PA),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,
01:00:00 H,,,,,,,,,,,,,,,,,,,,,,,
01:00:00 A,,,,,,,,,,,,,,,,,,,,,,,
01:50:00 H,,,,,,,,,,,,,,,,,,,,,,,
01:50:00 A,,,,,,,,,,,,,,,,,,,,,,,
02:40:00 H,,,,,,,,,,,Boys Club 2021/2A-1,,,,,,,,,,,,Boys Club 2021/2A-1
02:40:00 A,,,,,,,,,,,Boys Club 2023/4A-1,,,,,,,,,,,,Boys Club 2023/4A-1
03:30:00 H,,,,,,,,,,,Boys U13A-1,,,,,,,,,,,,Boys U13A-1
03:30:00 A,,,,,,,,,,,Boys U13A-2,,,,,,,,,,,,Boys U13A-2
