liberty 2015.csv - | Standings by Pool

Division: Boys Club 2019A
Pool 1,Win,Loss,Seed
RIDGE FUTURES SILVER,,,
MESA FRESH 2019,,,
SONS 2020,,,
MD WOLFPACK 2019B,,,

Division: Boys Club 2020A
Pool 1,Win,Loss,Seed
STARS & STRIPES 2020/2021 BLUE,,,
RIDGE FUTURES BLACK,,,
MD WOLFPACK 2020,,,
STARS & STRIPES 2020/2021 RED,,,

Division: Boys Club 2021/22A
Pool 1,Win,Loss,Seed
STARS & STRIPES 2022 BLUE,,,
PA ROUGHRIDERS 2021 SELECT,,,
COUGAR ELITE  BLUE,,,
MD WOLFPACK 2021,,,

Division: Boys Club 2023/24A
Pool 1,Win,Loss,Seed
UPRISING 2023,,,
DELTA HOUSE,,,
PA ROUGHRIDERS 2024,,,
PA ROUGHRIDERS 2023,,,
UPRISING 2024,,,
FREEDOM LC 2024,,,

Division: Boys U11A
Pool 1,Win,Loss,Seed,Pool 2,Win,Loss,Seed
CYLAX TRAVEL A,,,,LIONVILLE U11A,,,
COUGAR ELITE,,,,VIPER LUZZI,,,
TEAM HARLEY 2022,,,,RIDGE FUTURES WHITE,,,
HALLORAN 11A,,,,KENNETT BLUE DEMONS,,,
UNIONVILLE BLUE,,,,STARS & STRIPES 2022 RED,,,
CHOSEN,,,,SOUTH PARKLAND,,,

Division: Boys U11B
Pool 1,Win,Loss,Seed,Pool 2,Win,Loss,Seed
VIPER 3,,,,HOUSE LEAGUE ALL STARS,,,
CYLAX TRAVEL C,,,,CYLAX TRAVEL B,,,
BLAZE U 11,,,,COATESVILLE RED RAIDERS,,,
CYLAX HOUSE,,,,TWIN VALLEY RAIDERS - 3-4 LIGHTNING,,,
TEAM HARLEY 2023,,,,HW TURTLES,,,
MAD DOGS,,,,BYC U11B,,,

Division: Boys U13A
Pool 1,Win,Loss,Seed,Pool 2,Win,Loss,Seed
RIDLEY U13,,,,BYC 13A SKULSKI,,,
KENNETT BLUE DEMONS U13A,,,,MT. LEBANON U13A,,,
LEHIGH VALLEY OUTLAWS,,,,PA ROUGHRIDERS 2020 SELECT,,,
COUGAR ELITE,,,,BULLDOGS,,,

Division: Boys U13B
Pool 1,Win,Loss,Seed,Pool 2,Win,Loss,Seed,Pool 3,Win,Loss,Seed,Pool 4,Win,Loss,Seed
GREAT VALLEY PATRIOTS,,,,RADNOR LC,,,,BLAZE U-13,,,,CYLAX GRAY C,,,
PA ROUGHRIDERS 2022,,,,COUGAR ELITE WHITE,,,,MARPLE NEWTOWN TIGERS I,,,,UNIONVILLE INDIANS,,,
ASHBEE ORANGE,,,,VIPER 6,,,,RIDGE FUTURES GREEN,,,,BYC U13B-2,,,
HEMPFIELD,,,,SOUTH PARKLAND,,,,CYLAX GARNET B,,,,PHILADELPHIA FREEDOM 2021 WHITE,,,

Division: Boys U15A
Pool 1,Win,Loss,Seed
SCHNECKSVILLE SPA,,,
LEHIGH VALLEY OUTLAWS,,,
COUGAR ELITE,,,
VIPER 19,,,

Division: Boys U15B
Pool 1,Win,Loss,Seed
SOUDERTON,,,
HAVEN,,,
HAVERFORD BLAZE U-15,,,
COUGAR ELITE,,,

Division: Boys U9A
Pool 1,Win,Loss,Seed
HARLEY 2024,,,
CYLAX GARNET A,,,
BLUE DEMONS,,,
TIGERS U9,,,

Division: Boys U9B
Pool 1,Win,Loss,Seed
BEL AIR TYKER BOYS,,,
OLDE ENGLISH LACROSSE,,,
CYLAX GRAY B,,,
COLLEGEVILLE COUGARS,,,

