game,date,time,field,bracket,ROUND,team,SCORE
3768554,04/11/2015,1:30 PM,CBAA 1,A3,1,Perkiomen Valley A,
3770136,04/11/2015,1:30 PM,CBAA 2,B1,1,CBAA B,
3770136,04/11/2015,1:30 PM,CBAA 2,B1,1,Calvary B,
3768155,04/11/2015,1:30 PM,CBAA 2,B1,2,CBAA B,
3768155,04/11/2015,1:30 PM,CBAA 2,B1,2,Calvary B,
3770137,04/11/2015,1:30 PM,CBAA 2,B1,3,CBAA B,
3770137,04/11/2015,1:30 PM,CBAA 2,B1,3,Calvary B,
3763190,04/11/2015,1:30 PM,Brooke Elementary,B1A,1,Spring-Ford B,
3763190,04/11/2015,1:30 PM,Brooke Elementary,B1A,1,Crooked Crosse B,
3767969,04/11/2015,1:30 PM,William Penn Middle Scho,B3,1,Lower Bucks White B,
3767969,04/11/2015,1:30 PM,William Penn Middle Scho,B3,1,Warriors White B,
3767994,04/11/2015,3:00 PM,Brooke Elementary School,B3,1,Spring-Ford B,
3767994,04/11/2015,3:00 PM,Brooke Elementary School,B3,1,New Hope B,
3767964,04/11/2015,3:00 PM,William Penn Middle Scho,B3,1,Lower Bucks Blue B,
3767964,04/11/2015,3:00 PM,William Penn Middle Scho,B3,1,Wariors Blue B,
3769595,04/11/2015,3:00 PM,Ridley Municipal Park,B2,1,Ridley B,
3769595,04/11/2015,3:00 PM,Ridley Municipal Park,B2,1,Drexel Hill B,
3767911,04/12/2015,10:30 AM,Newtown Elementary,B2,2,Council Rock B,
3767911,04/12/2015,10:30 AM,Newtown Elementary,B2,2,CBAA B,
3763154,04/12/2015,10:30 AM,Boyertown,B1A,2,Boyertown B,
3763154,04/12/2015,10:30 AM,Boyertown,B1A,1,Wissahickon B,
3763162,04/12/2015,11:00 AM,CCLC,B1A,2,Crooked Crosse B,
3763162,04/12/2015,11:00 AM,CCLC,B1A,1,Perkiomen Valley B,
3768032,04/12/2015,12:00 PM,Deep Run,A1,2,Deep Run A,
3768032,04/12/2015,12:00 PM,Deep Run,A1,2,North Penn A,
3763186,04/12/2015,12:00 PM,Springfield - Church Rd,B1A,2,Springfield B,
3763186,04/12/2015,12:00 PM,Springfield - Church Rd,B1A,2,Moorestown B,
3767857,04/12/2015,12:00 PM,Nathaniel Boileau Park,A3,2,Upper Moreland A,
3767857,04/12/2015,12:00 PM,Nathaniel Boileau Park,A3,2,North Penn A,
3767944,04/12/2015,12:00 PM,Newtown Elementary,B3,2,Council Rock B,
3767944,04/12/2015,12:00 PM,Newtown Elementary,B3,2,Spartan B,
3767871,04/12/2015,12:00 PM,Calvary AA,B1,4,Calvary B,
3767871,04/12/2015,12:00 PM,Calvary AA,B1,2,Warriors B,
