GAME,DATE,time,field,bracket,ROUND,team,score
52,,11:00 AM,Edgewood,White,2,Montgomery Juventus,
52,,11:00 AM,Edgewood,White,2,Springfield Shamrocks,
53,,11:00 AM,Mann,White,2,MNSA Ambush,
53,,11:00 AM,Mann,White,2,RUSC Rage,
54,,11:00 AM,Catania Park #1,Green,2,LMSC Liberty,
54,,11:00 AM,Catania Park #1,Green,2,RUSC Rebels,
55,,11:00 AM,Catania Park #2,Green,2,GVSC Hot Shots,
55,,11:00 AM,Catania Park #2,Green,2,Aston Lightning,
56,,11:00 AM,RHS #1,White,1,HFC United - White,
56,,11:00 AM,RHS #1,White,2,Springfield Chargers,
57,,11:00 AM,Tinicum #3,Green,1,Rose Tree Thunder,
57,,11:00 AM,Tinicum #3,Green,2,Aston Rage,
58,,11:00 AM,RHS #3,White,2,Rose Tree Fireworks,
58,,11:00 AM,RHS #3,White,2,RUSC Stingers,
59,,11:00 AM,RHS #4,White,2,Haverford Spirit,
59,,11:00 AM,RHS #4,White,2,White Clay Firehawks,
60,,11:00 AM,RHS #6,,1,Springfield Storm,
60,,11:00 AM,RHS #6,,2,RUSC Rolling Thunder,
61,,11:00 AM,RMS Upper,Green,1,Bel Air FC Blaze,
61,,11:00 AM,RMS Upper,Green,2,Harford FC United,
62,,11:00 AM,Interboro JV,White,2,Rose Tree Outlawz,
62,,11:00 AM,Interboro JV,White,2,GVSC Stealth,
63,,11:00 AM,Interboro Varsity,White,2,Interboro Wizards,
63,,11:00 AM,Interboro Varsity,White,2,RUSC Rebels,
64,,11:00 AM,RHS #2,Green,1,Harleysville Valencia,
64,,11:00 AM,RHS #2,Green,2,Chicester SC Cheetahs,
65,,12:00 PM,Tinicum #1,Green,2,Haverford Heat Wave,
65,,12:00 PM,Tinicum #1,Green,2,RUSC Rams,
66,,12:00 PM,Tinicum #2,Green,2,Springfield Celtic,
66,,12:00 PM,Tinicum #2,Green,2,BYC United,
67,,12:00 PM,Edgewood,White,4,Interboro Bucs,
67,,12:00 PM,Edgewood,White,2,RUSC Raiders,
68,,12:00 PM,Mann,White,2,Aston Devils,
68,,12:00 PM,Mann,White,2,BYC Explosion,
69,,12:00 PM,Catania Park #1,White,2,Haveford Wildcats,
69,,12:00 PM,Catania Park #1,White,2,RUSC Revenge,
70,,12:00 PM,Catania Park #2,White,2,MNSA Crush,
70,,12:00 PM,Catania Park #2,White,2,Springfield Sparks,
71,,12:00 PM,RHS #1,White,2,BYC Whales,
71,,12:00 PM,RHS #1,White,2,HSC Tornadoes,
72,,12:00 PM,Tinicum #3,Green,2,WCU Eagles,
72,,12:00 PM,Tinicum #3,Green,2,HFC Defazio United,
73,,12:00 PM,RHS #6,,2,Aston Avalanche,
73,,12:00 PM,RHS #6,,2,Nether Lenape Thunder,
74,,12:00 PM,RHS #3,Green,2,Haverford Lightning,
74,,12:00 PM,RHS #3,Green,2,Springfield Sizzle,
75,,12:00 PM,RHS #4,Green,2,Interboro Thunder,
75,,12:00 PM,RHS #4,Green,2,Montgomery Revolution,
76,,12:00 PM,Interboro JV,,2,Aston Storm,
76,,12:00 PM,Interboro JV,,2,HFC United,
77,,12:00 PM,Interboro Varsity,,2,BYC Dragons,
77,,12:00 PM,Interboro Varsity,,2,Lionville Kixx,
78,,12:00 PM,RMS Upper,Green,2,Aston Strikers,
78,,12:00 PM,RMS Upper,Green,2,RUSC Rockets,
79,,12:00 PM,RHS #5,Green,2,FC York 99 Elite,
79,,12:00 PM,RHS #5,Green,2,RUSC Dynamite,
80,,12:00 PM,RMS Lower,Green,2,West Mont United Union,
