Club ID,Date,Start,Finish,Team,Facility,Type,Opponent,Note,N/A,For,Against,DB ID,Ofcl,Write Up
2013001125,04/12/2015,10:30 AM,12:00 PM,Boyertown B1A,Boyertown,Game,Wissahickon B1A,,,,,3763154,,
2013001133,04/12/2015,11:00 AM,12:30 PM,Crooked Crosse B1A,CCLC,Game,Perkiomen Valley B1A,,,,,3763162,,
2013001491,04/12/2015,12:00 PM,1:30 PM,Deep Run A1,Deep Run,Game,North Penn A1,,,,,3768032,,
2013001157,04/12/2015,12:00 PM,1:30 PM,Springfield B1A,Springfield - Church Rd,Game,Moorestown B1A,,,,,3763186,,
2013001296,04/12/2015,12:00 PM,1:30 PM,Upper Moreland A3,Nathaniel Boileau Park,Game,North Penn A3,,,,,3767857,,
2013001396,04/12/2015,12:00 PM,1:30 PM,Council Rock B3,Newtown Elementary,Game,Spartan B3,,,,,3767944,,
2013001310,04/12/2015,12:00 PM,1:30 PM,Calvary B1,Calvary AA,Game,Warriors B1,,,,,3767871,,
2013001260,04/12/2015,12:00 PM,1:30 PM,Horsham A3,Cedar Hill Park,Game,Spring-Ford A3,,,,,3767821,,
2013001411,04/12/2015,12:00 PM,1:30 PM,Lansing B3,Abraham Lincoln High Sch,Game,Wariors Blue B3,,,,,3767959,,
2013001844,04/12/2015,12:00 PM,1:30 PM,Boyertown B3,Boyertown,Game,Wissahickon Gold B3,,,,,3768595,,
2013001130,04/12/2015,12:00 PM,1:30 PM,CBAA B1A,CBAA 2,Game,Spring-Ford B1A,,,,,3763159,,
2013001466,04/12/2015,12:00 PM,1:30 PM,Warriors White B3,Twin Oaks Day Camp Field,Game,Lower Bucks Blue B3,,,,,3768009,,
2013001437,04/12/2015,12:00 PM,1:30 PM,Perkiomen Valley B3,Perk Valley Middle Schoo,Game,Upper Moreland B3,,,,,3767985,,
2013001122,04/12/2015,12:00 PM,1:30 PM,Ashbee B1A,Lower Merion - Grass,Game,Rose Tree B1A,,,,,3763151,,
2013001426,04/12/2015,12:00 PM,1:30 PM,New Hope B3,Hardy Bush Fields,Game,Wissahickon Blue B3,,,,,3767974,,
2013001218,04/12/2015,12:00 PM,1:30 PM,Lower Bucks A2,William Penn Middle Scho,Game,Spring-Ford A2,,,,,3767787,,
2013001210,04/12/2015,12:30 PM,2:00 PM,Crooked Crosse A2,CCLC,Game,Phoenixville A2,,,,,3767779,,
,04/12/2015,1:00 PM,2:30 PM,Haverford B3,Haverford,Game,Radnor White B3,,,,,3769811,,
,04/12/2015,1:00 PM,2:15 PM,Upper Merion C2,Heuser Field 1,Game,Haven C2,,,,,3771219,,
,04/12/2015,1:00 PM,2:30 PM,Radnor B2,Encke Field,Game,Haverford B2,,,,,3769594,,
,04/12/2015,1:00 PM,2:15 PM,Rose Tree C,Rose Tree,Game,Ridley C,,,,,3771110,,
,04/12/2015,1:00 PM,2:30 PM,Aston B3,Aston (Pennell Field),Game,Rose Tree B3,,,,,3769814,,
,04/12/2015,1:00 PM,2:30 PM,Conshohocken B1,Conshohocken,Game,Marple Newtown B2,,,,,3769596,,
,04/12/2015,1:00 PM,2:30 PM,Drexel Hill A2,Drexel Hill,Game,Radnor A2,,,,,3761638,,
,04/12/2015,1:00 PM,2:30 PM,Interboro A2,Interboro,Game,Rose Tree A2,,,,,3761637,,
,04/12/2015,1:00 PM,2:30 PM,Haven B1,Haven - King Field Turf,Game,Radnor B1,,,,,3768902,,
2013001110,04/12/2015,1:00 PM,2:30 PM,Radnor A1A,Radnor Memorial Park,Game,Haverford A1A,,,,,3750134,,
,04/12/2015,1:00 PM,2:30 PM,Marple B3,Episcopal Academy Turf,Game,Radnor Maroon B3,,,,,3769813,,
2013001392,04/12/2015,1:30 PM,3:00 PM,CBAA B3,CBAA 2,Game,Spring-Ford B3,,,,,3767940,,
2013001367,04/12/2015,1:30 PM,3:00 PM,Phoenixville B2,PMYC Clubhouse Field,Game,Upper Moreland B2,,,,,3767924,,
2013001362,04/12/2015,1:30 PM,3:00 PM,Lansing B2,Abraham Lincoln High Sch,Game,Warriors B2,,,,,3767919,,
2013001182,04/12/2015,1:30 PM,3:00 PM,Horsham A1,Cedar Hill Park,Game,Spartan A1,,,,,3767755,,
2013001330,04/12/2015,1:30 PM,3:00 PM,Lower Bucks B1,William Penn Middle Scho,Game,Horsham B1,,,,,3767891,,
2013001285,04/12/2015,1:30 PM,3:00 PM,Perkiomen Valley A3,Perk Valley Middle Schoo,Game,Wissahickon A3,,,,,3767846,,
2013001300,04/12/2015,1:30 PM,3:00 PM,Warriors A3,Twin Oaks Day Camp Field,Game,Calvary A3,,,,,3767861,,
2013001630,04/12/2015,1:30 PM,3:00 PM,Council Rock B1,Newtown Elementary,Game,Spartan B1,,,,,3768159,,
2013001172,04/12/2015,1:30 PM,3:00 PM,Calvary A1,Calvary AA,Game,Perkiomen Valley A1,,,,,3767745,,
2013001214,04/12/2015,1:30 PM,3:00 PM,Deep Run A2,Deep Run,Game,North Penn A2,,,,,3767783,,
,04/12/2015,1:45 PM,3:15 PM,Springfield B2,Springfield - Church Rd,Game,Ashbee B2,,,,,3769593,,
,04/12/2015,1:45 PM,3:15 PM,Asbee B1,Lower Merion - Grass,Game,Springfield B1,,,,,3768903,,
2013001828,04/12/2015,2:00 PM,3:30 PM,Souderton B3,Souderton,Game,North Penn B3,,,,,3768576,,
,04/12/2015,2:45 PM,4:00 PM,Marple Newtown C2,EA Stadium Turf,Game,Aston C2,,,,,3771218,,
,04/12/2015,2:45 PM,4:15 PM,Haven B3,Haven - King Field Turf,Game,Ridley B3,,,,,3769812,,
2013001149,04/12/2015,2:45 PM,4:15 PM,Radnor B1A,Radnor Memorial Park,Game,Haverford B1A,,,,,3763178,,
,04/12/2015,2:45 PM,4:00 PM,Marple Newtown C,Episcopal Academy Turf,Game,Upper Merion C,,,,,3771109,,
,04/12/2015,2:45 PM,4:00 PM,Radnor C,Encke Field,Game,Springfield C1,,,,,3771107,,
