Date,Start,Finish,Team,Facility,Type,Opponent,DB ID
5/10/15,11:45 AM,1:00 PM,Boys U9 B>MYL Boys U9B Junior Tomahawks 2,Reeds 4,Game,Boys U9 B>Hudson Hawks White,5208203
5/10/15,11:45 AM,1:00 PM,Boys U9 A>Derry U9A,Humphrey Field,Game,Boys U9 A>Rattlers U9 Black,5187861
5/10/15,11:45 AM,1:00 PM,Boys U11 C>Cocheco,Bellamy 3,Game,Boys U11 C>Derry U11C,5200916
5/10/15,11:45 AM,1:00 PM,Girls U11 A>Hampstead,Depot Road Field,Game,Girls U11 A>Amherst U11A - Gold,5183206
5/10/15,11:45 AM,1:00 PM,Boys U9 A>Bedford,Bedford-Joppa Hill Field,Game,Boys U9 A>Amherst U9A - Gold,5187857
5/10/15,11:45 AM,1:00 PM,Boys U13 B2>Litchfield U13,LLA - Sawmill Brook,Game,Boys U13 B2>MPAL U13 Blue,5194139
5/10/15,11:45 AM,1:00 PM,Boys U9 B>MPAL U9,Memorial HS,Game,Boys U9 B>Lakes Region Lacrosse Club,5208212
5/10/15,11:45 AM,1:00 PM,Girls U9 B>Concord Crush Orange,Martin Field,Game,Girls U9 B>Windham U9 Harvard,5187801
5/10/15,11:45 AM,1:00 PM,Girls U11 B>JSG U11G,Bolton Field,Game,Girls U11 B>Laconia Sachems,5183153
5/10/15,12:00 PM,1:15 PM,Boys U13 B1>Salem Snipers,Salem HS,Game,Boys U13 B1>Hollis Brookline,5200190
5/10/15,12:00 PM,1:15 PM,Girls U11 B>Hollis Brookline,Hollis Middle,Game,Girls U11 B>Merrimack Valley Blue Storm,5183148
5/10/15,12:00 PM,12:55 PM,Boys U15 B>Hudson Hawks Maroon,Presentation of Mary,Game,Boys U15 B>Keene Crush,5200285
5/10/15,12:15 PM,1:30 PM,Boys U9 B>Pelham Outlaws,Muldoon Park U9 Field,Game,Boys U9 B>Hopkinton U9 boys,5208207
5/10/15,12:15 PM,1:30 PM,Boys U15 B>Goffstown,Laurier St Field,Game,Boys U15 B>Peterborough,5200279
5/10/15,12:30 PM,1:45 PM,Boys U15 B>Hooksett,Donati Field,Game,Boys U15 B>Londonderry Boys U15 Warriors,5200278
5/10/15,12:30 PM,1:45 PM,Boys U11 A>Exeter - Blue,Sawyer Field,Game,Boys U11 A>Seacoast,5182670
5/10/15,12:30 PM,1:45 PM,Girls U9 B>Bow,Gosling Field,Game,Girls U9 B>Amherst U9B - Gold,5187797
5/10/15,12:30 PM,1:45 PM,Boys U9 B>Antrim U9 Boys,Shea Field,Game,Boys U9 B>Bow,5208209
5/10/15,12:45 PM,2:00 PM,Boys U13 B1>Seacoast,Portsmouth High,Game,Boys U13 B1>Hampton Lacrosse - Rip Tide,5200188
5/10/15,1:00 PM,2:15 PM,Girls U9 B>JSG U9G,Bolton Field,Game,Girls U9 B>MYL Girls U9B Junior Tomahawks,5187792
5/10/15,1:00 PM,2:15 PM,Boys U15 C>Bedford,Bedford HS,Game,Boys U15 C>Hanover,5200345
5/10/15,1:00 PM,2:15 PM,Boys U13 B2>Cocheco,Bellamy 3,Game,Boys U13 B2>Bow,5194138
5/10/15,1:00 PM,2:15 PM,Girls U13 A>Hampstead,Depot Road Field,Game,Girls U13 A>Amherst U13A - Gold,5183093
5/10/15,1:00 PM,2:15 PM,Boys U15 B>Hampton Lacrosse - Hounds ,North Hampton School,Game,Boys U15 B>Pelham Outlaws,5200281
5/10/15,1:00 PM,2:15 PM,Boys U9 A>Concord Crush Orange,Memorial Field,Game,Boys U9 A>Amherst U9A - Black,5187859
5/10/15,1:00 PM,2:15 PM,Boys U11 B2>Bedford,Bedford-Joppa Hill Field,Game,Boys U11 B2>Goffstown Hansen,5200978
5/10/15,1:00 PM,2:15 PM,Boys U13 A>Windham U13A,Griffin Park,Game,Boys U13 A>Nashua - White,5187267
5/10/15,1:00 PM,2:15 PM,Girls U11 A>Windham U11 Hopkins,Nashua Road,Game,Girls U11 A>Nashua ,5183208
5/10/15,1:00 PM,2:15 PM,Boys U11 B1>Hopkinton U11 Boys,Houston Fields #4,Game,Boys U11 B1>Pelham Outlaws,5187430
5/10/15,1:00 PM,2:15 PM,Girls U15 B>Laconia Sachems,Laconia HS,Game,Girls U15 B>Londonderry Girls U15,5182903
5/10/15,1:00 PM,1:55 PM,Boys U11 C>Hudson Hawks Maroon,Presentation of Mary,Game,Boys U11 C>MPAL U11 Blue,5200917
5/10/15,1:15 PM,2:30 PM,Girls U11 A>Hollis Brookline,Hollis Middle,Game,Girls U11 A>Seacoast - Smith,5183207
5/10/15,2:00 PM,3:15 PM,Girls U11 B>Bow,Gosling Field,Game,Girls U11 B>Bedford,5183152
5/10/15,2:00 PM,3:15 PM,Girls U15 B>Hanover,Sachem Field,Game,Girls U15 B>Pelham Lady Outlaws,5182899
5/10/15,2:00 PM,3:30 PM,Girls U13 B>CONVAL LYNX,Shea Field,Game,Girls U13 B>ORYA White,5183027
5/10/15,2:00 PM,3:15 PM,Girls U13 B>Exeter,Sawyer Field,Game,Girls U13 B>MYL Girls U13B Junior Tomahawks,5183024
5/10/15,2:00 PM,3:15 PM,Girls U11 B>Goffstown,Laurier St Field,Game,Girls U11 B>MYL Girls U11B Junior Tomahawks,5183149
5/10/15,2:00 PM,3:15 PM,Girls U15 B>Hampton Lacrosse -White,Winnacunnet High School ,Game,Girls U15 B>Peterborough,5182906
5/10/15,2:15 PM,3:30 PM,Boys U15 B>Hopkinton U15 Boys,Houston Fields #4,Game,Boys U15 B>Laconia Sachems,5200287
5/10/15,2:15 PM,3:30 PM,Girls U15 B>Hampstead,Depot Road Field,Game,Girls U15 B>Abenaki-Wolfeboro,5182904
5/10/15,2:15 PM,3:30 PM,Boys U11 B1>JSG U11B,Bolton Field,Game,Boys U11 B1>ORYA White,5187429
5/10/15,2:15 PM,3:30 PM,Boys U13 B1>Bedford,Bedford HS,Game,Boys U13 B1>Exeter,5200192
5/10/15,2:15 PM,3:30 PM,Boys U11 B1>Hampton Lacrosse - Hounds,North Hampton School,Game,Boys U11 B1>Derry U11B1,5187426
5/10/15,2:30 PM,3:45 PM,Girls U13 A>Hollis Brookline,Hollis Middle,Game,Girls U13 A>Seacoast,5183094
5/10/15,3:15 PM,4:30 PM,Girls U13 B>Hampton Lacrosse - Blue,Winnacunnet High School ,Game,Girls U13 B>Merrimack Valley Blue Storm,5183032
5/10/15,3:15 PM,4:30 PM,Girls U15 B>Goffstown,Laurier St Field,Game,Girls U15 B>Cocheco,5182902
5/10/15,3:30 PM,4:45 PM,Boys U15 B>Derry U15B,Humphrey Field,Game,Boys U15 B>Black Bear,5200286
5/10/15,3:30 PM,4:45 PM,Boys U13 C>Bedford,Bedford HS,Game,Boys U13 C>Cocheco,5211075
5/10/15,3:30 PM,4:45 PM,Girls U13 B>Bow,Gosling Field,Game,Girls U13 B>Seacoast,5183033
5/10/15,3:30 PM,4:45 PM,Girls U13 A>Exeter,Sawyer Field,Game,Girls U13 A>Bedford,5183091
5/10/15,3:45 PM,5:00 PM,Girls U15 B>Hollis Brookline,Hollis Middle,Game,Girls U15 B>ORYA White,5182900
5/10/15,4:30 PM,5:45 PM,Girls U11 B>Hampton Lacrosse - Green,Winnacunnet High School ,Game,Girls U11 B>MPAL U11 Blue,5183150
5/10/15,4:30 PM,5:45 PM,Girls U13 B>Goffstown,Laurier St Field,Game,Girls U13 B>MPAL U13,5183022
5/10/15,4:45 PM,6:00 PM,Boys U13 B2>Concord Crush Black,Memorial Field,Game,Boys U13 B2>Abenaki-Wolfeboro,5194140
5/10/15,5:00 PM,6:15 PM,Girls U11 A>Exeter,Sawyer Field,Game,Girls U11 A>Concord Crush Orange,5183204
5/10/15,6:00 PM,7:15 PM,Boys U15 B>Concord Crush Orange,Memorial Field,Game,Boys U15 B>Bow,5200284
5/16/15,12:00 PM,1:15 PM,Girls U15 B>Hanover,Sachem Field,Game,Girls U15 B>Goffstown,5182863
5/17/15,8:00 AM,9:15 AM,Girls U15 B>Londonderry Girls U15,Matthew Thornton,Game,Girls U15 B>JSG U15G,5182912
5/17/15,8:00 AM,9:15 AM,Girls U11 B>Bedford,Bedford HS,Game,Girls U11 B>Windham U11 Syracuse,5183159
5/17/15,8:00 AM,9:15 AM,Boys U13 B2>Abenaki-Wolfeboro,The Nick,Game,Boys U13 B2>Cocheco,5194145
5/17/15,8:00 AM,9:15 AM,Boys U11 C>Concord Crush White,Memorial Field,Game,Boys U11 C>Cocheco,5200921
5/17/15,8:00 AM,9:15 AM,Girls U15 B>Abenaki-Wolfeboro,The Nick,Game,Girls U15 B>Goffstown,5182911
5/17/15,8:00 AM,9:15 AM,Boys U11 C>Derry U11C,Humphrey Field,Game,Boys U11 C>Black Bear,5200923
5/17/15,8:00 AM,9:15 AM,Boys U15 C>Litchfield U15,LLA - Sawmill Brook,Game,Boys U15 C>MPAL U15 Blue,5200349
5/17/15,8:00 AM,9:15 AM,Boys U15 A>Amherst U15A - Gold,Souhegan HS,Game,Boys U15 A>Cocheco,5182181
5/17/15,8:00 AM,9:15 AM,Girls U9 B>Londonderry U9 Cobras,West Road Field #2,Game,Girls U9 B>Londonderry Girls U9 Vipers,5187806
5/17/15,8:00 AM,9:15 AM,Boys U15 B>ORYA Red,little river park,Game,Boys U15 B>Hampton Lacrosse - Hounds ,5200292
5/17/15,8:00 AM,9:15 AM,Boys U15 B>Rattlers U15B,East Road Fields,Game,Boys U15 B>Derry U15B,5200297
5/17/15,8:00 AM,9:15 AM,Boys U13 B1>JSG U13B,Bolton Field,Game,Boys U13 B1>Nashua - Purple,5200200
5/17/15,8:00 AM,9:15 AM,Boys U9 B>Hopkinton U9 boys,Houston Field #1,Game,Boys U9 B>Nashua - White,5208220
5/17/15,8:00 AM,9:15 AM,Girls U15 A>Concord Crush Orange,Martin Field,Game,Girls U15 A>Bedford,5182960
5/17/15,8:00 AM,9:15 AM,Boys U9 A>Amherst U9A - Black,Middle Bean,Game,Boys U9 A>Bedford,5187863
5/17/15,8:00 AM,9:15 AM,Girls U13 B>Merrimack Valley Blue Storm,Penacook Elem,Game,Girls U13 B>Goffstown,5183044
5/17/15,8:00 AM,9:15 AM,Girls U15 B>MYL Girls U15B Junior Tomahawks,Bishop,Game,Girls U15 B>Hopkinton U15 Girls,5182914
5/17/15,8:00 AM,9:15 AM,Girls U11 B>Laconia Sachems,Laconia HS,Game,Girls U11 B>Hopkinton U11 Girls,5183162
5/17/15,8:30 AM,9:45 AM,Boys U15 A>Salem Snipers,Salem HS,Game,Boys U15 A>Derry U15A,5182178
5/17/15,9:00 AM,10:15 AM,Boys U11 A>Seacoast,Portsmouth High,Game,Boys U11 A>Concord Crush Orange,5182674
5/17/15,9:00 AM,10:15 AM,Boys U11 C>Hampstead,Depot Road Field,Game,Boys U11 C>Nashua - White,5200926
5/17/15,9:00 AM,10:15 AM,Boys U15 B>Black Bear,Coe-Brown Lower,Game,Boys U15 B>Concord Crush Orange,5200295
5/17/15,9:00 AM,10:15 AM,Boys U9 B>Hampstead Red,Phanzone,Game,Boys U9 B>Rattlers U9 Maroon,5208217
5/17/15,9:00 AM,10:15 AM,Girls U13 B>Pelham Lady Outlaws,Muldoon Park,Game,Girls U13 B>Cocheco,5183035
5/17/15,9:00 AM,10:15 AM,Boys U13 B1>Keene Crush Orange,Keene HS,Game,Boys U13 B1>Londonderry Boys U13 Hawks,5200198
5/17/15,9:15 AM,10:30 AM,Girls U13 A>Londonderry Girls U13,Matthew Thornton,Game,Girls U13 A>Lakes Region Lacrosse Club,5183100
5/17/15,9:15 AM,10:30 AM,Girls U9 B>MPAL U9 Blue,Memorial HS,Game,Girls U9 B>Lakes Region Lacrosse Club,5187808
5/17/15,9:15 AM,10:30 AM,Boys U9 B>Derry U9B - Red,Humphrey Field,Game,Boys U9 B>Salem Snipers,5208213
5/17/15,9:15 AM,10:30 AM,Girls U13 B>MYL Girls U13B Junior Tomahawks,Bishop,Game,Girls U13 B>Derry,5183036
5/17/15,9:15 AM,10:30 AM,Girls U13 A>Bedford,Bedford HS,Game,Girls U13 A>Windham U13 Duke,5183099
5/17/15,9:15 AM,10:30 AM,Girls U11 A>Concord Crush Orange,Martin Field,Game,Girls U11 A>Windham U11 Hopkins,5183212
5/17/15,9:15 AM,10:30 AM,Boys U13 B2>MPAL U13 Blue,Laconia HS,Game,Boys U13 B2>Laconia Sachems,5194146
5/17/15,9:15 AM,10:30 AM,Girls U13 B>Amherst U13B - Black,Lower Bean,Game,Girls U13 B>Windham U13 Virginia,5183039
5/17/15,9:15 AM,10:30 AM,Boys U9 A>Amherst U9A - Gold,Middle Bean,Game,Boys U9 A>Windham U9 Cornell,5187867
5/17/15,9:15 AM,10:30 AM,Boys U9 A>Nashua - Purple,Fairgrounds JrH,Game,Boys U9 A>JSG U9 Boys,5187864
5/17/15,9:15 AM,10:30 AM,Boys U11 B1>Londonderry Boys U11 Lynx,West Road Field #1,Game,Boys U11 B1>JSG U11B,5187433
5/17/15,9:15 AM,10:30 AM,Boys U13 B2>MYL Boys U13B Junior Tomahawks,Reeds 4,Game,Boys U13 B2>Hooksett,5194148
5/17/15,9:15 AM,10:30 AM,Boys U9 B>Litchfield U9,LLA - Sawmill Brook,Game,Boys U9 B>Londonderry Boys U9 Jaguars,5208223
5/17/15,9:15 AM,10:30 AM,Boys U13 A>Nashua - White,Stellos Stadium,Game,Boys U13 A>Londonderry Boys U13 Falcons,5187273
5/17/15,9:15 AM,10:30 AM,Boys U13 B2>Plymouth Youth Lacrosse,Bridge Road,Game,Boys U13 B2>Concord Crush Black,5194147
5/17/15,9:15 AM,10:30 AM,Girls U15 B>ORYA White,little river park,Game,Girls U15 B>Hanover,5182908
5/17/15,9:15 AM,10:30 AM,Girls U13 B>Keene Crush,Keene HS girls field,Game,Girls U13 B>Hampton Lacrosse - Blue,5183042
5/17/15,9:15 AM,10:30 AM,Girls U11 B>Merrimack Valley Blue Storm,Penacook Elem,Game,Girls U11 B>Hampton Lacrosse - Green,5183157
5/17/15,9:15 AM,10:30 AM,Girls U13 B>Abenaki-Wolfeboro,The Nick,Game,Girls U13 B>Bedford,5183041
5/17/15,9:15 AM,10:30 AM,Boys U11 B2>Concord Crush Black,Memorial Field,Game,Boys U11 B2>Bedford,5200983
5/17/15,9:15 AM,10:30 AM,Girls U9 B>Windham U9 Harvard,Searles School,Game,Girls U9 B>Concord Crush Black,5187809
5/17/15,9:15 AM,10:30 AM,Girls U13 B>JSG U13G,Bolton Field,Game,Girls U13 B>Hopkinton U13 Girls,5183040
5/17/15,9:30 AM,10:45 AM,Boys U13 C>Exeter,Sawyer Field,Game,Boys U13 C>Pelham Outlaws,5211085
5/17/15,9:30 AM,10:45 AM,Boys U13 B1>Cocheco,Bellamy 3,Game,Boys U13 B1>Bedford,5200197
5/17/15,9:30 AM,10:45 AM,Boys U9 B>Bow,Gosling Field,Game,Boys U9 B>Abenaki-Wolfeboro,5208224
5/17/15,10:00 AM,11:15 AM,Girls U15 B>Cocheco,Dover Fisk Field,Game,Girls U15 B>Plymouth Youth Lacrosse,5182909
5/17/15,10:00 AM,11:15 AM,Boys U11 B1>Lakes Region Lacrosse Club,LRLC The Meadows,Game,Boys U11 B1>Keene Crush Orange,5187431
5/17/15,10:00 AM,11:15 AM,Boys U9 B>Hooksett,Donati Field,Game,Boys U9 B>Pelham Outlaws,5200982
5/17/15,10:00 AM,11:15 AM,Girls U11 B>Lakes Region Lacrosse Club,New Hampton School Turf,Game,Girls U11 B>Hollis Brookline,5183164
5/17/15,10:15 AM,11:30 AM,Boys U13 B1>Hampstead,Depot Road Field,Game,Boys U13 B1>Seacoast,5200201
5/17/15,10:15 AM,11:30 AM,Boys U13 C>Black Bear,Coe-Brown Lower,Game,Boys U13 C>Bedford,5211080
5/17/15,10:15 AM,11:30 AM,Boys U13 A>Seacoast,Portsmouth High,Game,Boys U13 A>Derry U13A,5187276
5/17/15,10:15 AM,11:30 AM,Girls U11 B>Pelham Lady Outlaws,Muldoon Park,Game,Girls U11 B>Concord Crush Black,5183163
5/17/15,10:30 AM,11:45 AM,Boys U15 B>Nashua,Stellos Stadium,Game,Boys U15 B>Hanover,5200291
5/17/15,10:30 AM,11:45 AM,Boys U11 B2>Merrimack Valley Blue Storm,Boscawen Elementary ,Game,Boys U11 B2>MYL Boys U11B Junior Tomahawks,5200984
5/17/15,10:30 AM,11:45 AM,Boys U15 B>JSG U15B,Bolton Field,Game,Boys U15 B>Hudson Hawks Maroon,5200294
5/17/15,10:30 AM,11:45 AM,Boys U15 B>Laconia Sachems,Laconia HS,Game,Boys U15 B>Hooksett,5200298
5/17/15,10:30 AM,11:45 AM,Boys U11 A>Londonderry Boys U11 Razors,West Road Field #1,Game,Boys U11 A>Hampstead,5182676
5/17/15,10:30 AM,11:45 AM,Girls U15 B>Peterborough,Dublin School,Game,Girls U15 B>Hampstead,5182913
5/17/15,10:30 AM,11:45 AM,Girls U11 B>Amherst U11B - Black,Lower Bean,Game,Girls U11 B>Bow,5183161
5/17/15,10:30 AM,11:45 AM,Girls U13 B>Plymouth Youth Lacrosse,Bridge Road,Game,Girls U13 B>Bow,5183045
5/17/15,10:30 AM,11:45 AM,Girls U13 B>ORYA White,little river park,Game,Girls U13 B>Concord Crush Orange,5183037
5/17/15,10:30 AM,11:45 AM,Boys U13 A>Amherst U13A - Gold,Souhegan HS,Game,Boys U13 A>Concord Crush Orange,5187274
5/17/15,10:30 AM,11:45 AM,Girls U15 A>Derry,E. Derry Memorial School,Game,Girls U15 A>Amherst U15A - Gold,5182958
5/17/15,10:30 AM,11:45 AM,Boys U15 B>Keene Crush,Keene HS,Game,Boys U15 B>Hopkinton U15 Boys,5200296
5/17/15,10:30 AM,11:45 AM,Boys U9 B>Hampstead White,Phanzone,Game,Boys U9 B>Peterborough,5208219
5/17/15,10:30 AM,11:45 AM,Boys U9 B>Concord Crush Black,Memorial Field,Game,Boys U9 B>Windham U9 Navy,5208226
5/17/15,10:30 AM,11:45 AM,Boys U11 A>Bedford,Bedford HS,Game,Boys U11 A>Windham U11A,5182675
5/17/15,10:30 AM,11:45 AM,Girls U9 B>Amherst U9B - Gold,Middle Bean,Game,Girls U9 B>Windham U9 Yale,5187805
5/17/15,10:30 AM,11:45 AM,Girls U11 B>MYL Girls U11B Junior Tomahawks,Bishop,Game,Girls U11 B>Derry,5183165
5/17/15,10:30 AM,11:45 AM,Boys U11 B1>Derry U11B1,Humphrey Field,Game,Boys U11 B1>Salem Snipers,5187436
5/17/15,10:30 AM,11:45 AM,Girls U9 B>Nashua - White,Fairgrounds JrH,Game,Girls U9 B>Derry,5187803
5/17/15,10:45 AM,12:00 PM,Girls U11 B>Keene Crush,Keene HS girls field,Game,Girls U11 B>JSG U11G,5183160
5/17/15,10:45 AM,12:00 PM,Boys U15 C>Cocheco,Bellamy 3,Game,Boys U15 C>Bedford,5200348
5/17/15,11:00 AM,12:15 PM,Boys U15 B>Bow,Gosling Field,Game,Boys U15 B>Seacoast,5200293
5/17/15,11:00 AM,12:15 PM,Boys U11 B2>Goffstown Hansen,Laurier St Field,Game,Boys U11 B2>Amherst U11B - Black,5200985
5/17/15,11:00 AM,12:15 PM,Boys U13 B1>Exeter,Sawyer Field,Game,Boys U13 B1>Amherst U13B - Black,5200199
5/17/15,11:00 AM,11:55 AM,Boys U9 B>Hudson Hawks Maroon,Presentation of Mary,Game,Boys U9 B>MYL Boys U9B Junior Tomahawks 2,5208218
5/17/15,11:00 AM,11:55 AM,Boys U9 B>Hudson Hawks White,Presentation of Mary,Game,Boys U9 B>MYL Boys U9B Junior Tomahawks 1,5208216
5/17/15,11:15 AM,12:30 PM,Boys U9 B>Lakes Region Lacrosse Club,LRLC The Meadows,Game,Boys U9 B>Merrimack Valley Blue Storm,5208225
5/17/15,11:15 AM,12:30 PM,Boys U11 B2>Hooksett,Donati Field,Game,Boys U11 B2>Rattlers U11 Maroon,5208221
5/17/15,11:15 AM,12:30 PM,Girls U15 B>Lakes Region Lacrosse Club,New Hampton School Turf,Game,Girls U15 B>Laconia Sachems,5182910
5/17/15,11:30 AM,12:45 PM,Boys U9 B>Black Bear,Coe-Brown Lower,Game,Boys U9 B>Antrim U9 Boys,5208222
5/17/15,11:30 AM,12:45 PM,Girls U11 A>Seacoast - Smith,Portsmouth High,Game,Girls U11 A>Hampstead,5183211
5/17/15,11:30 AM,12:45 PM,Girls U15 B>Pelham Lady Outlaws,Muldoon Park,Game,Girls U15 B>Hampton Lacrosse -White,5182915
5/17/15,11:30 AM,12:45 PM,Boys U15 A>Hampstead,Depot Road Field,Game,Boys U15 A>Merrimack Valley Blue Storm,5182180
5/17/15,11:30 AM,12:45 PM,Boys U9 A>Pelham Outlaws,Muldoon Park U9 Field,Game,Boys U9 A>Derry U9A,5187866
5/17/15,11:45 AM,1:00 PM,Boys U9 A>Rattlers U9 Black,East Road Fields,Game,Boys U9 A>Concord Crush Orange,5187865
5/17/15,11:45 AM,1:00 PM,Girls U9 B>Amherst U9B - Black,Middle Bean,Game,Girls U9 B>Bow,5187807
5/17/15,11:45 AM,1:00 PM,Girls U11 A>Amherst U11A - Gold,Lower Bean,Game,Girls U11 A>Exeter,5183209
5/17/15,11:45 AM,1:00 PM,Boys U11 A>Nashua - Purple,Stellos Stadium,Game,Boys U11 A>Exeter - Blue,5182673
5/17/15,11:45 AM,1:00 PM,Boys U13 B2>Peterborough,Dublin School,Game,Boys U13 B2>Exeter,5194149
5/17/15,11:45 AM,1:00 PM,Girls U9 B>Nashua - Purple,Fairgrounds JrH,Game,Girls U9 B>Hampstead,5187804
5/17/15,11:45 AM,1:00 PM,Boys U11 B2>Laconia Sachems,Laconia HS,Game,Boys U11 B2>Plymouth Youth Lacrosse,5200988
5/17/15,11:45 AM,1:00 PM,Boys U9 B>Derry U9B - White,Humphrey Field,Game,Boys U9 B>Rattlers U9 White,5208215
5/17/15,11:45 AM,1:00 PM,Boys U13 A>ORYA Red,little river park,Game,Boys U13 A>Hooksett,5187275
5/17/15,11:45 AM,1:00 PM,Boys U11 B2>Londonderry Boys U11 Huskies,West Road Field #1,Game,Boys U11 B2>Peterborough,5200986
5/17/15,11:45 AM,1:00 PM,Boys U13 C>Concord Crush White,Memorial Field,Game,Boys U13 C>Salem,5211084
5/17/15,11:45 AM,1:00 PM,Boys U11 A>Amherst U11A - Gold,Souhegan HS,Game,Boys U11 A>Cocheco,5182672
5/17/15,11:45 AM,1:00 PM,Boys U9 B>Keene Crush,Keene HS,Game,Boys U9 B>MPAL U9 White,5208214
5/17/15,11:45 AM,1:00 PM,Boys U13 A>Bedford,Bedford HS,Game,Boys U13 A>Windham U13A,5187278
5/17/15,12:00 PM,1:15 PM,Girls U15 A>Hampton Lacrosse - Red,Winnacunnet High School ,Game,Girls U15 A>Seacoast,5182957
5/17/15,12:00 PM,1:15 PM,Boys U13 C>Cocheco,Bellamy 3,Game,Boys U13 C>Amherst U13C - White,5211082
5/17/15,12:00 PM,1:15 PM,Boys U13 B2>Londonderry Boys U13 Ravens,L'Derry Middle School,Game,Boys U13 B2>Litchfield U13,5194144
5/17/15,12:00 PM,12:55 PM,Boys U11 C>Hudson Hawks Maroon,Presentation of Mary,Game,Boys U11 C>Litchfield U11,5200922
5/17/15,12:15 PM,1:30 PM,Boys U11 B2>Goffstown Maroon,Laurier St Field,Game,Boys U11 B2>Seacoast,5200987
5/17/15,12:15 PM,1:30 PM,Girls U9 B>MYL Girls U9B Junior Tomahawks,Reeds 4,Game,Girls U9 B>Hopkinton U9 Girls,5187802
5/17/15,12:30 PM,1:45 PM,Boys U15 C>Lakes Region Lacrosse Club,LRLC The Meadows,Game,Boys U15 C>MYL Boys U15B Junior Tomahawks,5200351
5/17/15,12:30 PM,1:45 PM,Boys U11 C>Exeter - White,Sawyer Field,Game,Boys U11 C>Rattlers U11 White,5200920
5/17/15,12:30 PM,1:45 PM,Boys U13 B2>Bow,Gosling Field,Game,Boys U13 B2>Windham U13B ,5194143
5/17/15,12:45 PM,2:00 PM,Girls U13 B>Seacoast,Portsmouth High,Game,Girls U13 B>Black Bear,5183043
5/17/15,12:45 PM,2:00 PM,Boys U15 B>Pelham Outlaws,Muldoon Park,Game,Boys U15 B>Goffstown,5200290
5/17/15,12:45 PM,2:00 PM,Girls U9 B>Pelham Lady Outlaws,Muldoon Park U9 Field,Game,Girls U9 B>Concord Crush Orange,5187811
5/17/15,1:00 PM,2:15 PM,Girls U13 A>Amherst U13A - Gold,Lower Bean,Game,Girls U13 A>Exeter,5183096
5/17/15,1:00 PM,2:15 PM,Boys U15 B>Peterborough,Dublin School,Game,Boys U15 B>Exeter,5200299
5/17/15,1:00 PM,2:15 PM,Boys U9 A>MPAL U9 Blue,Memorial HS,Game,Boys U9 A>Milford U9A - Blue,5187862
5/17/15,1:00 PM,2:15 PM,Boys U11 B1>ORYA White,little river park,Game,Boys U11 B1>Hopkinton U11 Boys,5187435
5/17/15,1:00 PM,2:15 PM,Boys U9 B>Laconia Sachems,Laconia HS,Game,Boys U9 B>MPAL U9,5208227
5/17/15,1:00 PM,2:15 PM,Boys U11 C>Hampton Lacrosse - White,North Hampton School,Game,Boys U11 C>MPAL U11 Blue,5200924
5/17/15,1:00 PM,2:15 PM,Girls U13 A>Nashua - Purple,Stellos Stadium,Game,Girls U13 A>Hollis Brookline,5183097
5/17/15,1:00 PM,2:15 PM,Boys U13 C>Derry U13C,Humphrey Field,Game,Boys U13 C>Rattlers U13C,5211079
5/17/15,1:00 PM,1:55 PM,Boys U15 C>Hudson Hawks White,Presentation of Mary,Game,Boys U15 C>Plymouth Youth Lacrosse,5200352
5/17/15,1:00 PM,2:15 PM,Boys U15 A>Bedford,Bedford HS,Game,Boys U15 A>Windham U15,5182179
5/17/15,1:15 PM,2:30 PM,Boys U15 B>Londonderry Boys U15 Warriors,L'Derry Middle School,Game,Boys U15 B>Hollis Brookline,5200289
5/17/15,1:30 PM,2:45 PM,Boys U13 C>Goffstown,Laurier St Field,Game,Boys U13 C>Nashua - Black,5211083
5/17/15,2:00 PM,3:15 PM,Boys U13 B1>Hopkinton U13 Boys,Houston Fields #4,Game,Boys U13 B1>ORYA White,5200202
5/17/15,2:00 PM,3:15 PM,Boys U11 B1>Bow,Gosling Field,Game,Boys U11 B1>Hampton Lacrosse - Hounds,5187432
5/17/15,2:00 PM,3:15 PM,Boys U11 B1>Pelham Outlaws,Muldoon Park,Game,Boys U11 B1>Hollis Brookline,5187434
5/17/15,2:00 PM,3:15 PM,Boys U11 C>Exeter - Grey,Sawyer Field,Game,Boys U11 C>Windham U11C,5200925
5/17/15,2:00 PM,3:15 PM,Boys U15 C>Hanover,Sachem Field,Game,Boys U15 C>Abenaki-Wolfeboro,5200350
5/17/15,2:00 PM,3:15 PM,Girls U13 A>Seacoast,Portsmouth High,Game,Girls U13 A>Hampstead,5183098
5/17/15,2:15 PM,3:30 PM,Boys U13 B1>Hampton Lacrosse - Rip Tide,North Hampton School,Game,Boys U13 B1>Salem Snipers,5200196
5/17/15,2:15 PM,3:30 PM,Girls U15 B>Nashua,Stellos Stadium,Game,Girls U15 B>Hollis Brookline,5182907
5/17/15,2:15 PM,3:30 PM,Girls U13 B>MPAL U13,Memorial HS,Game,Girls U13 B>Exeter,5183034
5/17/15,3:15 PM,4:30 PM,Girls U11 A>Seacoast - Roelofs,Portsmouth High,Game,Girls U11 A>Hollis Brookline,5183210
5/17/15,3:15 PM,4:30 PM,Boys U13 A>Pelham Outlaws,Muldoon Park,Game,Boys U13 A>Goffstown,5187277
5/17/15,3:30 PM,4:45 PM,Girls U15 A>Exeter,Sawyer Field,Game,Girls U15 A>Windham U15 Cornell,5182959
