Chester County Lacrosse Association,,,,,,,,,,
Spring 2012 Master Schedule (released 3/13/12 10:00am),,,,,,,,,,
THIS IS THE FINAL SCHEDULE: REMIND COACHES OF THEIR LEAGUE OBLIGATION TO PLAY EVERY GAME AS SCHEDULED,,,,,,,,,,
"Field directions, rules, referee assignments, and the most current league information can be found at www.cclalax.org",,,,,,,,,,
,,,,,,,,,,
ABG = Abington,,,CVL = Collegeville,,PHX = Phoenixville,,,,,
ASH = Ashbee,,,GV = Great Valley,,ST = Conestoga,,,,,
AVG = Avon Grove,,,KEN = Kennett,,UNV = Unionville,,,,,
BYC = Brandywine,,,LV = Lionville,,WB = West Bradford/Downingtown MS,,,,,
COV = Coventry,,,,,WC = West Chester,,,,,
,,,,click arrow to,,,,click arrow to,,
,,,,filter for level,,,,filter for team,,
Game #,Date,Day,Time,Level,Visitor,Home,Field,Team,,
16,4/26/12,Thu,8:00 PM,U15A,COV,WC,WC Kelly Field,COVWC,,
501,4/27/12,Fri,6:30 PM,U11B,LV2,ASH,ASH Lower Merion HS,LV2ASH,,
10,4/27/12,Fri,6:30 PM,U15A,CVL,AVG,AVG Avon Grove HS,CVLAVG,,
565,4/27/12,Fri,6:30 PM,U11B,AVG1,AVG2,AVG Harmony Park,AVG1AVG2,,
518,4/27/12,Fri,6:30 PM,U11B,WC,BYC1,BYC Bethel Spr ES 12,WCBYC1,,
475,4/27/12,Fri,6:30 PM,U11B,LV3,CVL3,CVL Warrior Field,LV3CVL3,,
499,4/27/12,Fri,6:30 PM,U11B,PHX,GV,GV Great Valley MS,PHXGV,,
43,4/27/12,Fri,6:30 PM,U15A,WB,LV,LV Hoeffecker,WBLV,,
527,4/27/12,Fri,6:30 PM,U11B,WB,UNV2,UNV Patton MS 17,WBUNV2,,
209,4/28/12,Sat,2:00 PM,U13C,ASH,ABG,ABG Huntingdon Upper,ASHABG,,
20,4/28/12,Sat,TBD,U15A,ASH,ABG,ABG Samson Festival,ASHABG,,
148,4/28/12,Sat,10:00 AM,U13A,BYC,AVG,AVG Avon Grove HS,BYCAVG,,
304,4/28/12,Sat,12:00 PM,U15B,LV1,AVG,AVG Avon Grove HS,LV1AVG,,
452,4/28/12,Sat,2:00 PM,U13B,WC2,AVG1,AVG Avon Grove HS,WC2AVG1,,
171,4/28/12,Sat,10:00 AM,U11A,ASH,AVG,AVG Harmony Park,ASHAVG,,
541,4/28/12,Sat,12:00 PM,U11B,UNV1,AVG2,AVG Harmony Park,UNV1AVG2,,
407,4/28/12,Sat,2:00 PM,U13B,BYC1,AVG2,AVG Harmony Park,BYC1AVG2,,
553,4/28/12,Sat,10:00 AM,U11B,BYC1,BYC2,BYC Bethel Spr ES 12,BYC1BYC2,,
561,4/28/12,Sat,12:00 PM,U11B,AVG3,BYC3,BYC Bethel Spr ES 12,AVG3BYC3,,
200,4/28/12,Sat,2:00 PM,U11A,LV,BYC,BYC Bethel Spr ES 12,LVBYC,,
311,4/28/12,Sat,4:00 PM,U15B,LV2,BYC,BYC Garnet Valley MS,LV2BYC,,
271,4/28/12,Sat,2:00 PM,U15B,WC2,COV,COV Batdorf Park,WC2COV,,
458,4/28/12,Sat,4:00 PM,U11B,CVL1,COV2,COV Batdorf Park,CVL1COV2,,
344,4/28/12,Sat,2:00 PM,U13B,ASH,COV,COV West Vincent Twp,ASHCOV,,
415,4/28/12,Sat,10:00 AM,U13B,WC1,CVL,CVL Black Rock 6,WC1CVL,,
259,4/28/12,Sat,12:00 PM,U15B,WB,CVL,CVL Mt Kirk,WBCVL,,
69,4/28/12,Sat,2:00 PM,U13A,ASH,CVL,CVL Mt Kirk,ASHCVL,,
1,4/28/12,Sat,4:00 PM,U15A,COV,CVL,CVL Mt Kirk,COVCVL,,
480,4/28/12,Sat,2:00 PM,U11B,ST,CVL3,CVL Warrior Field,STCVL3,,
367,4/28/12,Sat,2:00 PM,U13B,ST1,GV,GV Great Valley MS,ST1GV,,
64,4/28/12,Sat,4:00 PM,U15A,AVG,GV,GV Great Valley MS,AVGGV,,
411,4/28/12,Sat,10:00 AM,U13B,BYC2,KEN,KEN Legacy Field C,BYC2KEN,,
586,4/28/12,Sat,12:00 PM,U11B,GV,KEN2,KEN Legacy Field C,GVKEN2,,
524,4/28/12,Sat,2:00 PM,U11B,WC,KEN1,KEN Legacy Field C,WCKEN1,,
91,4/28/12,Sat,4:00 PM,U13A,ABG,KEN,KEN Legacy Field C,ABGKEN,,
131,4/28/12,Sat,10:00 AM,U13A,WC,LV2,LV Hoeffecker,WCLV2,,
360,4/28/12,Sat,12:00 PM,U13B,ABG,LV,LV Hoeffecker,ABGLV,,
226,4/28/12,Sat,2:00 PM,U13C,KEN,LV,LV Hoeffecker,KENLV,,
482,4/28/12,Sat,4:00 PM,U11B,COV1,LV2,LV Hoeffecker,COV1LV2,,
498,4/28/12,Sat,10:00 AM,U11B,LV3,PHX,PHX PMYC,LV3PHX,,
280,4/28/12,Sat,12:00 PM,U15B,WC1,PHX,PHX PMYC,WC1PHX,,
113,4/28/12,Sat,12:00 PM,U13A,ST2,ST1,ST Wilson Park TEYSA,ST2ST1,,
39,4/28/12,Sat,2:00 PM,U15A,BYC,ST,ST Wilson Park TEYSA,BYCST,,
231,4/28/12,Sat,2:00 PM,U13C,BYC,UNV,UNV Upland Country DS,BYCUNV,,
398,4/28/12,Sat,10:00 AM,U13B,UNV,WB,WB Embreeville,UNVWB,,
390,4/28/12,Sat,12:00 PM,U13B,WC3,WC4,WC Kelly Field,WC3WC4,,
162,4/28/12,Sat,2:00 PM,U11A,ABG,WC,WC Kelly Field,ABGWC,,
42,4/28/12,Sat,4:00 PM,U15A,LV,WC,WC Kelly Field,LVWC,,
211,4/29/12,Sun,12:00 PM,U13C,WC,ABG,ABG Huntingdon Upper,WCABG,,
161,4/29/12,Sun,2:00 PM,U11A,LV,ABG,ABG Huntingdon Upper,LVABG,,
345,4/29/12,Sun,4:00 PM,U13B,COV,ABG,ABG Huntingdon Upper,COVABG,,
30,4/29/12,Sun,2:00 PM,U15A,GV,ASH,ASH Lower Merion HS,GVASH,,
272,4/29/12,Sun,4:00 PM,U15B,COV,BYC,BYC Garnet Valley MS,COVBYC,,
114,4/29/12,Sun,2:00 PM,U13A,ST1,LV1,LV Hoeffecker,ST1LV1,,
99,4/29/12,Sun,12:00 PM,U13A,ABG,UNV,UNV Upland Country DS,ABGUNV,,
25,4/29/12,Sun,12:00 PM,U15A,ABG,WB,WB Downingtown MS,ABGWB,,
220,4/30/12,Mon,6:30 PM,U13C,AVG,ASH,ASH Lower Merion HS,AVGASH,,
388,4/30/12,Mon,6:30 PM,U13B,WC3,AVG2,AVG Avon Grove HS,WC3AVG2,,
255,4/30/12,Mon,6:30 PM,U15B,LV1,CVL,CVL Black Rock 6,LV1CVL,,
369,4/30/12,Mon,6:30 PM,U13B,ST2,GV,GV Great Valley MS,ST2GV,,
239,4/30/12,Mon,6:30 PM,U13C,CVL,LV,LV Pine Creek,CVLLV,,
404,4/30/12,Mon,6:30 PM,U13B,BYC1,UNV,UNV Patton MS 17,BYC1UNV,,
328,4/30/12,Mon,6:30 PM,U15B,KEN,WB,WB Embreeville,KENWB,,
247,4/30/12,Mon,6:30 PM,U13C,BYC,WC,WC Kelly Field,BYCWC,,
300,4/30/12,Mon,8:00 PM,U15B,ST,WC2,WC Kelly Field,STWC2,,
289,4/30/12,Mon,6:30 PM,U15B,ASH,WC1,WC Rustin HS,ASHWC1,,
92,5/1/12,Tue,6:30 PM,U13A,ASH,ABG,ABG Huntingdon Upper,ASHABG,,
83,5/1/12,Tue,6:30 PM,U13A,ST1,COV,COV OJR HS,ST1COV,,
71,5/1/12,Tue,6:30 PM,U13A,ST2,CVL,CVL Black Rock 6,ST2CVL,,
339,5/1/12,Tue,6:30 PM,U13B,ST1,CVL,CVL Mt Kirk,ST1CVL,,
137,5/1/12,Tue,6:30 PM,U13A,UNV,GV,GV Great Valley MS,UNVGV,,
133,5/1/12,Tue,6:30 PM,U13A,BYC,LV2,LV Hoeffecker,BYCLV2,,
363,5/1/12,Tue,6:30 PM,U13B,ASH,LV,LV Lionville MS,ASHLV,,
144,5/1/12,Tue,6:30 PM,U13A,KEN,WC,WC Henderson HS,KENWC,,
416,5/1/12,Tue,6:30 PM,U13B,COV,WC2,WC Rustin HS,COVWC2,,
566,5/2/12,Wed,6:30 PM,U11B,AVG3,AVG1,AVG Avon Grove HS,AVG3AVG1,,
563,5/2/12,Wed,6:30 PM,U11B,KEN2,BYC3,BYC Bethel Spr ES 12,KEN2BYC3,,
579,5/2/12,Wed,7:00 PM,U11B,BYC1,COV2,COV OJR HS,BYC1COV2,,
478,5/2/12,Wed,6:30 PM,U11B,PHX,CVL3,CVL Warrior Field,PHXCVL3,,
585,5/2/12,Wed,6:30 PM,U11B,KEN1,LV3,LV Eagleview 2,KEN1LV3,,
189,5/2/12,Wed,6:30 PM,U11A,CVL,ST,ST TE Middle Sch 2,CVLST,,
199,5/2/12,Wed,6:30 PM,U11A,AVG,WB,WB Embreeville,AVGWB,,
519,5/2/12,Wed,6:30 PM,U11B,BYC2,WC,WC Kelly Field,BYC2WC,, 
284,5/3/12,Thu,6:30 PM,U15B,BYC,ASH,ASH Haverford Upper,BYCASH,,
13,5/3/12,Thu,6:30 PM,U15A,ST,COV,COV Batdorf Park,STCOV,,
48,5/3/12,Thu,6:30 PM,U15A,BYC,GV,GV Great Valley MS,BYCGV,,
29,5/3/12,Thu,6:30 PM,U15A,ASH,LV,LV Hoeffecker,ASHLV,,
312,5/3/12,Thu,6:30 PM,U15B,AVG,LV2,LV Pine Creek,AVGLV2,,
283,5/3/12,Thu,6:30 PM,U15B,PHX,UNV,UNV Upland Country DS,PHXUNV,,
34,5/4/12,Fri,6:30 PM,U15A,AVG,ASH,ASH Haverford Upper,AVGASH,,
170,5/4/12,Fri,6:30 PM,U11A,BYC,ASH,ASH Lower Merion HS,BYCASH,,
533,5/4/12,Fri,6:30 PM,U11B,WB,AVG3,AVG Harmony Park,WBAVG3,,
547,5/4/12,Fri,6:30 PM,U11B,UNV2,BYC2,BYC Bethel Spr ES 12,UNV2BYC2,,
494,5/4/12,Fri,6:30 PM,U11B,ASH,COV2,COV OJR HS,ASHCOV2,,
583,5/4/12,Fri,6:30 PM,U11B,AVG2,LV1,LV Eagleview 1,AVG2LV1,,
177,5/4/12,Fri,6:30 PM,U11A,WC,LV,LV Eagleview 2,WCLV,,
176,5/4/12,Fri,6:30 PM,U11A,AVG,ST,ST TE Middle Sch 1,AVGST,,
506,5/4/12,Fri,6:30 PM,U11B,LV2,ST,ST TE Middle Sch 2,LV2ST,,
540,5/4/12,Fri,6:30 PM,U11B,AVG1,UNV1,UNV Patton MS 17,AVG1UNV1,,
98,5/5/12,Sat,10:00 AM,U13A,WC,ABG,ABG Huntingdon Upper,WCABG,,
359,5/5/12,Sat,12:00 PM,U13B,GV,ABG,ABG Huntingdon Upper,GVABG,,
80,5/5/12,Sat,12:00 PM,U13A,COV,ASH,ASH Shipley Farm Field,COVASH,,
503,5/5/12,Sat,2:00 PM,U11B,GV,ASH,ASH Shipley Farm Field,GVASH,,
54,5/5/12,Sat,10:00 AM,U15A,WB,AVG,AVG Avon Grove HS,WBAVG,,
262,5/5/12,Sat,12:00 PM,U15B,CVL,AVG,AVG Avon Grove HS,CVLAVG,,
568,5/5/12,Sat,2:00 PM,U11B,KEN2,AVG1,AVG Avon Grove HS,KEN2AVG1,,
395,5/5/12,Sat,2:00 PM,U13B,WC4,AVG1,AVG Harmony Park,WC4AVG1,,
558,5/5/12,Sat,4:00 PM,U11B,KEN1,BYC2,BYC Bethel Spr ES 12,KEN1BYC2,,
33,5/5/12,Sat,10:00 AM,U15A,ASH,BYC,BYC Garnet Valley MS,ASHBYC,,
408,5/5/12,Sat,12:00 PM,U13B,KEN,BYC1,BYC Garnet Valley MS,KENBYC1,,
422,5/5/12,Sat,2:00 PM,U13B,LV,BYC2,BYC Garnet Valley MS,LVBYC2,,
346,5/5/12,Sat,2:00 PM,U13B,ST2,COV,COV Batdorf Park,ST2COV,,
267,5/5/12,Sat,4:00 PM,U15B,ST,COV,COV Batdorf Park,STCOV,,
77,5/5/12,Sat,2:00 PM,U13A,BYC,CVL,CVL Mt Kirk,BYCCVL,,
7,5/5/12,Sat,4:00 PM,U15A,WC,CVL,CVL Mt Kirk,WCCVL,,
459,5/5/12,Sat,10:00 AM,U11B,PHX,CVL1,CVL Warrior Field,PHXCVL1,,
468,5/5/12,Sat,12:00 PM,U11B,COV2,CVL2,CVL Warrior Field,COV2CVL2,,
201,5/5/12,Sat,2:00 PM,U13C,ABG,CVL,CVL Warrior Field,ABGCVL,,
151,5/5/12,Sat,4:00 PM,U11A,ABG,CVL,CVL Warrior Field,ABGCVL,,
116,5/5/12,Sat,2:00 PM,U13A,ST1,GV,GV Great Valley MS,ST1GV,,
36,5/5/12,Sat,4:00 PM,U15A,ST,GV,GV Great Valley MS,STGV,,
313,5/5/12,Sat,10:00 AM,U15B,LV2,KEN,KEN Legacy Field C,LV2KEN,,
129,5/5/12,Sat,12:00 PM,U13A,LV1,KEN,KEN Legacy Field C,LV1KEN,,
122,5/5/12,Sat,10:00 AM,U13A,ST2,LV2,LV Hoeffecker,ST2LV2,,
14,5/5/12,Sat,12:00 PM,U15A,COV,LV,LV Hoeffecker,COVLV,,
197,5/5/12,Sat,2:00 PM,U11A,WB,LV,LV Hoeffecker,WBLV,,
351,5/5/12,Sat,10:00 AM,U13B,ASH,PHX,PHX PMYC,ASHPHX,,
276,5/5/12,Sat,12:00 PM,U15B,ASH,PHX,PHX PMYC,ASHPHX,,
195,5/5/12,Sat,10:00 AM,U11A,BYC,ST,ST TE Middle Sch 2,BYCST,,
536,5/5/12,Sat,12:00 PM,U11B,UNV1,UNV2,UNV Patton MS 17,UNV1UNV2,,
146,5/5/12,Sat,2:00 PM,U13A,AVG,UNV,UNV Upland Country DS,AVGUNV,,
246,5/5/12,Sat,4:00 PM,U13C,WC,UNV,UNV Upland Country DS,WCUNV,,
528,5/5/12,Sat,10:00 AM,U11B,BYC1,WB,WB Embreeville,BYC1WB,,
523,5/5/12,Sat,10:00 AM,U11B,AVG3,WC,WC Kelly Field,AVG3WC,,
183,5/5/12,Sat,12:00 PM,U11A,AVG,WC,WC Kelly Field,AVGWC,,
382,5/5/12,Sat,2:00 PM,U13B,WB,WC2,WC Kelly Field,WBWC2,,
321,5/5/12,Sat,4:00 PM,U15B,UNV,WC2,WC Kelly Field,UNVWC2,,
317,5/5/12,Sat,12:00 PM,U15B,BYC,WC1,WC Rustin HS,BYCWC1,,
375,5/5/12,Sat,2:00 PM,U13B,UNV,WC1,WC Rustin HS,UNVWC1,,
425,5/6/12,Sun,12:00 PM,U13B,WC2,ABG,ABG Huntingdon Upper,WC2ABG,,
419,5/6/12,Sun,12:00 PM,U13B,WB,ASH,ASH Lower Merion HS,WBASH,,
81,5/6/12,Sun,2:00 PM,U13A,ABG,COV,COV Batdorf Park,ABGCOV,,
57,5/6/12,Sun,2:00 PM,U15A,ABG,CVL,CVL Warrior Field,ABGCVL,,
124,5/6/12,Sun,2:00 PM,U13A,GV,LV1,LV Hoeffecker,GVLV1,,
212,5/6/12,Sun,12:00 PM,U13C,ABG,UNV,UNV Upland Country DS,ABGUNV,,
290,5/7/12,Mon,6:30 PM,U15B,LV2,ASH,ASH Lower Merion HS,LV2ASH,,
332,5/7/12,Mon,6:30 PM,U15B,BYC,AVG,AVG Avon Grove HS,BYCAVG,,
427,5/7/12,Mon,6:30 PM,U13B,WC4,COV,COV OJR HS,WC4COV,,
305,5/7/12,Mon,6:30 PM,U15B,KEN,LV1,LV Pine Creek,KENLV1,,
354,5/7/12,Mon,6:30 PM,U13B,LV,PHX,PHX PMYC,LVPHX,,
365,5/7/12,Mon,6:30 PM,U13B,ST1,ST2,ST TE Middle Sch 1,ST1ST2,,
389,5/7/12,Mon,6:30 PM,U13B,KEN,WC3,WC Kelly Field,KENWC3,, 
96,5/8/12,Tue,6:30 PM,U13A,LV2,ABG,ABG Huntingdon Upper,LV2ABG,,
338,5/8/12,Tue,6:30 PM,U13B,CVL,ASH,ASH Lower Merion HS,CVLASH,,
202,5/8/12,Tue,6:30 PM,U13C,CVL,ASH,ASH Shipley Farm Field,CVLASH,,
401,5/8/12,Tue,6:30 PM,U13B,WB,AVG2,AVG Harmony Park,WBAVG2,,
376,5/8/12,Tue,6:30 PM,U13B,WC1,BYC1,BYC Garnet Valley MS,WC1BYC1,,
89,5/8/12,Tue,6:30 PM,U13A,UNV,COV,COV Batdorf Park,UNVCOV,,
128,5/8/12,Tue,6:30 PM,U13A,AVG,LV1,LV Hoeffecker,AVGLV1,,
121,5/8/12,Tue,6:30 PM,U13A,KEN,ST2,ST Wilson Park TEYSA,KENST2,,
107,5/8/12,Tue,6:30 PM,U13A,ASH,WC,WC Rustin HS,ASHWC,,
549,5/9/12,Wed,6:30 PM,U11B,BYC1,AVG1,AVG Avon Grove HS,BYC1AVG1,,
520,5/9/12,Wed,6:30 PM,U11B,WC,BYC3,BYC Bethel Spr ES 12,WCBYC3,,
434,5/9/12,Wed,6:30 PM,U13B,KEN,COV,COV OJR HS,KENCOV,,
574,5/9/12,Wed,6:30 PM,U11B,KEN2,KEN1,KEN Legacy Field B,KEN2KEN1,,
481,5/9/12,Wed,6:30 PM,U11B,CVL3,LV1,LV Eagleview 1,CVL3LV1,,
473,5/9/12,Wed,6:30 PM,U11B,CVL2,LV2,LV Eagleview 2,CVL2LV2,,
508,5/9/12,Wed,6:30 PM,U11B,GV,ST,ST TE Middle Sch 1,GVST,,
196,5/9/12,Wed,6:30 PM,U11A,LV,WC,WC Kelly Field,LVWC,, 
281,5/9/12,Wed,8:00 PM,U15B,PHX,WC2,WC Kelly Field,PHXWC2,,
44,5/10/12,Thu,6:30 PM,U15A,LV,BYC,BYC Garnet Valley MS,LVBYC,,
6,5/10/12,Thu,6:30 PM,U15A,CVL,GV,GV Great Valley MS,CVLGV,,
297,5/10/12,Thu,6:30 PM,U15B,LV1,ST,ST Wilson Park CYL,LV1ST,,
37,5/10/12,Thu,6:30 PM,U15A,WC,ST,ST Wilson Park TEYSA,WCST,,
309,5/10/12,Thu,6:30 PM,U15B,LV2,WB,WB Embreeville,LV2WB,,
460,5/11/12,Fri,6:30 PM,U11B,CVL1,ASH,ASH Lower Merion HS,CVL1ASH,,
27,5/11/12,Fri,6:30 PM,U15A,ABG,AVG,AVG Avon Grove HS,ABGAVG,,
542,5/11/12,Fri,6:30 PM,U11B,UNV2,AVG3,AVG Harmony Park,UNV2AVG3,,
186,5/11/12,Fri,6:30 PM,U11A,AVG,BYC,BYC Bethel Spr ES 12,AVGBYC,,
472,5/11/12,Fri,6:30 PM,U11B,LV1,CVL2,CVL Warrior Field,LV1CVL2,,
537,5/11/12,Fri,6:30 PM,U11B,BYC1,UNV1,UNV Patton MS 17,BYC1UNV1,,
22,5/12/12,Sat,4:00 PM,U15A,LV,ABG,ABG Huntingdon Upper,LVABG,,
100,5/12/12,Sat,10:00 AM,U13A,BYC,ASH,ASH Haverford Upper,BYCASH,,
12,5/12/12,Sat,12:00 PM,U15A,COV,ASH,ASH Haverford Upper,COVASH,,
286,5/12/12,Sat,12:00 PM,U15B,KEN,ASH,ASH Shipley Farm Field,KENASH,,
356,5/12/12,Sat,2:00 PM,U13B,ABG,ASH,ASH Shipley Farm Field,ABGASH,,
414,5/12/12,Sat,9:00 AM,U13B,KEN,AVG2,AVG Avon Grove HS,KENAVG2,,
134,5/12/12,Sat,11:00 AM,U13A,LV2,AVG,AVG Avon Grove HS,LV2AVG,,
236,5/12/12,Sat,1:00 PM,U13C,KEN,AVG,AVG Avon Grove HS,KENAVG,,
569,5/12/12,Sat,1:00 PM,U11B,AVG2,AVG3,AVG Avon Grove HS,AVG2AVG3,,
318,5/12/12,Sat,3:00 PM,U15B,WC1,AVG,AVG Avon Grove HS,WC1AVG,,
206,5/12/12,Sat,10:00 AM,U13C,CVL,BYC,BYC Bethel Spr ES 12,CVLBYC,,
529,5/12/12,Sat,12:00 PM,U11B,WB,BYC2,BYC Bethel Spr ES 12,WBBYC2,,
554,5/12/12,Sat,2:00 PM,U11B,BYC3,BYC1,BYC Bethel Spr ES 12,BYC3BYC1,,
322,5/12/12,Sat,10:00 AM,U15B,WC2,BYC,BYC Garnet Valley MS,WC2BYC,,
55,5/12/12,Sat,12:00 PM,U15A,AVG,BYC,BYC Garnet Valley MS,AVGBYC,,
405,5/12/12,Sat,2:00 PM,U13B,UNV,BYC2,BYC Garnet Valley MS,UNVBYC2,,
484,5/12/12,Sat,4:00 PM,U11B,GV,COV1,COV Batdorf Park,GVCOV1,,
477,5/12/12,Sat,10:00 AM,U11B,COV2,CVL3,CVL Warrior Field,COV2CVL3,,
423,5/12/12,Sat,12:15PM,U13B,AVG1,GV,GV Great Valley MS,AVG1GV,,
140,5/12/12,Sat,10:00 AM,U13A,GV,KEN,KEN Legacy Field C,GVKEN,,
567,5/12/12,Sat,12:00 PM,U11B,AVG1,KEN1,KEN Legacy Field C,AVG1KEN1,,
507,5/12/12,Sat,12:00 PM,U11B,ST,LV3,LV Eagleview 1,STLV3,,
509,5/12/12,Sat,2:00 PM,U11B,LV1,LV2,LV Eagleview 1,LV1LV2,,
256,5/12/12,Sat,12:00 PM,U15B,CVL,LV2,LV Hoeffecker,CVLLV2,,
266,5/12/12,Sat,2:00 PM,U15B,COV,LV1,LV Hoeffecker,COVLV1,,
72,5/12/12,Sat,4:00 PM,U13A,CVL,LV1,LV Hoeffecker,CVLLV1,,
469,5/12/12,Sat,2:00 PM,U11B,CVL2,PHX,PHX PMYC,CVL2PHX,,
347,5/12/12,Sat,12:00 PM,U13B,COV,ST1,ST TE Middle Sch 2,COVST1,,
340,5/12/12,Sat,2:00 PM,U13B,CVL,ST2,ST TE Middle Sch 2,CVLST2,,
4,5/12/12,Sat,10:00 AM,U15A,CVL,ST,ST Wilson Park CYL,CVLST,,
82,5/12/12,Sat,2:00 PM,U13A,COV,ST2,ST Wilson Park CYL,COVST2,,
277,5/12/12,Sat,10:00 AM,U15B,PHX,ST,ST Wilson Park TEYSA,PHXST,,
93,5/12/12,Sat,12:00 PM,U13A,ABG,ST1,ST Wilson Park TEYSA,ABGST1,,
325,5/12/12,Sat,10:00 AM,U15B,WB,UNV,UNV Patton MS 17,WBUNV,,
141,5/12/12,Sat,12:00 PM,U13A,WC,UNV,UNV Patton MS 17,WCUNV,,
544,5/12/12,Sat,2:00 PM,U11B,KEN2,UNV2,UNV Patton MS 17,KEN2UNV2,,
223,5/12/12,Sat,4:00 PM,U13C,LV,UNV,UNV Patton MS 17,LVUNV,,
156,5/12/12,Sat,12:00 PM,U11A,CVL,WB,WB Embreeville,CVLWB,,
50,5/12/12,Sat,10:00 AM,U15A,WB,WC,WC Kelly Field,WBWC,,
372,5/12/12,Sat,12:00 PM,U13B,WC1,WC3,WC Kelly Field,WC1WC3,,
173,5/12/12,Sat,2:00 PM,U11A,ST,WC,WC Kelly Field,STWC,,
383,5/12/12,Sat,4:00 PM,U13B,WC2,WC4,WC Kelly Field,WC2WC4,,
163,5/13/12,Sun,12:00 PM,U11A,WB,ABG,ABG Huntingdon Upper,WBABG,,
215,5/13/12,Sun,2:00 PM,U13C,KEN,ABG,ABG Huntingdon Upper,KENABG,,
364,5/14/12,Mon,6:30 PM,U13B,GV,ASH,ASH Lower Merion HS,GVASH,,
243,5/14/12,Mon,6:30 PM,U13C,ASH,AVG,AVG Avon Grove HS,ASHAVG,,
228,5/14/12,Mon,6:30 PM,U13C,WC,BYC,BYC Bethel Spr ES 12,WCBYC,,
343,5/14/12,Mon,6:30 PM,U13B,PHX,COV,COV OJR HS,PHXCOV,,
441,5/14/12,Mon,6:30 PM,U13B,UNV,ST2,ST TE Middle Sch 1,UNVST2,,
440,5/14/12,Mon,6:30 PM,U13B,ST1,WC4,WC Kelly Field,ST1WC4,, 
94,5/15/12,Tue,6:30 PM,U13A,ST2,ABG,ABG Huntingdon Upper,ST2ABG,,
149,5/15/12,Tue,6:30 PM,U13A,KEN,BYC,BYC Garnet Valley MS,KENBYC,,
87,5/15/12,Tue,6:30 PM,U13A,GV,COV,COV OJR HS,GVCOV,,
105,5/15/12,Tue,6:30 PM,U13A,ASH,LV2,LV Hoeffecker,ASHLV2,,
222,5/15/12,Tue,6:30 PM,U13C,WC,LV,LV Pine Creek,WCLV,,
165,5/16/12,Wed,6:30 PM,U11A,AVG,ABG,ABG Huntingdon Upper,AVGABG,,
152,5/16/12,Wed,6:30 PM,U11A,CVL,ASH,ASH Lower Merion HS,CVLASH,,
580,5/16/12,Wed,6:30 PM,U11B,PHX,BYC2,BYC Bethel Spr ES 12,PHXBYC2,,
476,5/16/12,Wed,6:30 PM,U11B,CVL3,COV1,COV Batdorf Park,CVL3COV1,,
512,5/16/12,Wed,6:30 PM,U11B,LV3,LV2,LV Eagleview 2,LV3LV2,,
172,5/16/12,Wed,6:30 PM,U11A,LV,ST,ST TE Middle Sch 2,LVST,,
288,5/17/12,Thu,6:30 PM,U15B,ST,ASH,ASH Haverford Upper,STASH,,
49,5/17/12,Thu,6:30 PM,U15A,GV,AVG,AVG Harmony Park,GVAVG,,
269,5/17/12,Thu,6:30 PM,U15B,LV2,COV,COV Batdorf Park,LV2COV,,
17,5/17/12,Thu,6:30 PM,U15A,WB,COV,COV OJR HS,WBCOV,,
63,5/17/12,Thu,6:30 PM,U15A,BYC,LV,LV Hoeffecker,BYCLV,,
278,5/17/12,Thu,6:30 PM,U15B,LV1,PHX,PHX PMYC,LV1PHX,,
316,5/17/12,Thu,6:30 PM,U15B,WC1,UNV1,UNV Upland Country DS,WC1UNV1,,
31,5/17/12,Thu,6:30 PM,U15A,ASH,WC,WC Kelly Field,ASHWC,,
168,5/18/12,Fri,6:30 PM,U11A,WC,ASH,ASH Lower Merion HS,WCASH,,
78,5/18/12,Fri,6:30 PM,U13A,CVL,AVG,AVG Harmony Park,CVLAVG,,
545,5/18/12,Fri,6:30 PM,U11B,UNV2,BYC1,BYC Bethel Spr ES 12,UNV2BYC1,,
486,5/18/12,Fri,6:30 PM,U11B,ASH,COV1,COV OJR HS,ASHCOV1,,
577,5/18/12,Fri,6:30 PM,U11B,UNV1,CVL3,CVL Warrior Field,UNV1CVL3,,
178,5/18/12,Fri,6:30 PM,U11A,LV,WB,WB Embreeville,LVWB,,
218,5/19/12,Sat,10:00 AM,U13C,UNV,ASH,ASH Lower Merion HS,UNVASH,,
439,5/19/12,Sat,12:00 PM,U13B,WC2,ASH,ASH Lower Merion HS,WC2ASH,,
192,5/19/12,Sat,2:00 PM,U11A,WB,ASH,ASH Lower Merion HS,WBASH,,
104,5/19/12,Sat,4:00 PM,U13A,ST1,ASH,ASH Lower Merion HS,ST1ASH,,
264,5/19/12,Sat,12:00 PM,U15B,COV,ASH,ASH Shipley Farm Field,COVASH,,
572,5/19/12,Sat,12:00 PM,U11B,KEN1,AVG3,AVG Avon Grove HS,KEN1AVG3,,
451,5/19/12,Sat,2:00 PM,U13B,BYC2,BYC1,BYC Garnet Valley MS,BYC2BYC1,,
66,5/19/12,Sat,4:00 PM,U15A,WB,BYC,BYC Garnet Valley MS,WBBYC,,
485,5/19/12,Sat,12:00 PM,U11B,COV1,COV2,COV OJR HS,COV1COV2,,
85,5/19/12,Sat,2:00 PM,U13A,LV1,COV,COV OJR HS,LV1COV,,
15,5/19/12,Sat,4:00 PM,U15A,GV,COV,COV OJR HS,GVCOV,,
435,5/19/12,Sat,10:00 AM,U13B,AVG2,CVL,CVL Mt Kirk,AVG2CVL,,
73,5/19/12,Sat,12:00 PM,U13A,LV2,CVL,CVL Mt Kirk,LV2CVL,,
