Chester County Lacrosse Association,,,,,,,,,,
Spring 2012 Master Schedule (released 3/13/12 10:00am),,,,,,,,,,
THIS IS THE FINAL SCHEDULE: REMIND COACHES OF THEIR LEAGUE OBLIGATION TO PLAY EVERY GAME AS SCHEDULED,,,,,,,,,,
"Field directions, rules, referee assignments, and the most current league information can be found at www.cclalax.org",,,,,,,,,,
,,,,,,,,,,
ABG = Abington,,,CVL = Collegeville,,PHX = Phoenixville,,,,,
ASH = Ashbee,,,GV = Great Valley,,ST = Conestoga,,,,,
AVG = Avon Grove,,,KEN = Kennett,,UNV = Unionville,,,,,
BYC = Brandywine,,,LV = Lionville,,WB = West Bradford/Downingtown MS,,,,,
COV = Coventry,,,,,WC = West Chester,,,,,
,,,,click arrow to,,,,click arrow to,,
,,,,filter for level,,,,filter for team,,
Game #,Date,Day,Time,Level,Visitor,Home,Field,Team,,
455,4/13/12,Fri,6:30 PM,U11B,CVL2,CVL1,CVL Warrior Field,CVL2CVL1,,
154,4/13/12,Fri,6:30 PM,U11A,CVL,LV,LV Eagleview 1,CVLLV,,
504,4/13/12,Fri,6:30 PM,U11B,ASH,LV3,LV Eagleview 2,ASHLV3,,
123,4/13/12,Fri,6:30 PM,U13A,LV1,ST2,ST Wilson Park CYL,LV1ST2,,
546,4/13/12,Fri,6:30 PM,U11B,BYC3,UNV2,UNV Patton MS 17,BYC3UNV2,,
350,4/14/12,Sat,10:00 AM,U13B,PHX,ABG,ABG Huntingdon Upper,PHXABG,,
101,4/14/12,Sat,10:00 AM,U13A,ASH,AVG,AVG Avon Grove HS,ASHAVG,,
433,4/14/12,Sat,12:00 PM,U13B,GV,AVG2,AVG Avon Grove HS,GVAVG2,,
555,4/14/12,Sat,2:00 PM,U11B,BYC2,AVG1,AVG Avon Grove HS,BYC2AVG1,,
214,4/14/12,Sat,10:00 AM,U13C,ABG,AVG,AVG Harmony Park,ABGAVG,,
194,4/14/12,Sat,12:00 PM,U11A,ST,AVG,AVG Harmony Park,STAVG,,
285,4/14/12,Sat,2:00 PM,U15B,ASH,AVG,AVG Harmony Park,ASHAVG,,
164,4/14/12,Sat,2:00 PM,U11A,ABG,BYC,BYC Bethel Spr ES 12,ABGBYC,,
251,4/14/12,Sat,10:00 AM,U15B,COV,CVL,CVL Mt Kirk,COVCVL,,
335,4/14/12,Sat,12:00 PM,U13B,COV,CVL,CVL Mt Kirk,COVCVL,,
465,4/14/12,Sat,10:00 AM,U11B,GV,CVL2,CVL Warrior Field,GVCVL2,,
203,4/14/12,Sat,12:00 PM,U13C,LV,CVL,CVL Warrior Field,LVCVL,,
456,4/14/12,Sat,2:00 PM,U11B,CVL1,CVL3,CVL Warrior Field,CVL1CVL3,,
155,4/14/12,Sat,4:00 PM,U11A,WC,CVL,CVL Warrior Field,WCCVL,,
413,4/14/12,Sat,12:00 PM,U13B,AVG1,KEN,KEN Legacy Field C,AVG1KEN,,
564,4/14/12,Sat,2:00 PM,U11B,BYC3,KEN1,KEN Legacy Field C,BYC3KEN1,,
235,4/14/12,Sat,4:00 PM,U13C,BYC,KEN,KEN Legacy Field C,BYCKEN,,
502,4/14/12,Sat,12:00 PM,U11B,ASH,LV1,LV Eagleview 1,ASHLV1,,
167,4/14/12,Sat,12:00 PM,U11A,ASH,LV,LV Eagleview 2,ASHLV,,
483,4/14/12,Sat,2:00 PM,U11B,COV1,LV3,LV Eagleview 2,COV1LV3,,
429,4/14/12,Sat,12:00 PM,U13B,UNV,LV,LV Hoeffecker,UNVLV,,
308,4/14/12,Sat,2:00 PM,U15B,WC2,LV2,LV Hoeffecker,WC2LV2,,
301,4/14/12,Sat,4:00 PM,U15B,WB,LV1,LV Hoeffecker,WBLV1,,
489,4/14/12,Sat,10:00 AM,U11B,COV2,ST,ST TE Middle Sch 1,COV2ST,,
450,4/14/12,Sat,12:00 PM,U13B,BYC2,ST2,ST TE Middle Sch 1,BYC2ST2,,
293,4/14/12,Sat,2:00 PM,U15B,UNV,ST,ST Wilson Park TEYSA,UNVST,,
548,4/14/12,Sat,12:00 PM,U11B,AVG2,UNV2,UNV Patton MS 17,AVG2UNV2,,
76,4/14/12,Sat,2:00 PM,U13A,CVL,UNV,UNV Patton MS 17,CVLUNV,,
516,4/14/12,Sat,4:00 PM,U11B,WC,UNV1,UNV Patton MS 17,WCUNV1,,
61,4/14/12,Sat,10:00 AM,U15A,ASH,WB,WB Downingtown MS,ASHWB,,
525,4/14/12,Sat,12:00 PM,U11B,KEN2,WB,WB Embreeville,KEN2WB,,
384,4/14/12,Sat,10:00 AM,U13B,BYC1,WC2,WC Kelly Field,BYC1WC2,, 
227,4/14/12,Sat,12:00 PM,U13C,UNV,WC,WC Kelly Field,UNVWC,, 
391,4/14/12,Sat,2:00 PM,U13B,WB,WC3,WC Kelly Field,WBWC3,, 
319,4/14/12,Sat,4:00 PM,U15B,KEN,WC1,WC Kelly Field,KENWC1,, 
159,4/15/12,Sun,12:00 PM,U11A,ASH,ABG,ABG Huntingdon Upper,ASHABG,,
110,4/15/12,Sun,4:00 PM,U13A,ST1,BYC,BYC Garnet Valley MS,ST1BYC,,
11,4/15/12,Sun,2:00 PM,U15A,ABG,COV,COV OJR HS,ABGCOV,,
221,4/15/12,Sun,1:00 PM,U13C,ASH,KEN,KEN Kennett MS,ASHKEN,,
95,4/15/12,Sun,2:00 PM,U13A,ABG,LV1,LV Hoeffecker,ABGLV1,,
41,4/15/12,Sun,4:00 PM,U15A,GV,LV,LV Hoeffecker,GVLV,,
449,4/15/12,Sun,12:00 PM,U13B,ASH ,UNV,UNV Upland Country DS,ASH UNV,,
418,4/15/12,Sun,3:00 PM,U13B,ABG,WC4,WC Kelly Field,ABGWC4,,
62,4/15/12,Sun,4:30 PM,U15A,ST,WC,WC Kelly Field,STWC,,
213,4/16/12,Mon,6:30 PM,U13C,BYC,ABG,ABG Huntingdon Upper,BYCABG,,
378,4/16/12,Mon,6:30 PM,U13B,WC1,AVG1,AVG Avon Grove HS,WC1AVG1,,
386,4/16/12,Mon,6:30 PM,U13B,WC3,BYC2,BYC Garnet Valley MS,WC3BYC2,,
265,4/16/12,Mon,6:30 PM,U15B,PHX,COV,COV Batdorf Park,PHXCOV,,
253,4/16/12,Mon,6:30 PM,U15B,ASH,CVL,CVL Black Rock 6,ASHCVL,,
341,4/16/12,Mon,6:30 PM,U13B,LV,CVL,CVL Mt Kirk,LVCVL,,
238,4/16/12,Mon,6:30 PM,U13C,ASH,CVL,CVL Warrior Field,ASHCVL,,
443,4/16/12,Mon,6:30 PM,U13B,BYC1,GV,GV Great Valley MS,BYC1GV,, 
248,4/16/12,Mon,6:30 PM,U13C,UNV,KEN,KEN Kennett MS,UNVKEN,,
324,4/16/12,Mon,6:30 PM,U15B,WC2,KEN,KEN Legacy Field A,WC2KEN,,
310,4/16/12,Mon,6:30 PM,U15B,UNV,LV2,LV Pine Creek,UNVLV2,,
420,4/16/12,Mon,6:30 PM,U13B,ST1,UNV,UNV Patton MS 17,ST1UNV,,
428,4/16/12,Mon,6:30 PM,U13B,ST2,WB,WB Embreeville,ST2WB,,
445,4/16/12,Mon,6:30 PM,U13B,PHX,WC2,WC Kelly Field,PHXWC2,,
306,4/16/12,Mon,8:00 PM,U15B,LV1,WC1,WC Kelly Field,LV1WC1,,
229,4/16/12,Mon,6:30 PM,U13C,AVG,WC,WC Rustin HS,AVGWC,,
358,4/17/12,Tue,6:30 PM,U13B,ST2,ABG,ABG Huntingdon Upper,ST2ABG,,
432,4/17/12,Tue,6:30 PM,U13B,CVL,AVG1,AVG Harmony Park,CVLAVG1,,
430,4/17/12,Tue,6:30 PM,U13B,ASH,BYC1,BYC Garnet Valley MS,ASHBYC1,,
79,4/17/12,Tue,7:00 PM,U13A,KEN,COV,COV OJR HS,KENCOV,,
75,4/17/12,Tue,6:30 PM,U13A,WC,CVL,CVL Black Rock 6,WCCVL,,
130,4/17/12,Tue,6:30 PM,U13A,LV2,GV,GV Great Valley MS,LV2GV,,
126,4/17/12,Tue,6:30 PM,U13A,UNV,LV1,LV Hoeffecker,UNVLV1,,
245,4/17/12,Tue,6:30 PM,U13C,AVG,LV,LV Pine Creek,AVGLV,,
437,4/17/12,Tue,6:30 PM,U13B,KEN,PHX,PHX PMYC,KENPHX,,
431,4/17/12,Tue,6:30 PM,U13B,BYC2,ST1,ST TE Middle Sch 2,BYC2ST1,,
119,4/17/12,Tue,6:30 PM,U13A,BYC,ST2,ST Wilson Park CYL,BYCST2,,
111,4/17/12,Tue,6:30 PM,U13A,AVG,ST1,ST Wilson Park TEYSA,AVGST1,,
392,4/17/12,Tue,6:30 PM,U13B,WC4,UNV,UNV Upland Country DS,WC4UNV,,
442,4/17/12,Tue,6:30 PM,U13B,LV,WB,WB Embreeville,LVWB,,
204,4/17/12,Tue,6:30 PM,U13C,CVL,WC,WC Henderson HS,CVLWC,,
379,4/17/12,Tue,6:30 PM,U13B,AVG2,WC2,WC Rustin HS,AVG2WC2,,
187,4/18/12,Wed,6:30 PM,U11A,CVL,ABG,ABG Huntingdon Upper,CVLABG,,
198,4/18/12,Wed,6:30 PM,U11A,WC,AVG,AVG Avon Grove HS,WCAVG,,
557,4/18/12,Wed,6:30 PM,U11B,BYC2,AVG3,AVG Harmony Park,BYC2AVG3,,
560,4/18/12,Wed,6:30 PM,U11B,AVG1,BYC3,BYC Bethel Spr ES 12,AVG1BYC3,,
488,4/18/12,Wed,6:30 PM,U11B,LV1,COV1,COV OJR HS,LV1COV1,,
466,4/18/12,Wed,6:30 PM,U11B,CVL3,CVL2,CVL Warrior Field,CVL3CVL2,,
491,4/18/12,Wed,6:30 PM,U11B,COV2,GV,GV Great Valley MS,COV2GV,, 
543,4/18/12,Wed,6:30 PM,U11B,UNV2,KEN1,KEN Legacy Field B,UNV2KEN1,,
179,4/18/12,Wed,6:30 PM,U11A,BYC,LV,LV Eagleview 1,BYCLV,,
174,4/18/12,Wed,6:30 PM,U11A,WB,ST,ST TE Middle Sch 2,WBST,,
532,4/18/12,Wed,6:30 PM,U11B,AVG2,WB,WB Embreeville,AVG2WB,,
2,4/19/12,Thu,6:30 PM,U15A,CVL,ABG,ABG Huntingdon Upper,CVLABG,,
60,4/19/12,Thu,6:30 PM,U15A,LV,ASH,ASH Haverford Upper,LVASH,,
