Time,Home,Away,Age,Division,Field,Referee,Score
12:00 PM,FC York 99 Elite,RUSC Dynamite,U14/U15G,Green,RHS #5,,
12:00 PM,West Mont United Union,RUSC Strikers,U14B,Green,RMS Lower,,
12:00 PM,Towamencin Thrashers,Aston Revolution,U15/U16B,,Amosland,,
12:00 PM,RUSC Rockers,West Deptford Storm,U15/U16G,Green,RHS #2,,
1:00 PM,Haverford Red,BYC Tigers,U09G,Green,Edgewood,,
1:00 PM,Haverford Blackout,RUSC Rampage,U09G,Green,Mann,,
1:00 PM,BYC Blue Sharks,BYC Strikers,U10B,Green,Catania Park #1,,
1:00 PM,Towamencin Titans,FC York,U10B,Green,Catania Park #2,,
1:00 PM,GVSC Griffins,HFC United - White,U11B,White,RHS #1,,
1:00 PM,BYC Cobras,Rose Tree Thunder,U11B,Green,Tinicum #3,,
1:00 PM,Springfield Sharks,RUSC Rumble,U11G,Green,Tinicum #1,,
1:00 PM,Haverford Revolution,Amity AC Storm,U11G,Green,Tinicum #2,,
1:00 PM,White Clay Lightning,Springfield Storm,U12B,,RHS #6,,
1:00 PM,Blue White '10 SC Panthers,Haverford Red Flash,U12G,White,RHS #3,,
1:00 PM,Lower Merion Fear,RUSC Revolution,U12G,White,RHS #4,,
1:00 PM,BYC Blaze,Bel Air FC Blaze,U13G,Green,RMS Upper,,
1:00 PM,BYC Spartaks,Aston Fury,U14/U15G,Green,RHS #5,,
1:00 PM,Rose Tree Outlawz,Interboro Wizards,U14B,White,Interboro JV,,
1:00 PM,GVSC Stealth,RUSC Rebels,U14B,White,Interboro Varsity,,
1:00 PM,BYC Galaxy,Harford FC Lazers United,U14B,Green,RMS Lower,,
1:00 PM,Rose Tree Strikers,RUSC Young Guns,U15/U16B,,Amosland,,
1:00 PM,RUSC Rhinos,Harleysville Valencia,U15/U16G,Green,RHS #2,,
2:00 PM,BYC Chaos,Interboro Bucs,U09B,White,Tinicum #1,,
2:00 PM,Springfield Warriors,Aston United,U09B,White,Tinicum #2,,
2:00 PM,Montgomery Juventus,MNSA Ambush,U09G,White,Edgewood,,
2:00 PM,Springfield Shamrocks,RUSC Rage,U09G,White,Mann,,
2:00 PM,Aston Lightning,RUSC Rebels,U10G,Green,Catania Park #1,,
2:00 PM,GVSC Hot Shots,LMSC Liberty,U10G,Green,Catania Park #2,,
2:00 PM,White Clay Firehawks,RUSC Stingers,U11G,White,RHS #3,,
2:00 PM,Haverford Spirit,Rose Tree Fireworks,U11G,White,RHS #4,,
2:00 PM,Aston Storm,BYC Dragons,U13B,,Interboro JV,,
2:00 PM,HFC United,Lionville Kixx,U13B,,Interboro Varsity,,
2:30 PM,3rd Place Pool A,3rd Place Pool B,U11B,Green,Tinicum #3,,
2:30 PM,3rd Place Pool A,3rd Place Pool B,U12B,,RHS #6,,
2:30 PM,3rd Place Pool A,3rd Place Pool B,U13G,White,RHS #1,,
2:30 PM,3rd Place Pool A,3rd Place Pool B,U13G,Green,RMS Upper,,
2:30 PM,3rd Place Pool A,3rd Place Pool B,U15/U16G,Green,RHS #2,,
3:00 PM,BYC United,RUCS Rams,U09B,Green,Tinicum #1,,
3:00 PM,Springfield Celtic,Haverford Heat Wave,U09B,Green,Tinicum #2,,
