Liberty 2015 - FIELD GRID DRAFT (with match-ups) - 2015-06-03 1PM,,,,,,,,,,,,,,,,,,,,,,,
(This grid is for general scheduling purposes and may be subject to change.),,,,,,,,,,,,,,,,,,,,,,,
Saturday,SATURDAY,,,,,,,,,# Finals,,,,,,,,,,,,,
01:50:00 H,COUGAR ELITE  BLUE,PA ROUGHRIDERS 2021 SELECT,Semi A: Pool 2 (1st),Semi B: Pool 4 (1st),MT. LEBANON U13A,COUGAR ELITE,BULLDOGS,KENNETT BLUE DEMONS U13A,,,,Boys Club 2021/22A-1,Boys Club 2021/22A-1,Boys U13B-2,Boys U13B-4,Boys U13A-2,Boys U13A-1,Boys U13A-2,Boys U13A-1,,,,
01:50:00 A,MD WOLFPACK 2021,STARS & STRIPES 2022 BLUE,Semi A: Pool 1 (1st),Semi B: Pool 3 (1st),PA ROUGHRIDERS 2020 SELECT,RIDLEY U13,BYC 13A SKULSKI,LEHIGH VALLEY OUTLAWS,,,,Boys Club 2021/22A-1,Boys Club 2021/22A-1,Boys U13B-1,Boys U13B-3,Boys U13A-2,Boys U13A-1,Boys U13A-2,Boys U13A-1,,,,
02:40:00 H,,PA ROUGHRIDERS 2023,FREEDOM LC 2024,UPRISING 2023,BLUE DEMONS,HARLEY 2024,COLLEGEVILLE COUGARS,BEL AIR TYKER BOYS,,,,,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys U9A-1,Boys U9A-1,Boys U9B-1,Boys U9B-1,,,,
02:40:00 A,,DELTA HOUSE,UPRISING 2024,PA ROUGHRIDERS 2024,CYLAX GARNET A,TIGERS U9,CYLAX GRAY B,OLDE ENGLISH LACROSSE,,,,,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys U9A-1,Boys U9A-1,Boys U9B-1,Boys U9B-1,,,,
03:30:00 H,,,Semi B: Pool 1 (2nd),Final: Pool 1 (2nd),Final: Semi A (Winner),Semi A: Pool 1 (1st),,,,,,,,Boys U13A-1,Boys Club 2021/22A-1,Boys U13B-1,Boys U13A-1,,,,,,
03:30:00 A,,,Semi B: Pool 2 (1st),Final: Pool 1 (1st),Final: Semi B (Winner),Semi A: Pool 2 (2nd),,,,,,,,Boys U13A-2,Boys Club 2021/22A-1,Boys U13B-1,Boys U13A-2,,,,,,
04:20:00 H,,PA ROUGHRIDERS 2023,FREEDOM LC 2024,DELTA HOUSE,CYLAX GARNET A,HARLEY 2024,CYLAX GRAY B,COLLEGEVILLE COUGARS,,,,,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys U9A-1,Boys U9A-1,Boys U9B-1,Boys U9B-1,,,,
04:20:00 A,,UPRISING 2023,PA ROUGHRIDERS 2024,UPRISING 2024,TIGERS U9,BLUE DEMONS,OLDE ENGLISH LACROSSE,BEL AIR TYKER BOYS,,,,,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys U9A-1,Boys U9A-1,Boys U9B-1,Boys U9B-1,,,,
05:10:00 H,,,Final: 2024 (2nd),Final: 2023 (2nd),Final: Pool 1 (2nd),Final: Semi A (Winner),Final: Pool 1 (2nd),,,,,,,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys U9A-1,Boys U13A-1,Boys U9B-1,,,,,
05:10:00 A,,,Final: 2024 (1st),Final: 2023 (1st),Final: Pool 1 (1st),Final: Semi B (Winner),Final: Pool 1 (1st),,,,,,,Boys Club 2023/24A-1,Boys Club 2023/24A-1,Boys U9A-1,Boys U13A-1,Boys U9B-1,,,,,
