,,,,,,,,,
,,,,,DIRTY BIRDS (GA),,,VARA,1 & 2
,,,,,DIP N DUNK (NY),,,VARA,1 & 2
,,,,,EMMAUS STING (PA),,,VARA,1 & 2
,,,,,BALTIMORE CANNONS (MD),,,VARA,1 & 2
,,,,,CASH COWS ELITE (MI),,,VARA,1 & 2
,,,,,BLACK BEAR ORANGE (PA),,,VARA,1 & 2
,,,,,LOW & AWAY U19 PREMIER (PA),,,VARA,1 & 2
,,,,,MILITIA ELITE (VA),,,VARA,1 & 2
,,,,,TAR HEEL LC (NC),,,VARA,1 & 2
,,,,,TRUE PITTSBURGH 2014 (PA),,,VARA,1 & 2
,,,,,SF BIG HORNS (PA),,,VARA,1 & 2
,,,,,TEAM TOTAL ELITE (MI),,,VARA,1 & 2
,,,,,QUAKE VARSITY GOLD (NJ),,,VARA,1 & 2
,,,,,LEHIGH VALLEY STEAM (PA),,,VARB,2
,,,,,FCA GEORGIA (GA),,,VARB,2
,,,,,GRIP-IT N' RIP-IT WHITE (NY),,,VARB,2
,,,,,ENDLESS LACROSSE CLUB (MD),,,VARB,2
,,,,,BUCKS 2014/2015 - BRUEMMER (PA),,,VARB,2
,,,,,HORNETS FUTURES (NJ),,,VARB,2
,,,,,MUCKDAWGS (PA),,,U13B,3 & 4
,,,,,TRI-STATE U13 WHITE (NJ),,,U13B,3 & 4
,,,,,ROCK'EM LACROSSE (PA) 3,,,U13B,3 & 4
,,,,,TEAM TURNPIKE EXIT 6 (NJ),,,U13B,3 & 4
,,,,,TRI-STATE U13 GOLD (NJ),,,U13B,3 & 4
,,,,,RISING SONS 2019 (PA),,,U13B,3 & 4
,,,,,380 LACROSSE U-13 GREEN (PA),,,U13B,3 & 4
,,,,,TOP SIDE SNIPERS 5/6 (NY),,,U13B,3 & 4
,,,,,LV STEAM MAROON (PA),,,U11A,1
,,,,,LOONEY'S 2020 ORANGE (MD),,,U11A,1
,,,,,BUCKS SELECT 2020-GRAY (PA),,,U11A,1
,,,,,TEAM TURNPIKE EXIT 5 (NJ),,,U11A,1
,,,,,RISING SONS 2020 (PA),,,U11A,1
,,,,,BURN 'EM LACROSSE (NY),,,U11A,1
,,,,,STEPS FUTURES 2020 (NJ),,,U11A,1
,,,,,TRI-STATE U11 BLACK (NJ),,,U11A,1
,,,,,BAGGATAWAY LC U15 (PA),,,U15A,1
,,,,,BROTHERHOOD U15 (NJ),,,U15A,1
,,,,,LEADING EDGE 2018 (NJ),,,U15A,1
,,,,,LI PARK DISTRICT SELECT (NY),,,U15A,1
,,,,,BUCKS 2017 - MITHOEFER (PA),,,U15A,1
,,,,,LEADING EDGE SOUTH (NJ),,,U15A,1
,,,,,BLACK BEAR ORANGE (PA),,,U15A,1
,,,,,BLACK DOG LEGACY (PA),,,U15A,1
,,,,,BURN 'EM LACROSSE (NY),,,U15A,1
,,,,,HOUSTON HOULAGUNS (TX),,,U15A,1
,,,,,LEHIGH VALLEY STEAM (PA),,,U15A,2
,,,,,FEVER 2017 (PA),,,U15A,2
,,,,,TEAM TURNPIKE EXIT 8 (NJ),,,U15A,2
,,,,,TWIST (PA),,,U15A,2
,,,,,MAIN LINE LACROSSE U15 (PA),,,U15A,2
,,,,,TEAM TOTAL U15 (MI),,,U15A,2
,,,,,TRI-STATE U15 GOLD (NJ),,,U15A,2
,,,,,WOLFPACK (MD),,,U15A,2
,,,,,380 LACROSSE U-13 BLACK (PA),,,U13B,1
,,,,,BROTHERHOOD 5TH/6TH (NJ),,,U13B,1
,,,,,BLA SELECT (NY),,,U13B,1
,,,,,BLACK BEAR GWYNEDD (PA),,,U13B,1
,,,,,TEAM 91 2019 WHITE (NY),,,U13B,1
,,,,,BERKS RAPTORS (PA),,,U13B,1
,,,,,SOUTHSHORE ORANGE (NJ),,,U13B,1
,,,,,VA LAX TEAM RECON-13 (VA),,,U13B,1
,,,,,ARROWHEAD (PA),,,VARB,3 & 4
,,,,,PENNCREST HIGH SCHOOL (PA),,,VARB,3 & 4
,,,,,TEAM TOTAL VARSITY (MI),,,VARB,3 & 4
,,,,,LOW AND AWAY U19 (PA),,,VARB,3 & 4
,,,,,TROJANS HS B (PA),,,VARB,3 & 4
,,,,,TEAM SMITHTOWN (NY),,,VARB,3 & 4
,,,,,2016 BLACK (NJ),,,JVA,1 & 2
,,,,,BUFFALO RISING SOPHS (NY),,,JVA,1 & 2
,,,,,MUCKDAWGS (PA),,,JVA,1 & 2
,,,,,BLACK BEAR 2016 (PA),,,JVA,1 & 2
,,,,,EDGE 2016 RED (ON),,,JVA,1 & 2
,,,,,CASH COWS SELECT (MI),,,JVA,1 & 2
,,,,,BALTIMORE BREAKERS U13AA (MD),,,U13AA,5
,,,,,LEADING EDGE 2019 (NJ),,,U13AA,5
,,,,,SOUTHSHORE CAROLINA (NJ),,,U13AA,5
,,,,,TRI-STATE U13 BLACK (NJ),,,U13AA,5
,,,,,DUKES HHH (PA),,,U13AA,5
,,,,,"SUPERSTAR 365 ""2018"" (CT)",,,U13AA,5
,,,,,TEAM 91 2018 ORANGE (NY),,,U13AA,5
,,,,,TEAM TURNPIKE EXIT 7 (NJ),,,U13AA,5
,,,,,BAGGATAWAY U13 BLACK (PA),,,U13A,1
,,,,,BLACK BEAR ORANGE (PA),,,U13A,1
,,,,,HOUSTON HOULAGUNS (TX),,,U13A,1
,,,,,BURN 'EM LACROSSE (NY),,,U13A,1
,,,,,EDGE ELITE 2019 WHITE (ON),,,U13A,1
,,,,,BROTHERHOOD U13 (NJ),,,U13A,1
,,,,,BUCKS 2019-VENTRESCA (PA),,,U13A,1
,,,,,DIP N DUNK (NY),,,U13A,1
,,,,,BUCKS 2018 BLACK (PA),,,U13A,2
,,,,,LI EXPRESS (NY),,,U13A,2
,,,,,LEHIGH VALLEY STEAM (PA),,,U13A,2
,,,,,TWIST (PA),,,U13A,2
,,,,,LEADING EDGE 2020 (NJ),,,U13A,2
,,,,,MAIN LINE LACROSSE U13 (PA),,,U13A,2
,,,,,STEPS FUTURES 2019 (NJ),,,U13A,2
,,,,,WARD MELVILLE 2018 (NY),,,U13A,2
,,,,,TOP SIDE SNIPERS BLACK (NY),,,U15B,4
,,,,,LV  BLUE (PA),,,U15B,4
,,,,,TRUE BLUE 2017 WHITE (NY),,,U15B,4
,,,,,FUSION TSL GOLD (NC),,,U15B,4
,,,,,TRI-STATE U15 GREEN (NJ),,,U15B,4
,,,,,BLACK BEAR BLUE (PA),,,U15B,4
,,,,,TRUE PITTSBURGH U15 (PA),,,U15B,4
,,,,,WOLFPACK - WHITE (MD),,,U15B,4
,,,,,BAGGATAWAY LC U13 GOLD (PA),,,U13B,2
,,,,,GRIP-IT N' RIP-IT CAROLINA (NY),,,U13B,2
,,,,,LEADING EDGE SOUTH (NJ),,,U13B,2
,,,,,LV LIGHTNING WHITE (PA),,,U13B,2
,,,,,BLACK BEAR BLUE (PA),,,U13B,2
,,,,,TOP SIDE SNIPERS BLUE (NY),,,U13B,2
,,,,,LV LIGHTNING BLUE (PA),,,U13B,2
,,,,,LOONEY'S 2019 ORANGE (MD),,,U13B,2
,,,,,PROVIDENCE ROAD (PA),,,VARB,3 & 4
,,,,,MUCKDAWGS (PA),,,VARB,3 & 4
,,,,,NOR'EASTER (NJ),,,VARB,3 & 4
,,,,,VA LAX TEAM RECON (VA),,,VARB,3 & 4
,,,,,PITLAX U17 GREY (PA),,,VARB,3 & 4
,,,,,TOP SIDE SNIPERS (NY),,,VARB,3 & 4
,,,,,TRUE LACROSSE 2016 (PA),,,JVA,1 & 2
,,,,,ENDLESS LACROSSE JV (MD),,,JVA,1 & 2
,,,,,TEAM TOTAL JV (MI),,,JVA,1 & 2
,,,,,BUCKS 2016-HOGAN (PA),,,JVA,1 & 2
,,,,,NJ RIOT 2016 (NJ),,,JVA,1 & 2
,,,,,MAIN LINE LAX 2015-2016 (PA),,,JVA,1 & 2
