Division,Team,,Field,Time,Game 1,,Field,Time,Game 2,,Field,Time,Game 3
Boys U13B,BYC U13B-2,,BPC - Saturday 2,12:50:00,Boys U13B: BYC U13C (Away),,BPC - Saturday 1,14:30:00,Boys U13B: ASHBEE B1- ORANGE (Home),,BPC - Saturday 2,16:10:00,Boys U13B: BYC U13B-1 (Home)
Boys U13B,BYC U13C,,BPC - Saturday 2,12:50:00,Boys U13B: BYC U13B-2 (Home),,BPC - Saturday 2,14:30:00,Boys U13B: BYC U13B-1 (Away),,BPC - Saturday 1,16:10:00,Boys U13B: ASHBEE B1- ORANGE (Home)
Boys U13B,CYLAX U-13B GARNET,,BPC - Saturday 7,12:00:00,Boys U13B: CYLAX U-13B GRAY (Home),,BPC - Saturday 7,13:40:00,Boys U13B: RTO B1 (Away),,BPC - Saturday 8,15:20:00,Boys U13B: UPPER MERION LACROSSE CLUB 5/6 B2 (Home)
Boys U13B,CYLAX U-13B GRAY,,BPC - Saturday 7,12:00:00,Boys U13B: CYLAX U-13B GARNET (Away),,BPC - Saturday 8,13:40:00,Boys U13B: UPPER MERION LACROSSE CLUB 5/6 B2 (Home),,BPC - Saturday 7,15:20:00,Boys U13B: RTO B1 (Away)
Boys U13B,RTO B1,,BPC - Saturday 8,12:00:00,Boys U13B: UPPER MERION LACROSSE CLUB 5/6 B2 (Home),,BPC - Saturday 7,13:40:00,Boys U13B: CYLAX U-13B GARNET (Home),,BPC - Saturday 7,15:20:00,Boys U13B: CYLAX U-13B GRAY (Home)
Boys U13B,UPPER MERION LACROSSE CLUB 5/6 B2,,BPC - Saturday 8,12:00:00,Boys U13B: RTO B1 (Away),,BPC - Saturday 8,13:40:00,Boys U13B: CYLAX U-13B GRAY (Away),,BPC - Saturday 8,15:20:00,Boys U13B: CYLAX U-13B GARNET (Away)
Boys U15A,CYLAX U-15A,,BPC - Saturday 6,12:00:00,Boys U15A: HAVEN A1 (Away),,BPC - Saturday 5,13:40:00,Boys U15A: LBL STAGS (Home),,BPC - Saturday 5,15:20:00,Boys U15A: SPRING-FORD A BLUE (Home)
Boys U15A,HAVEN A1,,BPC - Saturday 6,12:00:00,Boys U15A: CYLAX U-15A (Home),,BPC - Saturday 6,13:40:00,Boys U15A: SPRING-FORD A BLUE (Away),,BPC - Saturday 6,15:20:00,Boys U15A: LBL STAGS (Away)
Boys U15A,LBL STAGS,,BPC - Saturday 5,12:00:00,Boys U15A: SPRING-FORD A BLUE (Home),,BPC - Saturday 5,13:40:00,Boys U15A: CYLAX U-15A (Away),,BPC - Saturday 6,15:20:00,Boys U15A: HAVEN A1 (Home)
Boys U15A,SPRING-FORD A BLUE,,BPC - Saturday 5,12:00:00,Boys U15A: LBL STAGS (Away),,BPC - Saturday 6,13:40:00,Boys U15A: HAVEN A1 (Home),,BPC - Saturday 5,15:20:00,Boys U15A: CYLAX U-15A (Away)
Boys U15B,BYC U15B,,BPC - Sunday 13,07:00:00,Boys U15B: CYLAX U-15B (Away),,BPC - Sunday 12,08:40:00,Boys U15B: UPPER MERION LACROSSE CLUB 7/8 A2 (Home),,BPC - Sunday 12,10:20:00,Boys U15B: EAGLES (Home)
Boys U15B,CYLAX U-15B,,BPC - Sunday 13,07:00:00,Boys U15B: BYC U15B (Home),,BPC - Sunday 13,08:40:00,Boys U15B: EAGLES (Away),,BPC - Sunday 13,10:20:00,Boys U15B: SPRING-FORD A GOLD (Away)
Boys U15B,EAGLES,,BPC - Sunday 12,07:00:00,Boys U15B: ROSE TREE OPTIMIST 7/8 (Home),,BPC - Sunday 13,08:40:00,Boys U15B: CYLAX U-15B (Home),,BPC - Sunday 12,10:20:00,Boys U15B: BYC U15B (Away)
Boys U15B,ROSE TREE OPTIMIST 7/8,,BPC - Sunday 12,07:00:00,Boys U15B: EAGLES (Away),,BPC - Sunday 14,08:40:00,Boys U15B: SPRING-FORD A GOLD (Away),,BPC - Sunday 14,10:20:00,Boys U15B: UPPER MERION LACROSSE CLUB 7/8 A2 (Home)
Boys U15B,SPRING-FORD A GOLD,,BPC - Sunday 14,07:00:00,Boys U15B: UPPER MERION LACROSSE CLUB 7/8 A2 (Away),,BPC - Sunday 14,08:40:00,Boys U15B: ROSE TREE OPTIMIST 7/8 (Home),,BPC - Sunday 13,10:20:00,Boys U15B: CYLAX U-15B (Home)
Boys U15B,UPPER MERION LACROSSE CLUB 7/8 A2,,BPC - Sunday 14,07:00:00,Boys U15B: SPRING-FORD A GOLD (Home),,BPC - Sunday 12,08:40:00,Boys U15B: BYC U15B (Away),,BPC - Sunday 14,10:20:00,Boys U15B: ROSE TREE OPTIMIST 7/8 (Away)
Boys U15Club,BUCKS SELECT 2020,,BPC - Saturday 4,12:00:00,Boys U15Club: RISING SONS 2020 (Home),,BPC - Saturday 4,13:40:00,Boys U15Club: RISING SONS (Home),,BPC - Saturday 4,15:20:00,Boys U15Club: Dummy 3 (Home)
Boys U15Club,RISING SONS 2020,,BPC - Saturday 4,12:00:00,Boys U15Club: BUCKS SELECT 2020 (Away),,BPC - Saturday 3,13:40:00,Boys U15Club: Dummy 3 (Home),,BPC - Saturday 3,15:20:00,Boys U15Club: RISING SONS (Away)
Boys U15Club,RISING SONS,,BPC - Saturday 3,12:00:00,Boys U15Club: Dummy 3 (Away),,BPC - Saturday 4,13:40:00,Boys U15Club: BUCKS SELECT 2020 (Away),,BPC - Saturday 3,15:20:00,Boys U15Club: RISING SONS 2020 (Home)
Boys U15Club,Dummy 3,,BPC - Saturday 3,12:00:00,Boys U15Club: RISING SONS (Home),,BPC - Saturday 3,13:40:00,Boys U15Club: RISING SONS 2020 (Away),,BPC - Saturday 4,15:20:00,Boys U15Club: BUCKS SELECT 2020 (Away)
Boys U9A,COUGARS,,BPC - Saturday 2,12:00:00,Boys U9A: Dummy 4 (Away),,BPC - Saturday 1,13:40:00,Boys U9A: Dummy 5 (Away),,BPC - Saturday 1,15:20:00,Boys U9A: Dummy 6 (Home)
Boys U9A,Dummy 4,,BPC - Saturday 2,12:00:00,Boys U9A: COUGARS (Home),,BPC - Saturday 2,13:40:00,Boys U9A: Dummy 6 (Home),,BPC - Saturday 2,15:20:00,Boys U9A: Dummy 5 (Away)
Boys U9A,Dummy 5,,BPC - Saturday 1,12:00:00,Boys U9A: Dummy 6 (Away),,BPC - Saturday 1,13:40:00,Boys U9A: COUGARS (Home),,BPC - Saturday 2,15:20:00,Boys U9A: Dummy 4 (Home)
Boys U9A,Dummy 6,,BPC - Saturday 1,12:00:00,Boys U9A: Dummy 5 (Home),,BPC - Saturday 2,13:40:00,Boys U9A: Dummy 4 (Away),,BPC - Saturday 1,15:20:00,Boys U9A: COUGARS (Away)
Boys U9B,CYLAX U-9,,BPC - Saturday 7,07:50:00,Boys U9B: SPRING-FORD D BLUE (Home),,BPC - Saturday 7,09:30:00,Boys U9B: Dummy 7 (Home),,BPC - Saturday 7,11:10:00,Boys U9B: Dummy 8 (Home)
Boys U9B,SPRING-FORD D BLUE,,BPC - Saturday 7,07:50:00,Boys U9B: CYLAX U-9 (Away),,BPC - Saturday 8,09:30:00,Boys U9B: Dummy 8 (Home),,BPC - Saturday 8,11:10:00,Boys U9B: Dummy 7 (Away)
Boys U9B,Dummy 7,,BPC - Saturday 8,07:50:00,Boys U9B: Dummy 8 (Away),,BPC - Saturday 7,09:30:00,Boys U9B: CYLAX U-9 (Away),,BPC - Saturday 8,11:10:00,Boys U9B: SPRING-FORD D BLUE (Home)
Boys U9B,Dummy 8,,BPC - Saturday 8,07:50:00,Boys U9B: Dummy 7 (Home),,BPC - Saturday 8,09:30:00,Boys U9B: SPRING-FORD D BLUE (Away),,BPC - Saturday 7,11:10:00,Boys U9B: CYLAX U-9 (Away)
Girls U11A,BELLES,,BPC - Saturday 5,07:50:00,Girls U11A: BYC - 4TH GRADE (Home),,BPC - Saturday 5,09:30:00,Girls U11A: JUNIOR HAWKS (Away),,BPC - Saturday 6,11:10:00,Girls U11A: HENLOPEN STORM (Home)
Girls U11A,BYC - 4TH GRADE,,BPC - Saturday 5,07:50:00,Girls U11A: BELLES (Away),,BPC - Saturday 6,09:30:00,Girls U11A: HENLOPEN STORM (Away),,BPC - Saturday 5,11:10:00,Girls U11A: JUNIOR HAWKS (Home)
Girls U11A,JUNIOR HAWKS,,BPC - Saturday 6,07:50:00,Girls U11A: HENLOPEN STORM (Home),,BPC - Saturday 5,09:30:00,Girls U11A: BELLES (Home),,BPC - Saturday 5,11:10:00,Girls U11A: BYC - 4TH GRADE (Away)
Girls U11A,HENLOPEN STORM,,BPC - Saturday 6,07:50:00,Girls U11A: JUNIOR HAWKS (Away),,BPC - Saturday 6,09:30:00,Girls U11A: BYC - 4TH GRADE (Home),,BPC - Saturday 6,11:10:00,Girls U11A: BELLES (Away)
Girls U11B,FILIA,,BPC - Saturday 3,07:50:00,Girls U11B: FILIA: HURRICANES (Away),,BPC - Saturday 3,09:30:00,Girls U11B: Dummy 9 (Away),,BPC - Saturday 4,11:10:00,Girls U11B: Dummy 10 (Home)
Girls U11B,FILIA,,BPC - Saturday 3,07:50:00,Girls U11B: FILIA: CYCLONES (Home),,BPC - Saturday 4,09:30:00,Girls U11B: Dummy 10 (Away),,BPC - Saturday 3,11:10:00,Girls U11B: Dummy 9 (Away)
Girls U11B,Dummy 9,,BPC - Saturday 4,07:50:00,Girls U11B: Dummy 10 (Home),,BPC - Saturday 3,09:30:00,Girls U11B: FILIA: CYCLONES (Home),,BPC - Saturday 3,11:10:00,Girls U11B: FILIA: HURRICANES (Home)
Girls U11B,Dummy 10,,BPC - Saturday 4,07:50:00,Girls U11B: Dummy 9 (Away),,BPC - Saturday 4,09:30:00,Girls U11B: FILIA: HURRICANES (Home),,BPC - Saturday 4,11:10:00,Girls U11B: FILIA: CYCLONES (Away)
