Chapter Challenge 2015 - FIELD GRID DRAFT (with match-ups) - 2015-05-14 12:14:07.187737
(This grid is for general scheduling purposes and may be subject to change.)
Day One,,Saturday,,,,,Sunday,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Field #9,Field #10,Byes
12:10:00 H,,BYC (PA),FILIA 2022 (PA),SPRINGFIELD BLUE (PA),BRANDYWINE MAJORS NAVY (PA),QUIX STIX 7TH GRADE A (PA),ROSE TREE OPTIMIST 7/8 (PA),HAVEN A1 (PA),TEAM HARLEY (PA),SPRING-FORD B BLUE (PA),,,Girls U11A-1,,,Girls U13A-1,Girls U13A-1,Girls U13A-1,Girls U13B-1,Girls U13B-1,Boys U15A-1,Boys U15A-1,Boys U13A-1,Boys U13A-1,,,Girls U11A-1
12:10:00 A,,HENLOPEN STORM (DE),SPRINGFIELD GOLD (PA),RTO B (PA),OPTIMIST LAXERS (PA),THUNDER (PA),LBL STAGS (PA),SPRING-FORD A BLUE (PA),CYLAX U-13A (PA),EAGLES (PA),,,Girls U13A-1,,,Girls U13A-1,Girls U13A-1,Girls U13A-1,Girls U13B-1,Girls U13B-1,Boys U15A-1,Boys U15A-1,Boys U13A-1,Boys U13A-1,,,Girls U13A-1
01:00:00 H,,BYC - 4TH GRADE (PA),JUNIOR HAWKS (NJ),FILIA HURRICANES (PA),BYC (PA),QUIX STIX 5/6 GRADE A (PA),BROTHERLY LOVE 2023/2024 (PA),MAD DOGS (PA),BYC U11B-IM (PA),SPRING-FORD C BLUE (PA),,,Girls U13B-1,,,Boys U9B-1,Boys U9B-1,Boys U9B-1,Girls U11A-1,Girls U11A-1,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,,,Girls U13B-1
01:00:00 A,,BELLES (PA),HENLOPEN STORM (DE),FILIA CYCLONES (PA),FILIA 2021 (PA),HENLOPEN STORM (DE),BYC FLYNN (PA),BYC ZAVOD (PA),ROSE TREE OPTIMIST (PA),UPPER MERION LC 3/4 C (PA),,,Girls U13B-2,,,Boys U9B-1,Boys U9B-1,Boys U9B-1,Girls U11A-1,Girls U11A-1,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,,,Girls U13B-2
01:50:00 H,,UPPER MERION LC 5/6 B2 (PA),BYC U13B-2 (PA),HAVERFORD BLAZE LC (PA),UPRISING 2024 (PA),BROTHERLY LOVE (PA),LIONVILLE U11A (PA),UPRISING 2023 (PA),,,,,Girls U15A-1,,,Boys U13B-2,Boys U13B-2,Boys U13B-2,Boys U9A-1,Boys U9A-1,Boys U11A-1,Boys U11A-1,,,,,Girls U15A-1
01:50:00 A,,HAVEN BLACK (PA),CYLAX U-13B GRAY (PA),CYLAX GRAY GHOSTS (PA),TEAM HARLEY U9 (PA),PHILADELPHIA FREEDOM 2024 (PA),BROTHERLY LOVE 2023 (PA),TEAM HARLEY 2022 (PA),,,,,Girls U15B-1,,,Boys U13B-2,Boys U13B-2,Boys U13B-2,Boys U9A-1,Boys U9A-1,Boys U11A-1,Boys U11A-1,,,,,Girls U15B-1
02:40:00 H,,FILIA HURRICANES (PA),FILIA CYCLONES (PA),HENLOPEN STORM (DE),HENLOPEN STORM (DE),QUIX STIX 5/6 GRADE A (PA),MAD DOGS (PA),BROTHERLY LOVE 2023/2024 (PA),BYC U11B-IM (PA),UPPER MERION LC 3/4 C (PA),,,,,,Boys U9B-1,Boys U9B-1,Boys U9B-1,Girls U11A-1,Girls U11A-1,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,,,
02:40:00 A,,JUNIOR HAWKS (NJ),BYC - 4TH GRADE (PA),BELLES (PA),BYC (PA),FILIA 2021 (PA),BYC FLYNN (PA),BYC ZAVOD (PA),SPRING-FORD C BLUE (PA),ROSE TREE OPTIMIST (PA),,,,,,Boys U9B-1,Boys U9B-1,Boys U9B-1,Girls U11A-1,Girls U11A-1,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,,,
03:30:00 H,,CYLAX U-13B GRAY (PA),UPPER MERION LC 5/6 B2 (PA),BYC U13B-2 (PA),TEAM HARLEY U9 (PA),UPRISING 2024 (PA),BROTHERLY LOVE 2023 (PA),UPRISING 2023 (PA),,,,,,,,Boys U13B-2,Boys U13B-2,Boys U13B-2,Boys U9A-1,Boys U9A-1,Boys U11A-1,Boys U11A-1,,,,,
03:30:00 A,,HAVEN BLACK (PA),CYLAX GRAY GHOSTS (PA),HAVERFORD BLAZE LC (PA),BROTHERLY LOVE (PA),PHILADELPHIA FREEDOM 2024 (PA),TEAM HARLEY 2022 (PA),LIONVILLE U11A (PA),,,,,,,,Boys U13B-2,Boys U13B-2,Boys U13B-2,Boys U9A-1,Boys U9A-1,Boys U11A-1,Boys U11A-1,,,,,
04:20:00 H,,JUNIOR HAWKS (NJ),BELLES (PA),HENLOPEN STORM (DE),QUIX STIX 5/6 GRADE A (PA),HENLOPEN STORM (DE),BYC ZAVOD (PA),MAD DOGS (PA),UPPER MERION LC 3/4 C (PA),SPRING-FORD C BLUE (PA),,,,,,Boys U9B-1,Boys U9B-1,Boys U9B-1,Girls U11A-1,Girls U11A-1,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,,,
04:20:00 A,,BYC - 4TH GRADE (PA),FILIA CYCLONES (PA),FILIA HURRICANES (PA),BYC (PA),FILIA 2021 (PA),BYC FLYNN (PA),BROTHERLY LOVE 2023/2024 (PA),BYC U11B-IM (PA),ROSE TREE OPTIMIST (PA),,,,,,Boys U9B-1,Boys U9B-1,Boys U9B-1,Girls U11A-1,Girls U11A-1,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,,,
05:10:00 H,,CYLAX GRAY GHOSTS (PA),UPPER MERION LC 5/6 B2 (PA),HAVERFORD BLAZE LC (PA),TEAM HARLEY U9 (PA),BROTHERLY LOVE (PA),LIONVILLE U11A (PA),BROTHERLY LOVE 2023 (PA),,,,,,,,Boys U13B-2,Boys U13B-2,Boys U13B-2,Boys U9A-1,Boys U9A-1,Boys U11A-1,Boys U11A-1,,,,,
05:10:00 A,,BYC U13B-2 (PA),CYLAX U-13B GRAY (PA),HAVEN BLACK (PA),PHILADELPHIA FREEDOM 2024 (PA),UPRISING 2024 (PA),TEAM HARLEY 2022 (PA),UPRISING 2023 (PA),,,,,,,,Boys U13B-2,Boys U13B-2,Boys U13B-2,Boys U9A-1,Boys U9A-1,Boys U11A-1,Boys U11A-1,,,,,

