Division,Team,,Field,Time,Game 1,,Field,Time,Game 2,,Field,Time,Game 3
Girls U13B,HENLOPEN STORM (DE),,BPC 3,07:50:00,Girls U13B: FILIA 2022 (PA) (Away),,BPC 3,09:30:00,Girls U13B: RTO B (PA) (Away),,BPC 2,11:10:00,Girls U13B: SPRINGFIELD BLUE (PA) (Home)
Girls U13B,FILIA 2022 (PA),,BPC 3,07:50:00,Girls U13B: HENLOPEN STORM (DE) (Home),,BPC 1,09:30:00,Girls U13B: FILIA 2021 (**Changed from U13A to U13B**) (PA) (Home),,BPC 3,11:10:00,Girls U13B: RTO B (PA) (Home)
Girls U15A,Dummy 3 (PA),,BPC 5,07:50:00,Girls U15A: QUIX STIX 8TH GRADE A (PA) (Home),,BPC 4,09:30:00,Girls U15A: QUIX STIX 7TH GRADE A (PA) (Away),,BPC 4,11:10:00,Girls U15A: SPRINGFIELD GOLD (PA) (Away)
Girls U15A,QUIX STIX 8TH GRADE A (PA),,BPC 5,07:50:00,Girls U15A: Dummy 3 (PA) (Away),,BPC 5,09:30:00,Girls U15A: SPRINGFIELD GOLD (PA) (Home),,BPC 5,11:10:00,Girls U15A: QUIX STIX 7TH GRADE A (PA) (Home)
Girls U15A,QUIX STIX 7TH GRADE A (PA),,BPC 4,07:50:00,Girls U15A: SPRINGFIELD GOLD (PA) (Away),,BPC 4,09:30:00,Girls U15A: Dummy 3 (PA) (Home),,BPC 5,11:10:00,Girls U15A: QUIX STIX 8TH GRADE A (PA) (Away)
Girls U15A,SPRINGFIELD GOLD (PA),,BPC 4,07:50:00,Girls U15A: QUIX STIX 7TH GRADE A (PA) (Home),,BPC 5,09:30:00,Girls U15A: QUIX STIX 8TH GRADE A (PA) (Away),,BPC 4,11:10:00,Girls U15A: Dummy 3 (PA) (Home)
Girls U15A,OPTIMIST LAXERS (PA),,BPC 4,07:00:00,Girls U15A: THUNDER (PA) (Away),,BPC 5,08:40:00,Girls U15A: BRANDYWINE MAJORS NAVY (PA) (Home),,BPC 5,10:20:00,Girls U15A: RADNOR MAROON (PA) (Home)
Girls U15A,THUNDER (PA),,BPC 4,07:00:00,Girls U15A: OPTIMIST LAXERS (PA) (Home),,BPC 4,08:40:00,Girls U15A: RADNOR MAROON (PA) (Home),,BPC 4,10:20:00,Girls U15A: BRANDYWINE MAJORS NAVY (PA) (Home)
Girls U15A,BRANDYWINE MAJORS NAVY (PA),,BPC 5,07:00:00,Girls U15A: RADNOR MAROON (PA) (Away),,BPC 5,08:40:00,Girls U15A: OPTIMIST LAXERS (PA) (Away),,BPC 4,10:20:00,Girls U15A: THUNDER (PA) (Away)
Girls U15A,RADNOR MAROON (PA),,BPC 5,07:00:00,Girls U15A: BRANDYWINE MAJORS NAVY (PA) (Home),,BPC 4,08:40:00,Girls U15A: THUNDER (PA) (Away),,BPC 5,10:20:00,Girls U15A: OPTIMIST LAXERS (PA) (Away)
Girls U15B,SPRINGFIELD 2020 (PA),,BPC 1,07:00:00,Girls U15B: ROSE TREE RED (PA) (Home),,BPC 2,08:40:00,Girls U15B: RADNOR BLACK (PA) (Home),,BPC 1,10:20:00,Girls U15B: STORM (DE) (Away)
Girls U15B,ROSE TREE RED (PA),,BPC 1,07:00:00,Girls U15B: SPRINGFIELD 2020 (PA) (Away),,BPC 3,08:40:00,Girls U15B: STORM (DE) (Home),,BPC 3,10:20:00,Girls U15B: HAWKS (NJ) (Away)
Girls U15B,STORM (DE),,BPC 3,07:00:00,Girls U15B: LOWER MAC MUSTANGS (PA) (Away),,BPC 3,08:40:00,Girls U15B: ROSE TREE RED (PA) (Away),,BPC 1,10:20:00,Girls U15B: SPRINGFIELD 2020 (PA) (Home)
Girls U15B,LOWER MAC MUSTANGS (PA),,BPC 3,07:00:00,Girls U15B: STORM (DE) (Home),,BPC 1,08:40:00,Girls U15B: HAWKS (NJ) (Away),,BPC 2,10:20:00,Girls U15B: RADNOR BLACK (PA) (Home)
Girls U15B,HAWKS (NJ),,BPC 2,07:00:00,Girls U15B: RADNOR BLACK (PA) (Home),,BPC 1,08:40:00,Girls U15B: LOWER MAC MUSTANGS (PA) (Home),,BPC 3,10:20:00,Girls U15B: ROSE TREE RED (PA) (Home)
Girls U15B,RADNOR BLACK (PA),,BPC 2,07:00:00,Girls U15B: HAWKS (NJ) (Away),,BPC 2,08:40:00,Girls U15B: SPRINGFIELD 2020 (PA) (Away),,BPC 2,10:20:00,Girls U15B: LOWER MAC MUSTANGS (PA) (Away)
