Liberty 2015 - FIELD GRID DRAFT (with match-ups) - 2015-05-31 21:01:31.457074
(This grid is for general scheduling purposes and may be subject to change.)
Day One,,Saturday,,,,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Byes
01:00:00 H,,A - Pool 1 (1st),,A - Pool 1 (1st),,,,,,,,,,Boys U9B-1,,Boys U9A-1,,,,,,,
01:00:00 A,,A - Pool 1 (2nd),,A - Pool 1 (2nd),,,,,,,,,,Boys U9B-1,,Boys U9A-1,,,,,,,
01:50:00 H,,,,B - Pool 4 (1st),A - Pool 2 (1st),,,A - Pool 1 (1st),B - Pool 2 (1st),,,,,,,Boys U13B-1,Boys U13B-1,,,Boys U13A-1,Boys U13A-1,,
01:50:00 A,,,,B - Pool 3 (1st),A - Pool 1 (1st),,,A - Pool 2 (2nd),B - Pool 1 (2nd),,,,,,,Boys U13B-1,Boys U13B-1,,,Boys U13A-1,Boys U13A-1,,
02:40:00 H,,,,,,,,,,,Boys Club 2021/2A-1,,,,,,,,,,,,Boys Club 2021/2A-1
02:40:00 A,,,,,,,,,,,Boys Club 2023/4A-1,,,,,,,,,,,,Boys Club 2023/4A-1
03:30:00 H,,,,Game A (Loser),Game B (Winner),,,Game A (Loser),Game A (Winner),,Boys U13A-1,,,,,Boys U13B-1,Boys U13B-1,,,Boys U13A-1,Boys U13A-1,,Boys U13A-1
03:30:00 A,,,,Game B (Loser),Game A (Winner),,,Game B (Loser),Game B (Winner),,Boys U13A-2,,,,,Boys U13B-1,Boys U13B-1,,,Boys U13A-1,Boys U13A-1,,Boys U13A-2
04:20:00 H,,STARS & STRIPES 2022 BLUE (PA),PA ROUGHRIDERS 2021 SELECT (PA),FREEDOM LC 2024 (PA),UPRISING 2024 (PA),DELTA HOUSE (PA),,,,,Boys U13B-1,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,Boys U13B-1
04:20:00 A,,COUGAR ELITE  BLUE (NJ),MD WOLFPACK 2021 (MD),PA ROUGHRIDERS 2023 (PA),PA ROUGHRIDERS 2024 (PA),UPRISING 2023 (PA),,,,,Boys U13B-2,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,Boys U13B-2
05:10:00 H,,,,,,,,,,,Boys U13B-3,,,,,,,,,,,,Boys U13B-3
05:10:00 A,,,,,,,,,,,Boys U13B-4,,,,,,,,,,,,Boys U13B-4
06:00:00 H,,PA ROUGHRIDERS 2021 SELECT (PA),STARS & STRIPES 2022 BLUE (PA),PA ROUGHRIDERS 2023 (PA),PA ROUGHRIDERS 2024 (PA),FREEDOM LC 2024 (PA),,,,,Boys U9A-1,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,Boys U9A-1
06:00:00 A,,COUGAR ELITE  BLUE (NJ),MD WOLFPACK 2021 (MD),UPRISING 2023 (PA),DELTA HOUSE (PA),UPRISING 2024 (PA),,,,,Boys U9B-1,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,Boys U9B-1
06:50:00 H,,,,,,,,,,,,,,,,,,,,,,,
06:50:00 A,,,,,,,,,,,,,,,,,,,,,,,
07:40:00 H,,COUGAR ELITE  BLUE (NJ),PA ROUGHRIDERS 2021 SELECT (PA),PA ROUGHRIDERS 2023 (PA),UPRISING 2023 (PA),FREEDOM LC 2024 (PA),,,,,,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,
07:40:00 A,,MD WOLFPACK 2021 (MD),STARS & STRIPES 2022 BLUE (PA),DELTA HOUSE (PA),UPRISING 2024 (PA),PA ROUGHRIDERS 2024 (PA),,,,,,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,
08:30:00 H,,,,,,,,,,,,,,,,,,,,,,,
08:30:00 A,,,,,,,,,,,,,,,,,,,,,,,
09:20:00 H,,A - Pool 1 (2nd),,A - Pool 1 (2nd),,,,,,,,,,Boys Club 2021/2A-1,,Boys Club 2023/4A-1,,,,,,,
09:20:00 A,,A - Pool 1 (1st),,A - Pool 1 (1st),,,,,,,,,,Boys Club 2021/2A-1,,Boys Club 2023/4A-1,,,,,,,
10:10:00 H,,,,,,,,,,,,,,,,,,,,,,,
10:10:00 A,,,,,,,,,,,,,,,,,,,,,,,
11:00:00 H,,,,,,,,,,,,,,,,,,,,,,,
11:00:00 A,,,,,,,,,,,,,,,,,,,,,,,
11:50:00 H,,,,,,,,,,,,,,,,,,,,,,,
11:50:00 A,,,,,,,,,,,,,,,,,,,,,,,

Day Two,,Sunday,,,,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Byes
08:00:00 H,,HAVERFORD BLAZE U-15 (PA),HAVEN (PA),LEHIGH VALLEY OUTLAWS (PA),COUGAR ELITE (NJ),MD WOLFPACK 2020 (MD),STARS & STRIPES 2020/2021 RED (PA),MESA FRESH 2019 (PA),SONS 2020 (PA),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,,
08:00:00 A,,SOUDERTON (PA),COUGAR ELITE (NJ),SCHNECKSVILLE SPA (PA),VIPER 19 (NY),RIDGE FUTURES BLACK (NJ),STARS & STRIPES 2020/2021 BLUE (PA),MD WOLFPACK 2019B (MD),RIDGE FUTURES SILVER (NJ),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,,
08:50:00 H,,BLAZE U 11 (PA),HOUSE LEAGUE ALL STARS (PA),TWIN VALLEY RAIDERS - 3-4 LIGHTNING (PA),VIPER 3 (NY),CYLAX HOUSE (PA),CYLAX TRAVEL B (PA),,,,,,,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,
08:50:00 A,,COATESVILLE RED RAIDERS (PA),HW TURTLES (PA),BYC U11B (PA),SOUTH PARKLAND (PA),TEAM HARLEY 2023 (PA),CYLAX TRAVEL C (PA),,,,,,,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,
09:40:00 H,,HAVEN (PA),HAVERFORD BLAZE U-15 (PA),VIPER 19 (NY),SCHNECKSVILLE SPA (PA),RIDGE FUTURES BLACK (NJ),MD WOLFPACK 2020 (MD),MESA FRESH 2019 (PA),SONS 2020 (PA),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,,
09:40:00 A,,SOUDERTON (PA),COUGAR ELITE (NJ),LEHIGH VALLEY OUTLAWS (PA),COUGAR ELITE (NJ),STARS & STRIPES 2020/2021 BLUE (PA),STARS & STRIPES 2020/2021 RED (PA),RIDGE FUTURES SILVER (NJ),MD WOLFPACK 2019B (MD),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,,
10:30:00 H,,HOUSE LEAGUE ALL STARS (PA),COATESVILLE RED RAIDERS (PA),BLAZE U 11 (PA),CYLAX HOUSE (PA),TEAM HARLEY 2023 (PA),SOUTH PARKLAND (PA),,,,,,,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,
10:30:00 A,,TWIN VALLEY RAIDERS - 3-4 LIGHTNING (PA),BYC U11B (PA),HW TURTLES (PA),CYLAX TRAVEL C (PA),VIPER 3 (NY),CYLAX TRAVEL B (PA),,,,,,,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,
11:20:00 H,,HAVEN (PA),COUGAR ELITE (NJ),SCHNECKSVILLE SPA (PA),COUGAR ELITE (NJ),STARS & STRIPES 2020/2021 BLUE (PA),RIDGE FUTURES BLACK (NJ),SONS 2020 (PA),RIDGE FUTURES SILVER (NJ),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,,
11:20:00 A,,HAVERFORD BLAZE U-15 (PA),SOUDERTON (PA),VIPER 19 (NY),LEHIGH VALLEY OUTLAWS (PA),MD WOLFPACK 2020 (MD),STARS & STRIPES 2020/2021 RED (PA),MESA FRESH 2019 (PA),MD WOLFPACK 2019B (MD),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,,
12:10:00 H,,TWIN VALLEY RAIDERS - 3-4 LIGHTNING (PA),HOUSE LEAGUE ALL STARS (PA),HW TURTLES (PA),CYLAX TRAVEL B (PA),SOUTH PARKLAND (PA),TEAM HARLEY 2023 (PA),,,,,,,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,
