cc two days - FIELD GRID DRAFT (with match-ups) - 2015-05-14 12:19:22.386557
(This grid is for general scheduling purposes and may be subject to change.)
Day One,,Saturday,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Byes
04:10:00 A,,BROTHERLY LOVE 2023/2024 (PA),BYC ZAVOD (PA),SPRING-FORD C BLUE (PA),BYC U11B-IM (PA),,,,,,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,,,
05:08:00 H,,LIONVILLE U11A (PA),BROTHERLY LOVE 2023 (PA),,,,,,,,Boys U11A-1,Boys U11A-1,,,,,
05:08:00 A,,TEAM HARLEY 2022 (PA),UPRISING 2023 (PA),,,,,,,,Boys U11A-1,Boys U11A-1,,,,,

Day Two,,Sunday,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Byes
06:30:00 H,,LOWER MAC MUSTANGS (PA),HAWKS (NJ),ROSE TREE RED (PA),SPRINGFIELD GOLD (PA),RADNOR MAROON (PA),,Boys U15A-1,,,Girls U15B-1,Girls U15B-1,Girls U15B-1,Girls U15A-2,Girls U15A-2,,Boys U15A-1
06:30:00 A,,RADNOR BLACK (PA),STORM (DE),SPRINGFIELD 2020 (PA),WEST CHESTER 7/8 REC (PA),QUIX STIX 8TH GRADE A (PA),,Boys U15B-1,,,Girls U15B-1,Girls U15B-1,Girls U15B-1,Girls U15A-2,Girls U15A-2,,Boys U15B-1
07:28:00 H,,HENLOPEN STORM (DE),SPRINGFIELD GOLD (PA),BYC (PA),BRANDYWINE MAJORS NAVY (PA),QUIX STIX 7TH GRADE A (PA),,Girls U11A-1,,,Girls U13B-1,Girls U13B-1,Girls U13B-1,Girls U15A-1,Girls U15A-1,,Girls U11A-1
07:28:00 A,,RTO B (PA),SPRINGFIELD BLUE (PA),FILIA 2022 (PA),THUNDER (PA),OPTIMIST LAXERS (PA),,Girls U13A-1,,,Girls U13B-1,Girls U13B-1,Girls U13B-1,Girls U15A-1,Girls U15A-1,,Girls U13A-1
08:26:00 H,,STORM (DE),SPRINGFIELD 2020 (PA),ROSE TREE RED (PA),SPRINGFIELD GOLD (PA),RADNOR MAROON (PA),,Girls U13B-1,,,Girls U15B-1,Girls U15B-1,Girls U15B-1,Girls U15A-2,Girls U15A-2,,Girls U13B-1
08:26:00 A,,LOWER MAC MUSTANGS (PA),HAWKS (NJ),RADNOR BLACK (PA),QUIX STIX 8TH GRADE A (PA),WEST CHESTER 7/8 REC (PA),,Girls U15A-1,,,Girls U15B-1,Girls U15B-1,Girls U15B-1,Girls U15A-2,Girls U15A-2,,Girls U15A-1
09:24:00 H,,HENLOPEN STORM (DE),RTO B (PA),BYC (PA),BRANDYWINE MAJORS NAVY (PA),THUNDER (PA),,Girls U15A-2,,,Girls U13B-1,Girls U13B-1,Girls U13B-1,Girls U15A-1,Girls U15A-1,,Girls U15A-2
09:24:00 A,,FILIA 2022 (PA),SPRINGFIELD GOLD (PA),SPRINGFIELD BLUE (PA),QUIX STIX 7TH GRADE A (PA),OPTIMIST LAXERS (PA),,Girls U15B-1,,,Girls U13B-1,Girls U13B-1,Girls U13B-1,Girls U15A-1,Girls U15A-1,,Girls U15B-1
10:22:00 H,,ROSE TREE RED (PA),HAWKS (NJ),SPRINGFIELD 2020 (PA),RADNOR MAROON (PA),QUIX STIX 8TH GRADE A (PA),,,,,Girls U15B-1,Girls U15B-1,Girls U15B-1,Girls U15A-2,Girls U15A-2,,
10:22:00 A,,STORM (DE),LOWER MAC MUSTANGS (PA),RADNOR BLACK (PA),SPRINGFIELD GOLD (PA),WEST CHESTER 7/8 REC (PA),,,,,Girls U15B-1,Girls U15B-1,Girls U15B-1,Girls U15A-2,Girls U15A-2,,
11:20:00 H,,RTO B (PA),SPRINGFIELD GOLD (PA),HENLOPEN STORM (DE),THUNDER (PA),BRANDYWINE MAJORS NAVY (PA),,,,,Girls U13B-1,Girls U13B-1,Girls U13B-1,Girls U15A-1,Girls U15A-1,,
11:20:00 A,,SPRINGFIELD BLUE (PA),FILIA 2022 (PA),BYC (PA),QUIX STIX 7TH GRADE A (PA),OPTIMIST LAXERS (PA),,,,,Girls U13B-1,Girls U13B-1,Girls U13B-1,Girls U15A-1,Girls U15A-1,,
12:18:00 H,,BYC - 4TH GRADE (PA),JUNIOR HAWKS (NJ),FILIA CYCLONES (PA),QUIX STIX 5/6 GRADE A (PA),FILIA 2021 (PA),,,,,Girls U11A-1,Girls U11A-1,Girls U11A-1,Girls U13A-1,Girls U13A-1,,
12:18:00 A,,BELLES (PA),HENLOPEN STORM (DE),FILIA HURRICANES (PA),HENLOPEN STORM (DE),BYC (PA),,,,,Girls U11A-1,Girls U11A-1,Girls U11A-1,Girls U13A-1,Girls U13A-1,,
01:16:00 H,,UPPER MERION LC 7/8 A2 (PA),BYC U15B (PA),SPRING-FORD A BLUE (PA),HAVEN A1 (PA),,,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,,,
01:16:00 A,,SPRING-FORD A GOLD (PA),EAGLES (PA),ROSE TREE OPTIMIST 7/8 (PA),LBL STAGS (PA),,,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,,,
02:14:00 H,,BELLES (PA),JUNIOR HAWKS (NJ),BYC - 4TH GRADE (PA),BYC (PA),QUIX STIX 5/6 GRADE A (PA),,,,,Girls U11A-1,Girls U11A-1,Girls U11A-1,Girls U13A-1,Girls U13A-1,,
02:14:00 A,,HENLOPEN STORM (DE),FILIA HURRICANES (PA),FILIA CYCLONES (PA),HENLOPEN STORM (DE),FILIA 2021 (PA),,,,,Girls U11A-1,Girls U11A-1,Girls U11A-1,Girls U13A-1,Girls U13A-1,,
03:12:00 H,,UPPER MERION LC 7/8 A2 (PA),BYC U15B (PA),HAVEN A1 (PA),LBL STAGS (PA),,,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,,,
03:12:00 A,,EAGLES (PA),SPRING-FORD A GOLD (PA),ROSE TREE OPTIMIST 7/8 (PA),SPRING-FORD A BLUE (PA),,,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,,,
04:10:00 H,,FILIA HURRICANES (PA),FILIA CYCLONES (PA),JUNIOR HAWKS (NJ),FILIA 2021 (PA),BYC (PA),,,,,Girls U11A-1,Girls U11A-1,Girls U11A-1,Girls U13A-1,Girls U13A-1,,
04:10:00 A,,HENLOPEN STORM (DE),BELLES (PA),BYC - 4TH GRADE (PA),HENLOPEN STORM (DE),QUIX STIX 5/6 GRADE A (PA),,,,,Girls U11A-1,Girls U11A-1,Girls U11A-1,Girls U13A-1,Girls U13A-1,,
05:08:00 H,,UPPER MERION LC 7/8 A2 (PA),SPRING-FORD A GOLD (PA),LBL STAGS (PA),HAVEN A1 (PA),,,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,,,
05:08:00 A,,BYC U15B (PA),EAGLES (PA),ROSE TREE OPTIMIST 7/8 (PA),SPRING-FORD A BLUE (PA),,,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,,,

