cc pat - FIELD GRID DRAFT (with match-ups) - 2015-05-14 12:17:32.889039
(This grid is for general scheduling purposes and may be subject to change.)
Day One,,Palisades,,,,,,,,,Herbst ,,,,,,,,New Hope,,,,,,,Bush Park,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Field #9,Field #10,Field #11,Field #12,Field #13,Field #14,Field #15,Field #16,Field #17,Field #18,Field #19,Field #20,Field #21,Field #22,Field #23,Field #24,Field #25,Field #26,Field #27,Byes
12:10:00 H,,380 LACROSSE U-13 GREEN (PA),TEAM 91 2017 NAVY (NY),TRI-STATE U13 WHITE (NJ),RISING SONS 2019 (PA),TRI-STATE U13 GOLD (NJ),WARD MELVILLE 2017 (NY),STEPS FUTURES 2017 (NJ),NOVA WEST LACROSSE (VA),TRISTATE BLACK (NJ),TEAM 91 2019 WHITE (NY),BERKS RAPTORS (PA),BLACK BEAR GWYNEDD (PA),BROTHERHOOD 5TH/6TH (NJ),TEAM 91 2018 ORANGE (NY),TEAM TURNPIKE EXIT 7 (NJ),LEADING EDGE 2019 (NJ),BALTIMORE BREAKERS U13AA (MD),FUSION TSL GOLD (NC),BLACK BEAR BLUE (PA),TRI-STATE U15 GREY (NJ),GARDEN CITY '17 (NY),LV LIGHTNING WHITE (PA),TRUE PITTSBURGH U15 (PA),TRUE BLUE 2017 WHITE (NY),TEAM SMITHTOWN (NY),ARROWHEAD (PA),PENNCREST HIGH SCHOOL (PA),,U11B-3,U9-1,,,U13B-3,U13B-3,U13B-3,U13B-3,U13B-3,U15AA-2,U15AA-2,U15AA-1,U15AA-1,U13B-6,U13B-6,U13B-5,U13B-5,U13AA-2,U13AA-2,U13AA-1,U13AA-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,VARB-3,VARB-3,VARB-3,,U11B-3,U9-1
12:10:00 A,,TEAM TURNPIKE EXIT 6 (NJ),ROCK'EM LACROSSE (PA) 3,ROCK'EM LACROSSE (PA) 4,MUCKDAWGS (PA),TOP SIDE SNIPERS 5/6 (NY),DUKES HHH (PA),LEADING EDGE 2017 (NJ),HEADSTRONG WHITE (PA),BBL ELITE 2017 BLACK (NJ),VA LAX TEAM RECON-13 (VA),SOUTHSHORE ORANGE (NJ),380 LACROSSE U-13 BLACK (PA),BLA SELECT (NY),"SUPERSTAR 365 ""2018"" (CT)",DUKES HHH (PA),SOUTHSHORE CAROLINA (NJ),TRI-STATE U13 BLACK (NJ),LV  BLUE (PA),WOLFPACK - WHITE (MD),GREEN & GOLD 7TH/8TH (NJ),PROVIDENCE ROAD 2 (PA),TOP SIDE SNIPERS BLACK (NY),PITLAX U15 (PA),TRI-STATE U15 GREEN (NJ),LOW AND AWAY U19 (PA),TEAM TOTAL VARSITY (MI),TROJANS HS B (PA),,U11B-4,U9-2,,,U13B-3,U13B-3,U13B-3,U13B-3,U13B-3,U15AA-2,U15AA-2,U15AA-1,U15AA-1,U13B-6,U13B-6,U13B-5,U13B-5,U13AA-2,U13AA-2,U13AA-1,U13AA-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,VARB-3,VARB-3,VARB-3,,U11B-4,U9-2
01:00:00 H,,NJ DIESEL ELITE U15 (NJ),LAX IN THE HAT (PA),NOVA WEST LACROSSE (VA),TRUE PITTSBURGH U13 (PA),BLACK DOG LEGACY (PA),WOLFPACK (MD),MAIN LINE LACROSSE U15 (PA),TWIST (PA),LEHIGH VALLEY STEAM (PA),LEADING EDGE 2020 (NJ),WARD MELVILLE 2018 (NY),LI EXPRESS (NY),LEHIGH VALLEY STEAM (PA),EDGE ELITE 2019 WHITE (ON),DIP N DUNK (NY),BLACK BEAR ORANGE (PA),HOUSTON HOULAGUNS (TX),BUCKS 2017-BREITHAUPT (PA),TRI-STATE U11 GREEN (NJ),LOONEY'S 2021 ORANGE (MD),LAXZILLA (PA),SF LITTLE HORNS (PA),MAKE-A-WISH (CT),TRI-STATE U15 WHITE (NJ),FCA GEORGIA (GA),GRIP-IT N' RIP-IT WHITE (NY),HORNETS FUTURES (NJ),,U13A-1,VARA-1,,,U13B-1,U13B-1,U13B-1,U13B-1,U13B-1,U15A-4,U15A-4,U15A-3,U15A-3,U13A-4,U13A-4,U13A-3,U13A-3,U13A-2,U13A-2,U13A-1,U13A-1,U11B-3,U11B-3,U11B-3,U11B-3,U11B-3,U11B-3,U11B-3,VARB-2,VARB-2,VARB-2,,U13A-1,VARA-1
01:00:00 A,,STEPS 2018 7TH GRADE (NJ),TRI-STATE U13 GREEN (NJ),LEADING EDGE SOUTH (NJ),NJ DIESEL ELITE U13 (NJ),380 LACROSSE U-15 BLACK (PA),TRI-STATE U15 GOLD (NJ),TEAM TOTAL U15 (MI),TEAM TURNPIKE EXIT 8 (NJ),FEVER 2017 (PA),MAIN LINE LACROSSE U13 (PA),STEPS FUTURES 2019 (NJ),BUCKS 2018 BLACK (PA),TWIST (PA),BROTHERHOOD U13 (NJ),BUCKS 2019-VENTRESCA (PA),BAGGATAWAY U13 BLACK (PA),BURN 'EM LACROSSE (NY),DIP N DUNK (NY),BUCKS SELECT 2021-PARKER (PA),LV LIGHTNING (PA),HIGHLAND MILLS HAWKS (NY),LEHIGH VALLEY STEAM GOLD (PA),BLACK DOG LEGACY (PA),380 LACROSSE U-15 GREEN (PA),LEHIGH VALLEY STEAM (PA),ENDLESS LACROSSE CLUB (MD),BUCKS 2014/2015 - BRUEMMER (PA),,U13A-2,VARA-2,,,U13B-1,U13B-1,U13B-1,U13B-1,U13B-1,U15A-4,U15A-4,U15A-3,U15A-3,U13A-4,U13A-4,U13A-3,U13A-3,U13A-2,U13A-2,U13A-1,U13A-1,U11B-3,U11B-3,U11B-3,U11B-3,U11B-3,U11B-3,U11B-3,VARB-2,VARB-2,VARB-2,,U13A-2,VARA-2
01:50:00 H,,BUFFALO RISING FRESHMAN (NY),LV LIGHTNING SELECT WHITE (PA),CBW WOLVERINES (PA),VA LAX TEAM RECON (VA),TEAM 91 2016 WHITE (NY),BLACK BEAR BLUE (PA),LV LIGHTNING BLUE (PA),GRIP-IT N' RIP-IT CAROLINA (NY),LEADING EDGE SOUTH (NJ),RISING SONS 2020 (PA),TRI-STATE U11 BLACK (NJ),LV STEAM MAROON (PA),BUCKS SELECT 2020-GRAY (PA),MUCKDAWGS (PA),EDGE 2016 RED (ON),BUFFALO RISING SOPHS (NY),,MUCKDAWGS (PA),RISING SONS 2021 (PA),ROCK'EM LACROSSE (PA),BLACK BEAR (PA),GRIP-IT N' RIP-IT YELLOW (NY),BROTHERHOOD U14 (NJ),LEADING EDGE 2021 (NJ),BLACK BEAR BLUE (PA),BLACK DOG LEGACY (PA),GREEN & GOLD VARSITY (NJ),,U13A-3,VARB-1,,,JVB-3,JVB-3,JVB-3,JVB-3,JVB-3,U13B-8,U13B-8,U13B-7,U13B-7,U11A-2,U11A-2,U11A-1,U11A-1,JVA-1,JVA-1,JVA-1,,U11B-1,U11B-1,U11B-1,U11B-1,U11B-1,U11B-1,U11B-1,VARB-1,VARB-1,VARB-1,,U13A-3,VARB-1
01:50:00 A,,TEAM SMITHTOWN (NY),SOUTH JERSEY UNITED (NJ),BLACK DOG LEGACY (PA),TRUE BLUE 2016 WHITE (NY),ROCK'EM LACROSSE (PA),TOP SIDE SNIPERS BLUE (NY),LOONEY'S 2019 ORANGE (MD),BAGGATAWAY LC U13 GOLD (PA),LV LIGHTNING WHITE (PA),BURN 'EM LACROSSE (NY),STEPS FUTURES 2020 (NJ),LOONEY'S 2020 ORANGE (MD),TEAM TURNPIKE EXIT 5 (NJ),BLACK BEAR 2016 (PA),CASH COWS SELECT (MI),2016 BLACK (NJ),,BAGGATAWAY LC U11 (PA),TEAM 91 2021 ORANGE (NY),NOVA WEST LACROSSE (VA),TWIST (PA),TRI-STATE U11 GOLD (NJ),CASH COWS U15 (MI),BERKS RAPTORS (PA),BUCKS 2014 - RENAHAN (PA),TRUE PITTSBURGH 2015 (PA),BROTHERHOOD VARSITY (NJ),,U13A-4,VARB-2,,,JVB-3,JVB-3,JVB-3,JVB-3,JVB-3,U13B-8,U13B-8,U13B-7,U13B-7,U11A-2,U11A-2,U11A-1,U11A-1,JVA-1,JVA-1,JVA-1,,U11B-1,U11B-1,U11B-1,U11B-1,U11B-1,U11B-1,U11B-1,VARB-1,VARB-1,VARB-1,,U13A-4,VARB-2
02:40:00 H,,TRI-STATE U13 GREEN (NJ),380 LACROSSE U-15 BLACK (PA),LAX IN THE HAT (PA),NOVA WEST LACROSSE (VA),STEPS 2018 7TH GRADE (NJ),MAIN LINE LACROSSE U15 (PA),TEAM TOTAL U15 (MI),TWIST (PA),TEAM TURNPIKE EXIT 8 (NJ),STEPS FUTURES 2019 (NJ),MAIN LINE LACROSSE U13 (PA),LI EXPRESS (NY),LEHIGH VALLEY STEAM (PA),DIP N DUNK (NY),BUCKS 2019-VENTRESCA (PA),BLACK BEAR ORANGE (PA),BAGGATAWAY U13 BLACK (PA),HIGHLAND MILLS HAWKS (NY),TRI-STATE U11 GREEN (NJ),380 LACROSSE U-15 GREEN (PA),TRI-STATE U15 WHITE (NJ),MAKE-A-WISH (CT),LAXZILLA (PA),BLACK DOG LEGACY (PA),BUCKS 2014/2015 - BRUEMMER (PA),HORNETS FUTURES (NJ),FCA GEORGIA (GA),,U13AA-1,VARB-3,,,U13B-1,U13B-1,U13B-1,U13B-1,U13B-1,U15A-4,U15A-4,U15A-3,U15A-3,U13A-4,U13A-4,U13A-3,U13A-3,U13A-2,U13A-2,U13A-1,U13A-1,U11B-3,U11B-3,U11B-3,U11B-3,U11B-3,U11B-3,U11B-3,VARB-2,VARB-2,VARB-2,,U13AA-1,VARB-3
02:40:00 A,,TRUE PITTSBURGH U13 (PA),NJ DIESEL ELITE U15 (NJ),BLACK DOG LEGACY (PA),NJ DIESEL ELITE U13 (NJ),LEADING EDGE SOUTH (NJ),TRI-STATE U15 GOLD (NJ),WOLFPACK (MD),FEVER 2017 (PA),LEHIGH VALLEY STEAM (PA),LEADING EDGE 2020 (NJ),WARD MELVILLE 2018 (NY),TWIST (PA),BUCKS 2018 BLACK (PA),BROTHERHOOD U13 (NJ),EDGE ELITE 2019 WHITE (ON),BURN 'EM LACROSSE (NY),HOUSTON HOULAGUNS (TX),LEHIGH VALLEY STEAM GOLD (PA),SF LITTLE HORNS (PA),DIP N DUNK (NY),BUCKS 2017-BREITHAUPT (PA),LOONEY'S 2021 ORANGE (MD),BUCKS SELECT 2021-PARKER (PA),LV LIGHTNING (PA),ENDLESS LACROSSE CLUB (MD),LEHIGH VALLEY STEAM (PA),GRIP-IT N' RIP-IT WHITE (NY),,U13AA-2,VARB-4,,,U13B-1,U13B-1,U13B-1,U13B-1,U13B-1,U15A-4,U15A-4,U15A-3,U15A-3,U13A-4,U13A-4,U13A-3,U13A-3,U13A-2,U13A-2,U13A-1,U13A-1,U11B-3,U11B-3,U11B-3,U11B-3,U11B-3,U11B-3,U11B-3,VARB-2,VARB-2,VARB-2,,U13AA-2,VARB-4
03:30:00 H,,BLACK DOG LEGACY (PA),TEAM 91 2016 WHITE (NY),BUFFALO RISING FRESHMAN (NY),ROCK'EM LACROSSE (PA),VA LAX TEAM RECON (VA),LOONEY'S 2019 ORANGE (MD),BLACK BEAR BLUE (PA),BAGGATAWAY LC U13 GOLD (PA),LV LIGHTNING WHITE (PA),TRI-STATE U11 BLACK (NJ),RISING SONS 2020 (PA),TEAM TURNPIKE EXIT 5 (NJ),LV STEAM MAROON (PA),2016 BLACK (NJ),BUFFALO RISING SOPHS (NY),BLACK BEAR 2016 (PA),,BROTHERHOOD U14 (NJ),TEAM 91 2021 ORANGE (NY),NOVA WEST LACROSSE (VA),ROCK'EM LACROSSE (PA),TWIST (PA),RISING SONS 2021 (PA),CASH COWS U15 (MI),TRUE PITTSBURGH 2015 (PA),BUCKS 2014 - RENAHAN (PA),BLACK BEAR BLUE (PA),,U13B-1,,,,JVB-3,JVB-3,JVB-3,JVB-3,JVB-3,U13B-8,U13B-8,U13B-7,U13B-7,U11A-2,U11A-2,U11A-1,U11A-1,JVA-1,JVA-1,JVA-1,,U11B-1,U11B-1,U11B-1,U11B-1,U11B-1,U11B-1,U11B-1,VARB-1,VARB-1,VARB-1,,U13B-1,
03:30:00 A,,LV LIGHTNING SELECT WHITE (PA),TRUE BLUE 2016 WHITE (NY),SOUTH JERSEY UNITED (NJ),CBW WOLVERINES (PA),TEAM SMITHTOWN (NY),TOP SIDE SNIPERS BLUE (NY),LV LIGHTNING BLUE (PA),LEADING EDGE SOUTH (NJ),GRIP-IT N' RIP-IT CAROLINA (NY),BURN 'EM LACROSSE (NY),STEPS FUTURES 2020 (NJ),LOONEY'S 2020 ORANGE (MD),BUCKS SELECT 2020-GRAY (PA),CASH COWS SELECT (MI),MUCKDAWGS (PA),EDGE 2016 RED (ON),,BERKS RAPTORS (PA),BAGGATAWAY LC U11 (PA),GRIP-IT N' RIP-IT YELLOW (NY),TRI-STATE U11 GOLD (NJ),LEADING EDGE 2021 (NJ),MUCKDAWGS (PA),BLACK BEAR (PA),GREEN & GOLD VARSITY (NJ),BLACK DOG LEGACY (PA),BROTHERHOOD VARSITY (NJ),,U13B-2,,,,JVB-3,JVB-3,JVB-3,JVB-3,JVB-3,U13B-8,U13B-8,U13B-7,U13B-7,U11A-2,U11A-2,U11A-1,U11A-1,JVA-1,JVA-1,JVA-1,,U11B-1,U11B-1,U11B-1,U11B-1,U11B-1,U11B-1,U11B-1,VARB-1,VARB-1,VARB-1,,U13B-2,
