,,Palisades 1,Score,,Palisades 2,Score,,Palisades 3,Score,,Palisades 4,Score,,Palisades 5,Score,,Palisades 6,Score,,Palisades 7,Score,,Palisades 8,Score,,Palisades 9,Score,,Herbst 10,Score,,Herbst 11,Score,,Herbst 12,Score,,Herbst 13,Score,,Herbst 14,Score,,Herbst 15,Score,,Herbst 16,Score,,Herbst 17,Score,,New Hope 18,Score,,New Hope 19,Score,,New Hope 20,Score,,New Hope 21,Score,,New Hope 22,Score,,New Hope 23,Score,,New Hope 24,Score,,Bush Park 25,Score,,Bush Park 26,Score,,Bush Park 27,Score
11:10:00 H,U11B (3),MUCKDAWGS (PA),,U11B (3),BAGGATAWAY LC U11 (PA),,U11B (3),ROCK'EM LACROSSE (PA),,U11B (3),LEADING EDGE 2021 (NJ),,U11B (3),TEAM 91 2021 ORANGE (NY),,JVA (0),BUCKS 2016-HOGAN (PA),,JVA (0),BUFFALO RISING SOPHS (NY),,JVA (0),2016 BLACK (NJ),,Empty,[],,U15B (0),BERKS RAPTORS (PA),,U15B (0),BROTHERHOOD U14 (NJ),,U15B (0),TRI-STATE U15 WHITE (NJ),,U15B (0),LV LIGHTNING WHITE (PA),,U15B (0),BUCKS 2017-BREITHAUPT (PA),,U15B (0),GREEN & GOLD 7TH/8TH (NJ),,U15B (0),380 LACROSSE U-15 BLACK (PA),,Empty,[],,U15B (3),TOP SIDE SNIPERS BLACK (NY),,U15B (3),PROVIDENCE ROAD 2 (PA),,U15B (3),BLACK BEAR BLUE (PA),,U15B (3),TRUE PITTSBURGH U15 (PA),,U15B (3),TEAM 91 2017 NAVY (NY),,U15B (3),PITLAX U15 (PA),,U15B (3),TRUE BLUE 2017 WHITE (NY),,VARB (1),LEHIGH VALLEY STEAM (PA),,VARB (1),ENDLESS LACROSSE CLUB (MD),,VARB (1),HORNETS FUTURES (NJ),
11:10:00 A,U11B (3),TRI-STATE U11 GOLD (NJ),,U11B (3),NOVA WEST LACROSSE (VA),,U11B (3),BLACK BEAR (PA),,U11B (3),RISING SONS 2021 (PA),,U11B (3),TWIST (PA),,JVA (0),EDGE 2016 RED (ON),,JVA (0),BLACK BEAR 2016 (PA),,JVA (0),TRUE LACROSSE 2016 (PA),,Empty,[],,U15B (0),GRIP-IT N' RIP-IT YELLOW (NY),,U15B (0),CASH COWS U15 (MI),,U15B (0),380 LACROSSE U-15 GREEN (PA),,U15B (0),LEADING EDGE SOUTH (NJ),,U15B (0),TRI-STATE U15 GREY (NJ),,U15B (0),DIP N DUNK (NY),,U15B (0),GARDEN CITY '17 (NY),,Empty,[],,U15B (3),STEPS 2018 7TH GRADE (NJ),,U15B (3),NJ DIESEL ELITE U15 (NJ),,U15B (3),TRI-STATE U15 GREEN (NJ),,U15B (3),WOLFPACK - WHITE (MD),,U15B (3),FUSION TSL GOLD (NC),,U15B (3),ROCK'EM LACROSSE (PA),,U15B (3),LV  BLUE (PA),,VARB (1),FCA GEORGIA (GA),,VARB (1),GRIP-IT N' RIP-IT WHITE (NY),,VARB (1),BUCKS 2014/2015 - BRUEMMER (PA),
12:00:00 H,U11B (1),LEHIGH VALLEY STEAM GOLD (PA),,U11B (1),MAKE-A-WISH (CT),,U11B (1),BLACK DOG LEGACY (PA),,U11B (1),HIGHLAND MILLS HAWKS (NY),,U11B (1),SF LITTLE HORNS (PA),,U13B (2),LV LIGHTNING WHITE (PA),,U13B (2),TRI-STATE U13 GOLD (NJ),,U13A (2),LI EXPRESS (NY),,U13A (2),BUCKS 2018 BLACK (PA),,JVB (3),CBW WOLVERINES (PA),,JVB (3),TEAM 91 2016 WHITE (NY),,JVB (3),VA LAX TEAM RECON (VA),,JVB (3),SOUTH JERSEY UNITED (NJ),,JVB (3),BUFFALO RISING FRESHMAN (NY),,U15A (2),FEVER 2017 (PA),,U15A (2),MAIN LINE LACROSSE U15 (PA),,Empty,[],,U15B (1),GREEN & GOLD 7TH/8TH (NJ),,U15B (1),BUCKS 2017-BREITHAUPT (PA),,U15B (1),LEADING EDGE SOUTH (NJ),,U15B (1),TRI-STATE U15 WHITE (NJ),,U15B (1),GRIP-IT N' RIP-IT YELLOW (NY),,U15B (1),LV LIGHTNING WHITE (PA),,U15B (1),DIP N DUNK (NY),,JVA (1),TEAM TOTAL JV (MI),,JVA (1),CASH COWS SELECT (MI),,JVA (1),NJ RIOT 2016 (NJ),
12:00:00 A,U11B (1),LV LIGHTNING (PA),,U11B (1),LAXZILLA (PA),,U11B (1),TRI-STATE U11 GREEN (NJ),,U11B (1),BUCKS SELECT 2021-PARKER (PA),,U11B (1),LOONEY'S 2021 ORANGE (MD),,U13B (2),LOONEY'S 2019 ORANGE (MD),,U13B (2),MUCKDAWGS (PA),,U13A (2),MAIN LINE LACROSSE U13 (PA),,U13A (2),LEADING EDGE 2020 (NJ),,JVB (3),LV LIGHTNING SELECT WHITE (PA),,JVB (3),TEAM SMITHTOWN (NY),,JVB (3),TRUE BLUE 2016 WHITE (NY),,JVB (3),ROCK'EM LACROSSE (PA),,JVB (3),BLACK DOG LEGACY (PA),,U15A (2),TEAM TOTAL U15 (MI),,U15A (2),LEHIGH VALLEY STEAM (PA),,Empty,[],,U15B (1),380 LACROSSE U-15 BLACK (PA),,U15B (1),BROTHERHOOD U14 (NJ),,U15B (1),CASH COWS U15 (MI),,U15B (1),BERKS RAPTORS (PA),,U15B (1),380 LACROSSE U-15 GREEN (PA),,U15B (1),TRI-STATE U15 GREY (NJ),,U15B (1),GARDEN CITY '17 (NY),,JVA (1),MAIN LINE LAX 2015-2016 (PA),,JVA (1),ENDLESS LACROSSE JV (MD),,JVA (1),MUCKDAWGS (PA),
12:50:00 H,U11B (1),HIGHLAND MILLS HAWKS (NY),,U11B (1),BUCKS SELECT 2021-PARKER (PA),,U11B (1),LOONEY'S 2021 ORANGE (MD),,U11B (1),SF LITTLE HORNS (PA),,U11B (1),LEHIGH VALLEY STEAM GOLD (PA),,U13B (2),TRI-STATE U13 GOLD (NJ),,U13B (2),MUCKDAWGS (PA),,U13A (2),MAIN LINE LACROSSE U13 (PA),,U13A (2),BUCKS 2018 BLACK (PA),,JVB (3),VA LAX TEAM RECON (VA),,JVB (3),TRUE BLUE 2016 WHITE (NY),,JVB (3),ROCK'EM LACROSSE (PA),,JVB (3),TEAM 91 2016 WHITE (NY),,JVB (3),SOUTH JERSEY UNITED (NJ),,U15A (2),LEHIGH VALLEY STEAM (PA),,U15A (2),MAIN LINE LACROSSE U15 (PA),,Empty,[],,U15B (1),BROTHERHOOD U14 (NJ),,U15B (1),BERKS RAPTORS (PA),,U15B (1),CASH COWS U15 (MI),,U15B (1),GRIP-IT N' RIP-IT YELLOW (NY),,U15B (1),TRI-STATE U15 GREY (NJ),,U15B (1),GARDEN CITY '17 (NY),,U15B (1),380 LACROSSE U-15 BLACK (PA),,JVA (1),MUCKDAWGS (PA),,JVA (1),MAIN LINE LAX 2015-2016 (PA),,JVA (1),NJ RIOT 2016 (NJ),
12:50:00 A,U11B (1),LAXZILLA (PA),,U11B (1),BLACK DOG LEGACY (PA),,U11B (1),MAKE-A-WISH (CT),,U11B (1),LV LIGHTNING (PA),,U11B (1),TRI-STATE U11 GREEN (NJ),,U13B (2),LOONEY'S 2019 ORANGE (MD),,U13B (2),LV LIGHTNING WHITE (PA),,U13A (2),LEADING EDGE 2020 (NJ),,U13A (2),LI EXPRESS (NY),,JVB (3),BLACK DOG LEGACY (PA),,JVB (3),TEAM SMITHTOWN (NY),,JVB (3),BUFFALO RISING FRESHMAN (NY),,JVB (3),LV LIGHTNING SELECT WHITE (PA),,JVB (3),CBW WOLVERINES (PA),,U15A (2),FEVER 2017 (PA),,U15A (2),TEAM TOTAL U15 (MI),,Empty,[],,U15B (1),LV LIGHTNING WHITE (PA),,U15B (1),380 LACROSSE U-15 GREEN (PA),,U15B (1),BUCKS 2017-BREITHAUPT (PA),,U15B (1),TRI-STATE U15 WHITE (NJ),,U15B (1),LEADING EDGE SOUTH (NJ),,U15B (1),GREEN & GOLD 7TH/8TH (NJ),,U15B (1),DIP N DUNK (NY),,JVA (1),CASH COWS SELECT (MI),,JVA (1),ENDLESS LACROSSE JV (MD),,JVA (1),TEAM TOTAL JV (MI),
13:40:00 H,U11B (1),SF LITTLE HORNS (PA),,U11B (1),BLACK DOG LEGACY (PA),,U11B (1),LEHIGH VALLEY STEAM GOLD (PA),,U11B (1),TRI-STATE U11 GREEN (NJ),,U11B (1),LV LIGHTNING (PA),,U13B (2),LV LIGHTNING WHITE (PA),,U13B (2),LOONEY'S 2019 ORANGE (MD),,U13A (2),LI EXPRESS (NY),,U13A (2),BUCKS 2018 BLACK (PA),,JVB (3),VA LAX TEAM RECON (VA),,JVB (3),ROCK'EM LACROSSE (PA),,JVB (3),BUFFALO RISING FRESHMAN (NY),,JVB (3),TEAM SMITHTOWN (NY),,JVB (3),SOUTH JERSEY UNITED (NJ),,U15A (2),FEVER 2017 (PA),,U15A (2),LEHIGH VALLEY STEAM (PA),,Empty,[],,U15B (1),BERKS RAPTORS (PA),,U15B (1),BROTHERHOOD U14 (NJ),,U15B (1),TRI-STATE U15 WHITE (NJ),,U15B (1),LV LIGHTNING WHITE (PA),,U15B (1),BUCKS 2017-BREITHAUPT (PA),,U15B (1),GREEN & GOLD 7TH/8TH (NJ),,U15B (1),380 LACROSSE U-15 BLACK (PA),,JVA (1),MAIN LINE LAX 2015-2016 (PA),,JVA (1),TEAM TOTAL JV (MI),,JVA (1),ENDLESS LACROSSE JV (MD),
13:40:00 A,U11B (1),BUCKS SELECT 2021-PARKER (PA),,U11B (1),LAXZILLA (PA),,U11B (1),LOONEY'S 2021 ORANGE (MD),,U11B (1),HIGHLAND MILLS HAWKS (NY),,U11B (1),MAKE-A-WISH (CT),,U13B (2),TRI-STATE U13 GOLD (NJ),,U13B (2),MUCKDAWGS (PA),,U13A (2),LEADING EDGE 2020 (NJ),,U13A (2),MAIN LINE LACROSSE U13 (PA),,JVB (3),TEAM 91 2016 WHITE (NY),,JVB (3),LV LIGHTNING SELECT WHITE (PA),,JVB (3),CBW WOLVERINES (PA),,JVB (3),BLACK DOG LEGACY (PA),,JVB (3),TRUE BLUE 2016 WHITE (NY),,U15A (2),MAIN LINE LACROSSE U15 (PA),,U15A (2),TEAM TOTAL U15 (MI),,Empty,[],,U15B (1),GRIP-IT N' RIP-IT YELLOW (NY),,U15B (1),CASH COWS U15 (MI),,U15B (1),380 LACROSSE U-15 GREEN (PA),,U15B (1),LEADING EDGE SOUTH (NJ),,U15B (1),TRI-STATE U15 GREY (NJ),,U15B (1),DIP N DUNK (NY),,U15B (1),GARDEN CITY '17 (NY),,JVA (1),NJ RIOT 2016 (NJ),,JVA (1),CASH COWS SELECT (MI),,JVA (1),MUCKDAWGS (PA),
14:30:00 H,U13A (0),BAGGATAWAY U13 BLACK (PA),,U13A (0),BLACK BEAR ORANGE (PA),,U13AA (0),DUKES HHH (PA),,U13AA (0),"SUPERSTAR 365 ""2018"" (CT)",,U11A (0),LV STEAM MAROON (PA),,U11A (0),LOONEY'S 2020 ORANGE (MD),,U9 (0),TEAM 91 2022 ORANGE (NY),,U9 (0),CAROLINA CANNONS (NC),,Empty,[],,JVB (1),GRIP-IT N' RIP-IT BLUE (NY),,JVB (1),EMMAUS STING (PA),,JVB (1),BUCKS 2016 - KREUTZER (PA),,JVB (1),BROTHERHOOD U16 (NJ),,JVB (1),EDGE 2016 WHITE (ON),,U15AA (0),LEADING EDGE 2017 (NJ),,U15AA (0),DUKES HHH (PA),,Empty,[],,U13B (1),TEAM 91 2019 WHITE (NY),,U13B (1),GRIP-IT N' RIP-IT CAROLINA (NY),,U13B (1),SOUTHSHORE ORANGE (NJ),,U13B (1),BLACK BEAR GWYNEDD (PA),,U13B (1),VA LAX TEAM RECON-13 (VA),,U13B (1),LV LIGHTNING BLUE (PA),,U13B (1),BROTHERHOOD 5TH/6TH (NJ),,U13B (4),NJ DIESEL ELITE U13 (NJ),,U13B (4),TOP SIDE SNIPERS 5/6 (NY),,Empty,[],
14:30:00 A,U13A (0),EDGE ELITE 2019 WHITE (ON),,U13A (0),BROTHERHOOD U13 (NJ),,U13AA (0),BALTIMORE BREAKERS U13AA (MD),,U13AA (0),LEADING EDGE 2019 (NJ),,U11A (0),RISING SONS 2020 (PA),,U11A (0),BURN 'EM LACROSSE (NY),,U9 (0),BAGGATAWAY LC U9 (PA),,U9 (0),COLLEGEVILLE CHOSEN (PA),,Empty,[],,JVB (1),TEWAARATON LENAPE (NJ),,JVB (1),GREEN & GOLD JV (NJ),,JVB (1),TEAM 91 2016 STAMPEDE (NY),,JVB (1),BLACK JACKS (MA),,JVB (1),LV LIGHTNING SELECT BLUE (PA),,U15AA (0),HEADSTRONG WHITE (PA),,U15AA (0),BBL ELITE 2017 BLACK (NJ),,Empty,[],,U13B (1),380 LACROSSE U-13 BLACK (PA),,U13B (1),BLACK BEAR BLUE (PA),,U13B (1),BLA SELECT (NY),,U13B (1),TOP SIDE SNIPERS BLUE (NY),,U13B (1),BAGGATAWAY LC U13 GOLD (PA),,U13B (1),LEADING EDGE SOUTH (NJ),,U13B (1),BERKS RAPTORS (PA),,U13B (4),LAX IN THE HAT (PA),,U13B (4),TEAM TURNPIKE EXIT 6 (NJ),,Empty,[],
