Game,Date,Time,Field,Bracket,Round,Team,Game Score,Sportsmanship Rating,Sportsmanship Notes,Ref Rating,Ref Rating Notes,EH ID
30,07/20/2013,09:40 AM,3,U15B-2 & 3,1,ROCK'EM LACROSSE (PA),7,5,,,,35127
30,07/20/2013,09:40 AM,3,U15B-2 & 3,1,TEAM 91 2017 NAVY (NY),6,5,,,,35128
31,07/20/2013,09:40 AM,4,U11B-1,1,TRI-STATE U11 GREEN (NJ),9,5,,,,35129
31,07/20/2013,09:40 AM,4,U11B-1,1,BUCKS SELECT 2021-PARKER (PA),1,5,,,,35130
32,07/20/2013,09:40 AM,5,U11B-1,1,LAXZILLA (PA),2,5,,,,35131
32,07/20/2013,09:40 AM,5,U11B-1,1,LV LIGHTNING (PA),5,5,,,,35132
33,07/20/2013,09:40 AM,6,U11B-1,1,LOONEY'S 2021 ORANGE (MD),8,5,,,,35133
33,07/20/2013,09:40 AM,6,U11B-1,1,MAKE-A-WISH (CT),5,5,,,,35134
34,07/20/2013,09:40 AM,7,U11B-1,1,BLACK DOG LEGACY (PA),3,5,,,,35135
34,07/20/2013,09:40 AM,7,U11B-1,1,HIGHLAND MILLS HAWKS (NY),5,5,,,,35136
35,07/20/2013,09:40 AM,8,U11B-1,1,LEHIGH VALLEY STEAM GOLD (PA),3,5,,,,35137
35,07/20/2013,09:40 AM,8,U11B-1,1,SF LITTLE HORNS (PA),7,5,,,,35138
36,07/20/2013,09:40 AM,9,U15AA,1,BBL ELITE 2017 BLACK (NJ),6,4,,,,35139
36,07/20/2013,09:40 AM,9,U15AA,1,HEADSTRONG WHITE (PA),5,4,,,,35140
37,07/20/2013,09:40 AM,10,U15AA,1,NOVA WEST LACROSSE (VA),2,3,,,,35141
37,07/20/2013,09:40 AM,10,U15AA,1,TRISTATE BLACK (NJ),8,4,,,,35142
38,07/20/2013,09:40 AM,11,U15AA,1,DUKES HHH (PA),11,5,,,,35143
38,07/20/2013,09:40 AM,11,U15AA,1,LEADING EDGE 2017 (NJ),4,5,,,,35144
39,07/20/2013,09:40 AM,12,U15AA,1,STEPS FUTURES 2017 (NJ),5,3,,,,35145
39,07/20/2013,09:40 AM,12,U15AA,1,WARD MELVILLE 2017 (NY),2,4,,,,35146
40,07/20/2013,09:40 AM,13,JVB-2,1,LV LIGHTNING SELECT WHITE (PA),2,5,,,,35147
40,07/20/2013,09:40 AM,13,JVB-2,1,SOUTH JERSEY UNITED (NJ),5,5,,,,35148
41,07/20/2013,09:40 AM,14,JVB-2,1,BUFFALO RISING FRESHMAN (NY),1,5,,,,35149
41,07/20/2013,09:40 AM,14,JVB-2,1,TEAM SMITHTOWN (NY),10,5,,,,35150
42,07/20/2013,09:40 AM,15,JVB-2,1,VA LAX TEAM RECON (VA),0,5,,,,35151
42,07/20/2013,09:40 AM,15,JVB-2,1,BLACK DOG LEGACY (PA),7,5,,,,35152
43,07/20/2013,09:40 AM,16,JVB-2,1,CBW WOLVERINES (PA),1,5,,,,35153
43,07/20/2013,09:40 AM,16,JVB-2,1,ROCK'EM LACROSSE (PA),10,5,,,,35154
44,07/20/2013,09:40 AM,17,JVB-2,1,TEAM 91 2016 WHITE (NY),5,4,,,,35155
44,07/20/2013,09:40 AM,17,JVB-2,1,TRUE BLUE 2016 WHITE (NY),4,3,,,,35156
45,07/20/2013,09:40 AM,18,VARA-1 & 2,1,2014 PHILA FREEDOM (PA),5,5,,,,35157
45,07/20/2013,09:40 AM,18,VARA-1 & 2,1,DIRTY BIRDS (GA),6,5,,,,35158
46,07/20/2013,09:40 AM,19,VARA-1 & 2,1,DIP N DUNK (NY),5,5,,,,35159
46,07/20/2013,09:40 AM,19,VARA-1 & 2,1,EMMAUS STING (PA),9,5,,,,35160
47,07/20/2013,09:40 AM,20,VARA-1 & 2,1,BALTIMORE CANNONS (MD),6,5,,,,35161
47,07/20/2013,09:40 AM,20,VARA-1 & 2,1,CASH COWS ELITE (MI),5,5,,,,35162
48,07/20/2013,09:40 AM,21,VARA-1 & 2,1,BLACK BEAR ORANGE (PA),4,5,,,,35163
48,07/20/2013,09:40 AM,21,VARA-1 & 2,1,LOW & AWAY U19 PREMIER (PA),10,5,,,,35164
49,07/20/2013,09:40 AM,22,VARA-1 & 2,1,MILITIA ELITE (VA),8,5,,,,35165
49,07/20/2013,09:40 AM,22,VARA-1 & 2,1,TAR HEEL LC (NC),10,5,,,,35166
50,07/20/2013,09:40 AM,23,VARA-1 & 2,1,TRUE PITTSBURGH 2014 (PA),13,5,,,,35167
50,07/20/2013,09:40 AM,23,VARA-1 & 2,1,SF BIG HORNS (PA),3,5,,,,35168
51,07/20/2013,09:40 AM,24,VARA-1 & 2,1,TEAM TOTAL ELITE (MI),6,5,,,,35169
51,07/20/2013,09:40 AM,24,VARA-1 & 2,1,QUAKE VARSITY GOLD (NJ),1,5,,,,35170
52,07/20/2013,09:40 AM,25,VARB-2,1,LEHIGH VALLEY STEAM (PA),2,5,,,,35171
52,07/20/2013,09:40 AM,25,VARB-2,1,FCA GEORGIA (GA),6,5,,,,35172
53,07/20/2013,09:40 AM,26,VARB-2,1,GRIP-IT N' RIP-IT WHITE (NY),10,5,,,,35173
53,07/20/2013,09:40 AM,26,VARB-2,1,ENDLESS LACROSSE CLUB (MD),1,5,,,,35174
54,07/20/2013,09:40 AM,27,VARB-2,1,BUCKS 2014/2015 - BRUEMMER (PA),3,5,,,,35175
54,07/20/2013,09:40 AM,27,VARB-2,1,HORNETS FUTURES (NJ),6,5,,,,35176
55,07/20/2013,10:30 AM,1,U15B-2 & 3,2,TRI-STATE U15 GREY (NJ),10,5,,,,35177
55,07/20/2013,10:30 AM,1,U15B-2 & 3,2,PROVIDENCE ROAD 2 (PA),2,5,,,,35178
56,07/20/2013,10:30 AM,2,U15B-2 & 3,2,GREEN & GOLD 7TH/8TH (NJ),2,5,,,,35179
56,07/20/2013,10:30 AM,2,U15B-2 & 3,2,LV LIGHTNING WHITE (PA),8,5,,,,35180
